# CIE bound-bound cooling efficiency for N (Z=7)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_N0           L_N1           L_N2           L_N3           L_N4           L_N5           L_N6           L_N7         
         6.1000   6.116480e-19   1.196376e-18   1.874572e-18   1.634770e-18   9.206108e-19   9.488291e-21   2.371087e-21   0.000000e+00
         6.1500   6.083807e-19   1.193740e-18   1.868847e-18   1.638055e-18   9.217971e-19   1.427175e-20   3.797066e-21   0.000000e+00
         6.2000   6.039045e-19   1.188421e-18   1.858116e-18   1.635462e-18   9.214974e-19   2.053979e-20   5.763344e-21   0.000000e+00
         6.2500   5.983163e-19   1.180635e-18   1.842842e-18   1.625359e-18   9.198022e-19   2.842870e-20   8.342725e-21   0.000000e+00
         6.3000   5.917116e-19   1.170588e-18   1.823502e-18   1.607470e-18   9.168991e-19   3.801202e-20   1.158112e-20   0.000000e+00
         6.3500   5.841835e-19   1.158482e-18   1.800683e-18   1.583741e-18   9.127489e-19   4.929556e-20   1.549334e-20   0.000000e+00
         6.4000   5.758228e-19   1.144508e-18   1.774902e-18   1.560203e-18   9.073534e-19   6.222183e-20   2.006167e-20   0.000000e+00
         6.4500   5.667172e-19   1.128850e-18   1.746575e-18   1.540473e-18   9.007026e-19   7.667906e-20   2.523193e-20   0.000000e+00
         6.5000   5.569512e-19   1.111683e-18   1.716048e-18   1.525470e-18   8.930636e-19   9.251146e-20   3.091832e-20   0.000000e+00
         6.5500   5.466058e-19   1.093174e-18   1.683619e-18   1.513578e-18   8.842462e-19   1.095310e-19   3.701210e-20   0.000000e+00
         6.6000   5.357582e-19   1.073484e-18   1.649555e-18   1.498705e-18   8.742516e-19   1.275251e-19   4.339016e-20   0.000000e+00
         6.6500   5.244814e-19   1.052764e-18   1.614100e-18   1.476929e-18   8.631187e-19   1.462485e-19   4.992380e-20   0.000000e+00
         6.7000   5.128445e-19   1.031157e-18   1.577490e-18   1.447252e-18   8.508997e-19   1.654407e-19   5.648668e-20   0.000000e+00
         6.7500   5.009123e-19   1.008798e-18   1.539988e-18   1.410286e-18   8.378672e-19   1.848440e-19   6.296142e-20   0.000000e+00
         6.8000   4.887453e-19   9.858155e-19   1.501829e-18   1.367410e-18   8.241049e-19   2.042119e-19   6.924449e-20   0.000000e+00
         6.8500   4.763996e-19   9.623277e-19   1.463209e-18   1.320254e-18   8.094956e-19   2.233163e-19   7.524912e-20   0.000000e+00
         6.9000   4.639273e-19   9.384460e-19   1.424297e-18   1.270400e-18   7.941173e-19   2.419488e-19   8.090650e-20   0.000000e+00
         6.9500   4.513764e-19   9.142737e-19   1.385240e-18   1.219237e-18   7.780530e-19   2.599070e-19   8.616550e-20   0.000000e+00
         7.0000   4.387905e-19   8.899063e-19   1.346175e-18   1.167900e-18   7.613874e-19   2.770103e-19   9.099132e-20   0.000000e+00
         7.0500   4.262098e-19   8.654318e-19   1.307237e-18   1.117262e-18   7.442031e-19   2.931053e-19   9.536351e-20   0.000000e+00
         7.1000   4.136705e-19   8.409306e-19   1.268535e-18   1.067957e-18   7.265860e-19   3.080662e-19   9.927358e-20   0.000000e+00
         7.1500   4.012053e-19   8.164761e-19   1.230154e-18   1.020415e-18   7.088511e-19   3.217958e-19   1.027226e-19   0.000000e+00
         7.2000   3.888437e-19   7.921350e-19   1.192165e-18   9.748999e-19   6.909654e-19   3.342222e-19   1.057189e-19   0.000000e+00
         7.2500   3.766119e-19   7.679674e-19   1.154626e-18   9.315487e-19   6.729004e-19   3.452949e-19   1.082760e-19   0.000000e+00
         7.3000   3.645330e-19   7.440270e-19   1.117593e-18   8.904010e-19   6.547279e-19   3.549787e-19   1.104112e-19   0.000000e+00
         7.3500   3.526276e-19   7.203620e-19   1.081115e-18   8.514285e-19   6.365128e-19   3.632344e-19   1.121440e-19   0.000000e+00
         7.4000   3.409136e-19   6.970149e-19   1.045234e-18   8.145564e-19   6.183112e-19   3.700434e-19   1.134952e-19   0.000000e+00
         7.4500   3.294064e-19   6.740230e-19   1.009992e-18   7.796807e-19   6.001717e-19   3.754135e-19   1.144861e-19   0.000000e+00
         7.5000   3.181193e-19   6.514189e-19   9.754240e-19   7.466811e-19   5.821382e-19   3.793751e-19   1.151381e-19   0.000000e+00
         7.5500   3.070635e-19   6.292308e-19   9.415614e-19   7.154304e-19   5.642494e-19   3.819765e-19   1.154725e-19   0.000000e+00
         7.6000   2.962484e-19   6.074825e-19   9.084312e-19   6.858012e-19   5.465394e-19   3.832818e-19   1.155102e-19   0.000000e+00
         7.6500   2.856815e-19   5.861941e-19   8.760564e-19   6.576706e-19   5.290397e-19   3.833813e-19   1.152716e-19   0.000000e+00
         7.7000   2.753690e-19   5.653825e-19   8.444555e-19   6.309225e-19   5.117788e-19   3.823727e-19   1.147766e-19   0.000000e+00
         7.7500   2.653154e-19   5.450608e-19   8.136435e-19   6.054496e-19   4.947818e-19   3.803512e-19   1.140445e-19   0.000000e+00
         7.8000   2.555242e-19   5.252397e-19   7.836313e-19   5.811540e-19   4.780714e-19   3.774092e-19   1.130943e-19   0.000000e+00
         7.8500   2.459974e-19   5.059269e-19   7.544264e-19   5.579474e-19   4.616894e-19   3.736366e-19   1.119443e-19   0.000000e+00
         7.9000   2.367361e-19   4.871279e-19   7.260332e-19   5.357505e-19   4.457027e-19   3.691211e-19   1.106123e-19   0.000000e+00
         7.9500   2.277405e-19   4.688459e-19   6.984529e-19   5.144928e-19   4.300566e-19   3.639458e-19   1.091156e-19   0.000000e+00
         8.0000   2.190100e-19   4.510820e-19   6.716842e-19   4.941115e-19   4.147631e-19   3.581893e-19   1.074709e-19   0.000000e+00
         8.0500   2.105431e-19   4.338359e-19   6.457232e-19   4.745511e-19   3.998316e-19   3.519244e-19   1.056941e-19   0.000000e+00
