# CIE bound-bound cooling efficiency for Fe (Z=26)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Fe0          L_Fe1          L_Fe2          L_Fe3          L_Fe4          L_Fe5          L_Fe6          L_Fe7          L_Fe8          L_Fe9          L_Fe10         L_Fe11         L_Fe12         L_Fe13         L_Fe14         L_Fe15         L_Fe16         L_Fe17         L_Fe18         L_Fe19         L_Fe20         L_Fe21         L_Fe22         L_Fe23         L_Fe24         L_Fe25         L_Fe26       
         4.6000   0.000000e+00   9.350970e-19   2.156903e-19   8.390731e-20   7.374052e-20   8.664479e-20   7.824678e-20   9.689026e-21   1.180613e-24   1.105936e-19   8.637536e-20   4.903827e-20   1.438831e-19   1.041412e-19   2.135740e-22   1.388624e-22  9.541753e-110   8.109081e-22   1.117612e-21   3.335446e-22   3.614023e-21   6.143080e-22   4.048052e-26   1.907104e-25   0.000000e+00   0.000000e+00   0.000000e+00
         4.6500   0.000000e+00   1.055146e-18   2.532259e-19   9.033958e-20   7.913031e-20   8.957633e-20   7.887768e-20   9.279714e-21   5.799974e-24   1.103334e-19   9.181400e-20   5.748960e-20   1.502403e-19   1.068862e-19   5.479079e-22   4.044718e-22  8.832407e-100   1.141896e-21   1.537288e-21   5.577261e-22   4.749686e-21   9.311427e-22   1.681166e-25   8.529314e-25   0.000000e+00   0.000000e+00   0.000000e+00
         4.7000   0.000000e+00   1.175152e-18   2.951412e-19   9.578356e-20   8.418999e-20   9.243321e-20   7.893401e-20   8.926410e-21   2.404499e-23   1.090802e-19   9.682428e-20   6.647547e-20   1.556351e-19   1.093067e-19   1.286926e-21   1.043617e-21   6.696942e-91   1.538426e-21   2.056258e-21   8.799281e-22   6.051217e-21   1.342657e-21   5.996688e-25   3.246545e-24   0.000000e+00   0.000000e+00   0.000000e+00
         4.7500   0.000000e+00   1.293125e-18   3.411195e-19   1.001576e-19   8.881564e-20   9.551281e-20   7.853741e-20   8.676554e-21   8.580227e-23   1.069259e-19   1.013354e-19   7.601470e-20   1.604790e-19   1.107454e-19   2.795380e-21   2.416243e-21   5.459775e-83   1.992396e-21   2.681595e-21   1.318250e-21   7.495206e-21   1.852090e-21   1.870359e-24   1.071975e-23   0.000000e+00   0.000000e+00   0.000000e+00
         4.8000   0.000000e+00   1.407292e-18   3.906295e-19   1.034283e-19   9.289439e-20   9.920384e-20   7.790959e-20   8.648227e-21   2.682008e-22   1.041605e-19   1.055073e-19   8.625764e-20   1.652598e-19   1.116941e-19   5.657567e-21   5.078134e-21   6.099829e-76   2.490868e-21   3.416129e-21   1.886032e-21   9.050286e-21   2.456506e-21   5.189433e-24   3.121932e-23   0.000000e+00   0.000000e+00   0.000000e+00
         4.8500   0.000000e+00   1.516143e-18   4.429522e-19   1.056113e-19   9.631619e-20   1.040194e-19   7.741761e-20   9.095198e-21   7.456088e-22   1.013006e-19   1.097762e-19   9.754908e-20   1.706807e-19   1.131678e-19   1.072952e-20   9.788823e-21   1.159436e-69   3.017357e-21   4.257261e-21   2.590059e-21   1.068057e-20   3.147556e-21   1.303404e-23   8.134699e-23   0.000000e+00   0.000000e+00   0.000000e+00
         4.9000   0.000000e+00   1.618448e-18   4.972270e-19   1.067616e-19   9.897977e-20   1.105787e-19   7.764114e-20   1.049957e-20   1.867409e-21   9.915949e-20   1.149224e-19   1.104852e-19   1.777113e-19   1.165718e-19   1.915483e-20   1.746853e-20   4.547341e-64   3.553438e-21   5.196275e-21   3.429638e-21   1.234972e-20   3.913422e-21   3.018279e-23   1.919628e-22   0.000000e+00   0.000000e+00   0.000000e+00
         4.9500   0.000000e+00   1.713249e-18   5.525085e-19   1.069612e-19   1.008001e-19   1.194758e-19   7.944973e-20   1.367200e-20   4.259243e-21   9.894003e-20   1.221547e-19   1.259713e-19   1.875868e-19   1.236773e-19   3.232239e-20   2.910111e-20   4.371340e-59   4.080397e-21   6.218336e-21   4.396890e-21   1.402543e-20   4.741880e-21   6.565653e-23   4.145025e-22   0.000000e+00   0.000000e+00   0.000000e+00
         5.0000   0.000000e+00   1.799853e-18   6.078227e-19   1.063114e-19   1.017207e-19   1.311861e-19   8.406540e-20   1.984341e-20   8.935331e-21   1.023028e-19   1.331712e-19   1.452602e-19   2.017750e-19   1.364222e-19   5.176156e-20   4.559899e-20   1.200994e-54   4.580715e-21   7.303240e-21   5.478745e-21   1.568426e-20   5.624609e-21   1.364536e-22   8.262065e-22   0.000000e+00   0.000000e+00   0.000000e+00
         5.0500   0.000000e+00   1.877808e-18   6.622045e-19   1.049173e-19   1.017221e-19   1.459544e-19   9.308205e-20   3.072184e-20   1.739420e-20   1.113179e-19   1.501200e-19   1.699446e-19   2.219098e-19   1.564768e-19   7.899558e-20   6.766111e-20   1.081657e-50   5.039327e-21   8.427007e-21   6.661377e-21   1.731729e-20   6.563163e-21   2.742054e-22   1.531784e-21   0.000000e+00   0.000000e+00   0.000000e+00
