# CIE ionization fractions for He (Z=2)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_He0          x_He1          x_He2        
         4.0000   1.000000e+00   4.248354e-18   1.804851e-35
         4.0500   1.000000e+00   4.248354e-18   1.804851e-35
         4.1000   1.000000e+00   4.248354e-18   1.804851e-35
         4.1500   1.000000e+00   4.248354e-18   1.804851e-35
         4.2000   1.000000e+00   4.248354e-18   1.804851e-35
         4.2500   1.000000e+00   4.248354e-18   1.804851e-35
         4.3000   1.000000e+00   4.248354e-18   1.804851e-35
         4.3500   1.000000e+00   4.248354e-18   1.804851e-35
         4.4000   1.000000e+00   4.248354e-18   1.804851e-35
         4.4500   1.000000e+00   4.248354e-18   1.804851e-35
         4.5000   1.000000e+00   4.248354e-18   1.804851e-35
         4.5500   1.000000e+00   4.248354e-18   1.804851e-35
         4.6000   1.000000e+00   4.248354e-18   1.804851e-35
         4.6500   1.000000e+00   4.248354e-18   1.804851e-35
         4.7000   1.000000e+00   4.248354e-18   1.804851e-35
         4.7500   1.000000e+00   4.248354e-18   1.804851e-35
         4.8000   1.000000e+00   4.248354e-18   1.804851e-35
         4.8500   1.000000e+00   4.248354e-18   1.804851e-35
         4.9000   1.000000e+00   4.248354e-18   1.804851e-35
         4.9500   1.000000e+00   4.248354e-18   1.804851e-35
         5.0000   1.000000e+00   4.248354e-18   1.804851e-35
         5.0500   1.000000e+00   4.248354e-18   1.804851e-35
         5.1000   1.000000e+00   4.248354e-18   1.804851e-35
         5.1500   1.000000e+00   4.248354e-18   1.804851e-35
         5.2000   1.000000e+00   4.248354e-18   1.804851e-35
         5.2500   1.000000e+00   4.248354e-18   1.804851e-35
         5.3000   1.000000e+00   4.248354e-18   1.804851e-35
         5.3500   1.000000e+00   4.248354e-18   1.804851e-35
         5.4000   1.000000e+00   4.248354e-18   1.804851e-35
         5.4500   1.000000e+00   4.248354e-18   1.804851e-35
         5.5000   1.000000e+00   4.248354e-18   1.804851e-35
         5.5500   1.000000e+00   4.248354e-18   1.804851e-35
         5.6000   1.000000e+00   4.248354e-18   1.804851e-35
         5.6500   1.000000e+00   4.248354e-18   1.804851e-35
         5.7000   1.000000e+00   4.248354e-18   1.804851e-35
         5.7500   1.000000e+00   4.248354e-18   1.804851e-35
         5.8000   1.000000e+00   4.248354e-18   1.804851e-35
         5.8500   1.000000e+00   4.248354e-18   1.804851e-35
         5.9000   1.000000e+00   4.248354e-18   1.804851e-35
         5.9500   1.000000e+00   4.248354e-18   1.804851e-35
         6.0000   1.000000e+00   4.248354e-18   1.804851e-35
         6.0500   1.000000e+00   4.248354e-18   1.804851e-35
         6.1000   1.000000e+00   4.248354e-18   1.804851e-35
         6.1500   1.000000e+00   4.248354e-18   1.804851e-35
         6.2000   1.000000e+00   4.248354e-18   1.804851e-35
         6.2500   1.000000e+00   4.248354e-18   1.804851e-35
         6.3000   1.000000e+00   4.248354e-18   1.804851e-35
         6.3500   1.000000e+00   4.248354e-18   1.804851e-35
         6.4000   1.000000e+00   4.248354e-18   1.804851e-35
         6.4500   1.000000e+00   4.248354e-18   1.804851e-35
         6.5000   1.000000e+00   4.248354e-18   1.804851e-35
         6.5500   1.000000e+00   4.248354e-18   1.804851e-35
         6.6000   1.000000e+00   4.248354e-18   1.804851e-35
         6.6500   1.000000e+00   4.248354e-18   1.804851e-35
         6.7000   1.000000e+00   4.248354e-18   1.804851e-35
         6.7500   1.000000e+00   4.248354e-18   1.804851e-35
         6.8000   1.000000e+00   4.248354e-18   1.804851e-35
         6.8500   1.000000e+00   4.248354e-18   1.804851e-35
         6.9000   1.000000e+00   4.248354e-18   1.804851e-35
         6.9500   1.000000e+00   4.248354e-18   1.804851e-35
         7.0000   1.000000e+00   4.248354e-18   1.804851e-35
         7.0500   1.000000e+00   4.248354e-18   1.804851e-35
         7.1000   1.000000e+00   4.248354e-18   1.804851e-35
         7.1500   1.000000e+00   4.248354e-18   1.804851e-35
         7.2000   1.000000e+00   4.248354e-18   1.804851e-35
         7.2500   1.000000e+00   4.248354e-18   1.804851e-35
         7.3000   1.000000e+00   4.248354e-18   1.804851e-35
         7.3500   1.000000e+00   4.248354e-18   1.804851e-35
         7.4000   1.000000e+00   4.248354e-18   1.804851e-35
         7.4500   1.000000e+00   4.248354e-18   1.804851e-35
         7.5000   1.000000e+00   4.248354e-18   1.804851e-35
         7.5500   1.000000e+00   4.248354e-18   1.804851e-35
         7.6000   1.000000e+00   4.248354e-18   1.804851e-35
         7.6500   1.000000e+00   4.248354e-18   1.804851e-35
         7.7000   1.000000e+00   4.248354e-18   1.804851e-35
         7.7500   1.000000e+00   4.248354e-18   1.804851e-35
         7.8000   1.000000e+00   4.248354e-18   1.804851e-35
         7.8500   1.000000e+00   4.248354e-18   1.804851e-35
         7.9000   1.000000e+00   4.248354e-18   1.804851e-35
         7.9500   1.000000e+00   4.248354e-18   1.804851e-35
         8.0000   1.000000e+00   4.248354e-18   1.804851e-35
         8.0500   1.000000e+00   4.248354e-18   1.804851e-35
         8.1000   1.000000e+00   4.248354e-18   1.804851e-35
         8.1500   1.000000e+00   4.248354e-18   1.804851e-35
         8.2000   1.000000e+00   4.248354e-18   1.804851e-35
         8.2500   1.000000e+00   4.248354e-18   1.804851e-35
         8.3000   1.000000e+00   4.248354e-18   1.804851e-35
         8.3500   1.000000e+00   4.248354e-18   1.804851e-35
