T cool_rate
1.00000E+01 3.55995E-29
1.09699E+01 4.51207E-29
1.20338E+01 5.63786E-29
1.32009E+01 6.95833E-29
1.44812E+01 8.49619E-29
1.58857E+01 1.02758E-28
1.74263E+01 1.22963E-28
1.91164E+01 1.45983E-28
2.09705E+01 1.72045E-28
2.30043E+01 2.01321E-28
2.52354E+01 2.33949E-28
2.76829E+01 2.69564E-28
3.03677E+01 3.08421E-28
3.33130E+01 3.50623E-28
3.65439E+01 3.96143E-28
4.00881E+01 4.44935E-28
4.39761E+01 4.96423E-28
4.82428E+01 5.50986E-28
5.29230E+01 6.08999E-28
5.80554E+01 6.65824E-28
6.36834E+01 7.16810E-28
6.98593E+01 7.79763E-28
7.66346E+01 8.47311E-28
8.40671E+01 9.20629E-28
9.22204E+01 1.00089E-27
1.01164E+02 1.08949E-27
1.10976E+02 1.18848E-27
1.21739E+02 1.29999E-27
1.33546E+02 1.42550E-27
1.46498E+02 1.56839E-27
1.60706E+02 1.73455E-27
1.76293E+02 1.93855E-27
1.93391E+02 2.17010E-27
2.12147E+02 2.42960E-27
2.32722E+02 2.71662E-27
2.55293E+02 3.02949E-27
2.80053E+02 3.36573E-27
3.07214E+02 3.72522E-27
3.37010E+02 4.11177E-27
3.69695E+02 4.52553E-27
4.05550E+02 4.96701E-27
4.44883E+02 5.43722E-27
4.88031E+02 5.93309E-27
5.35363E+02 6.45763E-27
5.87285E+02 7.01047E-27
6.44244E+02 7.59113E-27
7.06726E+02 8.19856E-27
7.75269E+02 8.82657E-27
8.50460E+02 9.48066E-27
9.32943E+02 1.01606E-26
1.02343E+03 1.08662E-26
1.12268E+03 1.15974E-26
1.23157E+03 1.23475E-26
1.35101E+03 1.31188E-26
1.48204E+03 1.39182E-26
1.62578E+03 1.47477E-26
1.78346E+03 1.56049E-26
1.95643E+03 1.64853E-26
2.14618E+03 1.74188E-26
2.35433E+03 1.83932E-26
2.58267E+03 1.94040E-26
2.83315E+03 2.04518E-26
3.10793E+03 2.15187E-26
3.40936E+03 2.26090E-26
3.74002E+03 2.37396E-26
4.10275E+03 2.49178E-26
4.50066E+03 2.61475E-26
4.93717E+03 2.74319E-26
5.41602E+03 2.87640E-26
5.94138E+03 3.01041E-26
6.51817E+03 3.13989E-26
7.15223E+03 3.26231E-26
7.84966E+03 3.39735E-26
8.65194E+03 3.64048E-26
9.65302E+03 4.67515E-26
1.07895E+04 1.33225E-25
1.20543E+04 9.36236E-25
1.31120E+04 4.53077E-24
1.39992E+04 1.42399E-23
1.48157E+04 2.80689E-23
1.56032E+04 4.94075E-23
1.66912E+04 7.12617E-23
1.77846E+04 9.05957E-23
1.94962E+04 9.02009E-23
2.18388E+04 8.23775E-23
2.41839E+04 7.64023E-23
2.69549E+04 7.52643E-23
2.98281E+04 7.87453E-23
3.30734E+04 8.59367E-23
3.68337E+04 9.72651E-23
4.08259E+04 1.12621E-22
4.51155E+04 1.32898E-22
4.96728E+04 1.59223E-22
5.45382E+04 1.91857E-22
5.97876E+04 2.32120E-22
6.53118E+04 2.78937E-22
7.12177E+04 3.31744E-22
7.75617E+04 3.79846E-22
8.46028E+04 4.21033E-22
9.26027E+04 4.54404E-22
1.01783E+05 4.75946E-22
1.12228E+05 4.76691E-22
1.23966E+05 4.58511E-22
1.36844E+05 4.49475E-22
1.50752E+05 4.51611E-22
1.65830E+05 4.58746E-22
1.82201E+05 4.65272E-22
2.00031E+05 4.68759E-22
2.19534E+05 4.73578E-22
2.40856E+05 4.65531E-22
2.64237E+05 4.25123E-22
2.89882E+05 3.53982E-22
3.18027E+05 2.71226E-22
3.48862E+05 2.14471E-22
3.82747E+05 1.86438E-22
4.19894E+05 1.72969E-22
4.60610E+05 1.66909E-22
5.05277E+05 1.63024E-22
5.54278E+05 1.56234E-22
6.08032E+05 1.46240E-22
6.67000E+05 1.38111E-22
7.31687E+05 1.33735E-22
8.02649E+05 1.33619E-22
8.80494E+05 1.35772E-22
9.65887E+05 1.35926E-22
1.05956E+06 1.33296E-22
1.16233E+06 1.28441E-22
1.27505E+06 1.22168E-22
1.39872E+06 1.14442E-22
1.53437E+06 1.05059E-22
1.68318E+06 9.34075E-23
1.84643E+06 8.04371E-23
