1.809E-03 0.4352  0.9997 3.372E-23 5.432E+03
1.820E-03 0.4355  0.9997 3.414E-23 5.497E+03
1.830E-03 0.4356  0.9997 3.456E-23 5.564E+03
1.841E-03 0.4355  0.9997 3.497E-23 5.631E+03
1.851E-03 0.4353  0.9997 3.539E-23 5.700E+03
1.862E-03 0.4348  0.9997 3.579E-23 5.770E+03
1.873E-03 0.4341  0.9997 3.618E-23 5.840E+03
1.884E-03 0.4332  0.9997 3.656E-23 5.911E+03
1.895E-03 0.4323  0.9997 3.694E-23 5.983E+03
1.905E-03 0.4312  0.9997 3.732E-23 6.055E+03
1.916E-03 0.4306  0.9997 3.771E-23 6.125E+03
1.928E-03 0.4300  0.9997 3.811E-23 6.196E+03
1.939E-03 0.4292  0.9997 3.850E-23 6.268E+03
1.950E-03 0.4282  0.9997 3.888E-23 6.341E+03
1.961E-03 0.4270  0.9997 3.925E-23 6.415E+03
1.972E-03 0.4256  0.9997 3.961E-23 6.490E+03
1.984E-03 0.4241  0.9997 3.996E-23 6.565E+03
1.995E-03 0.4223  0.9997 4.031E-23 6.642E+03
2.007E-03 0.4207  0.9997 4.066E-23 6.718E+03
2.018E-03 0.4187  0.9996 4.098E-23 6.795E+03
2.030E-03 0.4166  0.9996 4.130E-23 6.873E+03
2.042E-03 0.4144  0.9996 4.161E-23 6.951E+03
2.054E-03 0.4121  0.9996 4.192E-23 7.030E+03
2.065E-03 0.4099  0.9996 4.223E-23 7.108E+03
2.077E-03 0.4071  0.9996 4.251E-23 7.189E+03
2.089E-03 0.4041  0.9996 4.278E-23 7.271E+03
2.101E-03 0.4010  0.9996 4.304E-23 7.354E+03
2.113E-03 0.3979  0.9996 4.330E-23 7.437E+03
2.126E-03 0.3945  0.9996 4.354E-23 7.520E+03
2.138E-03 0.3910  0.9996 4.377E-23 7.604E+03
2.150E-03 0.3873  0.9996 4.399E-23 7.688E+03
2.163E-03 0.3835  0.9996 4.420E-23 7.772E+03
2.175E-03 0.3799  0.9996 4.442E-23 7.856E+03
2.188E-03 0.3760  0.9996 4.461E-23 7.940E+03
2.200E-03 0.3720  0.9996 4.479E-23 8.024E+03
2.213E-03 0.3679  0.9996 4.497E-23 8.108E+03
2.226E-03 0.3640  0.9996 4.516E-23 8.192E+03
2.239E-03 0.3598  0.9996 4.532E-23 8.276E+03
2.252E-03 0.3556  0.9996 4.548E-23 8.360E+03
2.265E-03 0.3427  0.9996 4.506E-23 8.449E+03
2.278E-03 0.3268  0.9996 4.447E-23 8.539E+03
2.291E-03 0.3103  0.9996 4.386E-23 8.629E+03
2.304E-03 0.2436  0.9996 4.042E-23 8.721E+03
2.317E-03 0.5139  0.9996 2.730E-23 3.785E+03
2.331E-03 0.5399  0.9996 2.919E-23 3.831E+03
2.344E-03 0.5559  0.9996 3.060E-23 3.877E+03
2.358E-03 0.5617  0.9996 3.138E-23 3.923E+03
2.371E-03 0.5668  0.9996 3.213E-23 3.969E+03
2.385E-03 0.5714  0.9996 3.286E-23 4.017E+03
2.399E-03 0.5756  0.9996 3.358E-23 4.066E+03
2.413E-03 0.5794  0.9996 3.431E-23 4.115E+03
2.427E-03 0.5827  0.9996 3.500E-23 4.166E+03
2.441E-03 0.5856  0.9996 3.568E-23 4.217E+03
2.455E-03 0.5882  0.9996 3.634E-23 4.269E+03
2.469E-03 0.5904  0.9995 3.699E-23 4.322E+03
2.483E-03 0.5923  0.9995 3.761E-23 4.374E+03
2.497E-03 0.5933  0.9995 3.811E-23 4.421E+03
2.512E-03 0.5941  0.9995 3.860E-23 4.469E+03
2.526E-03 0.5948  0.9995 3.910E-23 4.519E+03
2.541E-03 0.5954  0.9995 3.961E-23 4.571E+03
2.556E-03 0.5960  0.9995 4.012E-23 4.624E+03
2.570E-03 0.5963  0.9995 4.062E-23 4.678E+03
2.585E-03 0.5965  0.9995 4.112E-23 4.734E+03
2.600E-03 0.5966  0.9995 4.163E-23 4.790E+03
2.615E-03 0.5967  0.9995 4.214E-23 4.848E+03
2.630E-03 0.5965  0.9995 4.264E-23 4.907E+03
2.645E-03 0.5964  0.9995 4.314E-23 4.966E+03
2.661E-03 0.5961  0.9994 4.363E-23 5.027E+03
