1.809E-03 0.4809  0.9996 5.593E-23 5.316E+03
1.820E-03 0.4810  0.9996 5.660E-23 5.379E+03
1.830E-03 0.4808  0.9996 5.725E-23 5.443E+03
1.841E-03 0.4804  0.9996 5.789E-23 5.508E+03
1.851E-03 0.4800  0.9996 5.854E-23 5.574E+03
1.862E-03 0.4792  0.9996 5.916E-23 5.641E+03
1.873E-03 0.4783  0.9996 5.975E-23 5.708E+03
1.884E-03 0.4772  0.9996 6.034E-23 5.776E+03
1.895E-03 0.4760  0.9996 6.092E-23 5.845E+03
1.905E-03 0.4747  0.9996 6.149E-23 5.914E+03
1.916E-03 0.4739  0.9996 6.209E-23 5.981E+03
1.928E-03 0.4731  0.9996 6.270E-23 6.049E+03
1.939E-03 0.4720  0.9996 6.328E-23 6.118E+03
1.950E-03 0.4708  0.9996 6.387E-23 6.188E+03
1.961E-03 0.4693  0.9996 6.442E-23 6.259E+03
1.972E-03 0.4678  0.9996 6.496E-23 6.330E+03
1.984E-03 0.4659  0.9995 6.547E-23 6.403E+03
1.995E-03 0.4639  0.9995 6.597E-23 6.475E+03
2.007E-03 0.4622  0.9995 6.650E-23 6.549E+03
2.018E-03 0.4599  0.9995 6.697E-23 6.622E+03
2.030E-03 0.4575  0.9995 6.742E-23 6.697E+03
2.042E-03 0.4550  0.9995 6.786E-23 6.771E+03
2.054E-03 0.4525  0.9995 6.830E-23 6.846E+03
2.065E-03 0.4502  0.9995 6.875E-23 6.921E+03
2.077E-03 0.4471  0.9995 6.913E-23 6.998E+03
2.089E-03 0.4439  0.9995 6.950E-23 7.076E+03
2.101E-03 0.4405  0.9995 6.983E-23 7.154E+03
2.113E-03 0.4373  0.9995 7.020E-23 7.233E+03
2.126E-03 0.4336  0.9995 7.051E-23 7.312E+03
2.138E-03 0.4297  0.9995 7.080E-23 7.392E+03
2.150E-03 0.4258  0.9994 7.106E-23 7.472E+03
2.163E-03 0.4217  0.9994 7.132E-23 7.552E+03
2.175E-03 0.4180  0.9994 7.162E-23 7.632E+03
2.188E-03 0.4137  0.9994 7.184E-23 7.713E+03
2.200E-03 0.4093  0.9994 7.206E-23 7.793E+03
2.213E-03 0.4049  0.9994 7.226E-23 7.873E+03
2.226E-03 0.4009  0.9994 7.251E-23 7.954E+03
2.239E-03 0.3963  0.9994 7.269E-23 8.034E+03
2.252E-03 0.3917  0.9994 7.285E-23 8.114E+03
2.265E-03 0.3782  0.9993 7.201E-23 8.198E+03
2.278E-03 0.3614  0.9993 7.084E-23 8.283E+03
2.291E-03 0.3441  0.9993 6.968E-23 8.369E+03
2.304E-03 0.2718  0.9992 6.342E-23 8.456E+03
2.317E-03 0.5228  0.9994 4.898E-23 4.280E+03
2.331E-03 0.5489  0.9994 5.245E-23 4.332E+03
2.344E-03 0.5646  0.9994 5.500E-23 4.385E+03
2.358E-03 0.5705  0.9994 5.642E-23 4.437E+03
2.371E-03 0.5753  0.9994 5.775E-23 4.491E+03
2.385E-03 0.5796  0.9994 5.905E-23 4.546E+03
2.399E-03 0.5834  0.9994 6.033E-23 4.601E+03
2.413E-03 0.5872  0.9994 6.163E-23 4.658E+03
2.427E-03 0.5902  0.9994 6.285E-23 4.715E+03
2.441E-03 0.5928  0.9994 6.403E-23 4.774E+03
