age,snrate,Xi_LyC,Psi_LW,Psi_PE
12.3,0.000356868,3.35381e+43,13.1771,41.0592
12.4,0.000354813,3.21304e+43,12.9736,40.5382
12.5,0.000353187,3.10137e+43,12.7801,40.0526
12.6,0.00035156,2.9897e+43,12.5867,39.5669
12.7,0.000349949,2.87949e+43,12.4081,39.1232
12.8,0.000348337,2.76928e+43,12.2295,38.6794
12.9,0.000346344,2.66953e+43,12.0502,38.2407
13,0.00034435,2.56977e+43,11.8709,37.8021
13.1,0.000342379,2.48363e+43,11.7025,37.385
13.2,0.000340408,2.39749e+43,11.5341,36.9678
13.3,0.000338848,2.32037e+43,11.3733,36.5697
13.4,0.000337287,2.24326e+43,11.2126,36.1715
13.5,0.000335357,2.17121e+43,11.0556,35.7825
13.6,0.000333426,2.09916e+43,10.8986,35.3935
13.7,0.000331898,2.02051e+43,10.7465,35.0218
13.8,0.00033037,1.94186e+43,10.5944,34.6501
13.9,0.000328855,1.88055e+43,10.4534,34.2986
14,0.000327341,1.81924e+43,10.3124,33.947
14.1,0.00032584,1.75987e+43,10.1725,33.5963
14.2,0.00032434,1.70049e+43,10.0327,33.2456
14.3,0.000322853,1.65057e+43,9.90464,32.923
14.4,0.000321366,1.60064e+43,9.77661,32.6004
14.5,0.000319893,1.54053e+43,9.63793,32.2587
14.6,0.00031842,1.48042e+43,9.49926,31.9169
14.7,0.00031696,1.44991e+43,9.39441,31.6421
14.8,0.0003155,1.4194e+43,9.28956,31.3674
14.9,0.000314054,1.37831e+43,9.16685,31.057
15,0.000312608,1.33723e+43,9.04413,30.7466
15.1,0.000311175,1.29917e+43,8.93724,30.4649
15.2,0.000309742,1.26112e+43,8.83036,30.1831
15.3,0.000308322,1.22478e+43,8.71987,29.9014
15.4,0.000306902,1.18845e+43,8.60939,29.6196
15.5,0.000305495,1.15648e+43,8.50309,29.3464
15.6,0.000304089,1.12451e+43,8.39678,29.0732
15.7,0.000303042,1.098e+43,8.30099,28.8268
15.8,0.000301995,1.0715e+43,8.2052,28.5804
15.9,0.000300611,1.04111e+43,8.11472,28.3426
16,0.000299226,1.01073e+43,8.02425,28.1048
16.1,0.000297855,9.81184e+42,7.92782,27.8589
16.2,0.000296483,9.51638e+42,7.83139,27.6131
16.3,0.000295463,9.25677e+42,7.74159,27.3814
16.4,0.000294442,8.99717e+42,7.65179,27.1497
16.5,0.000293092,8.76578e+42,7.57334,26.9415
16.6,0.000291743,8.53438e+42,7.49489,26.7333
16.7,0.000290739,8.30911e+42,7.41115,26.5183
16.8,0.000289734,8.08385e+42,7.32741,26.3034
16.9,0.000288737,7.89544e+42,7.25045,26.1021
17,0.00028774,7.70703e+42,7.17349,25.9009
17.1,0.000286421,7.47635e+42,7.09217,25.6868
17.2,0.000285102,7.24567e+42,7.01085,25.4728
17.3,0.000284121,7.1082e+42,6.94534,25.2974
17.4,0.000283139,6.97074e+42,6.87984,25.1221
17.5,0.000282165,6.81701e+42,6.8153,24.9457
