Title: Ion-by-Ion Cooling Efficiencies
Authors: Orly Gnat and Gary Ferland
Table: Ion-by-Ion Cooling Efficiencies for Lithium
================================================================================
Byte-by-byte Description of file: datafile1C.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  8 A8     K       Temperature  Temperature (column 1)
  10- 17 A8     ---     Li{0}         Ionic Cooling efficiency (column 2)
  19- 26 A8     ---     Li{+}         Ionic Cooling efficiency (column 3)
  28- 35 A8     ---     Li{2+}        Ionic Cooling efficiency (column 4)
  37- 44 A8     ---     Li{3+}        Ionic Cooling efficiency (column 5)
  46- 53 A8     ---     Li{CIE}       CIE Cooling efficiency (column 6)
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
2.98e+05 3.25e-18 6.62e-20 1.40e-20 2.45e-23 1.11e-21
3.13e+05 3.25e-18 7.39e-20 1.66e-20 2.48e-23 9.97e-22
3.30e+05 3.24e-18 8.21e-20 1.95e-20 2.52e-23 8.93e-22
3.47e+05 3.24e-18 9.06e-20 2.28e-20 2.56e-23 8.01e-22
3.66e+05 3.22e-18 9.96e-20 2.64e-20 2.61e-23 7.20e-22
3.85e+05 3.21e-18 1.09e-19 3.04e-20 2.65e-23 6.48e-22
4.05e+05 3.19e-18 1.19e-19 3.47e-20 2.69e-23 5.85e-22
4.26e+05 3.17e-18 1.29e-19 3.95e-20 2.73e-23 5.29e-22
4.49e+05 3.15e-18 1.39e-19 4.46e-20 2.77e-23 4.81e-22
4.72e+05 3.12e-18 1.50e-19 5.00e-20 2.82e-23 4.38e-22
4.97e+05 3.09e-18 1.61e-19 5.59e-20 2.86e-23 4.00e-22
5.23e+05 3.06e-18 1.73e-19 6.21e-20 2.90e-23 3.66e-22
5.51e+05 3.02e-18 1.84e-19 6.87e-20 2.95e-23 3.36e-22
5.80e+05 2.98e-18 1.96e-19 7.56e-20 2.99e-23 3.09e-22
6.10e+05 2.94e-18 2.08e-19 8.29e-20 3.03e-23 2.86e-22
6.43e+05 2.90e-18 2.23e-19 9.05e-20 3.08e-23 2.65e-22
6.76e+05 2.86e-18 2.48e-19 9.84e-20 3.12e-23 2.46e-22
7.12e+05 2.81e-18 2.63e-19 1.07e-19 3.16e-23 2.29e-22
7.49e+05 2.76e-18 2.78e-19 1.15e-19 3.21e-23 2.14e-22
7.89e+05 2.71e-18 2.93e-19 1.24e-19 3.25e-23 2.00e-22
8.30e+05 2.65e-18 3.08e-19 1.33e-19 3.29e-23 1.88e-22
8.74e+05 2.60e-18 3.24e-19 1.42e-19 3.34e-23 1.77e-22
9.20e+05 2.54e-18 3.39e-19 1.51e-19 3.38e-23 1.67e-22
9.69e+05 2.48e-18 3.55e-19 1.61e-19 3.43e-23 1.58e-22
1.02e+06 2.42e-18 3.70e-19 1.71e-19 3.48e-23 1.49e-22
1.07e+06 2.36e-18 3.86e-19 1.82e-19 3.53e-23 1.43e-22
1.13e+06 2.30e-18 4.01e-19 1.93e-19 3.58e-23 1.36e-22
1.19e+06 2.24e-18 4.16e-19 2.03e-19 3.64e-23 1.30e-22
1.25e+06 2.18e-18 4.32e-19 2.13e-19 3.69e-23 1.25e-22
1.32e+06 2.12e-18 4.47e-19 2.23e-19 3.75e-23 1.19e-22
1.39e+06 2.05e-18 4.62e-19 2.33e-19 3.80e-23 1.15e-22
1.46e+06 1.99e-18 4.76e-19 2.43e-19 3.86e-23 1.10e-22
1.54e+06 1.93e-18 4.91e-19 2.52e-19 3.91e-23 1.06e-22
1.62e+06 1.87e-18 5.05e-19 2.62e-19 3.97e-23 1.02e-22
1.70e+06 1.81e-18 5.19e-19 2.71e-19 4.02e-23 9.89e-23
1.79e+06 1.75e-18 5.33e-19 2.80e-19 4.08e-23 9.58e-23
1.89e+06 1.69e-18 5.47e-19 2.89e-19 4.14e-23 9.29e-23
1.99e+06 1.63e-18 5.60e-19 2.97e-19 4.19e-23 9.02e-23
2.09e+06 1.57e-18 5.73e-19 3.06e-19 4.25e-23 8.78e-23
2.20e+06 1.52e-18 5.85e-19 3.14e-19 4.31e-23 8.56e-23
2.32e+06 1.46e-18 5.97e-19 3.22e-19 4.36e-23 8.36e-23
2.44e+06 1.41e-18 6.09e-19 3.29e-19 4.42e-23 8.18e-23
2.57e+06 1.35e-18 6.20e-19 3.36e-19 4.48e-23 8.01e-23
2.70e+06 1.30e-18 6.31e-19 3.43e-19 4.54e-23 7.85e-23
2.84e+06 1.25e-18 6.42e-19 3.50e-19 4.60e-23 7.71e-23
2.99e+06 1.20e-18 6.52e-19 3.56e-19 4.66e-23 7.59e-23
3.15e+06 1.16e-18 6.61e-19 3.62e-19 4.72e-23 7.47e-23
3.32e+06 1.11e-18 6.70e-19 3.67e-19 4.79e-23 7.38e-23
3.49e+06 1.07e-18 6.79e-19 3.73e-19 4.87e-23 7.30e-23
3.68e+06 1.03e-18 6.87e-19 3.77e-19 4.94e-23 7.24e-23
3.87e+06 9.88e-19 6.95e-19 3.82e-19 5.02e-23 7.18e-23
4.07e+06 9.49e-19 7.02e-19 3.86e-19 5.10e-23 7.13e-23
4.29e+06 9.12e-19 7.08e-19 3.90e-19 5.18e-23 7.09e-23
4.51e+06 8.76e-19 7.14e-19 3.93e-19 5.26e-23 7.05e-23
4.75e+06 8.42e-19 7.20e-19 3.96e-19 5.34e-23 7.03e-23
5.00e+06 8.09e-19 7.25e-19 3.99e-19 5.42e-23 7.01e-23
5.01e+06 8.07e-19 7.25e-19 3.99e-19 5.42e-23 7.01e-23
5.25e+06 7.79e-19 7.29e-19 4.01e-19 5.50e-23 7.00e-23
5.50e+06 7.52e-19 7.33e-19 4.03e-19 5.57e-23 7.00e-23
5.75e+06 7.26e-19 7.36e-19 4.04e-19 5.65e-23 7.00e-23
6.03e+06 7.01e-19 7.39e-19 4.06e-19 5.73e-23 7.00e-23
6.31e+06 6.77e-19 7.41e-19 4.07e-19 5.81e-23 7.01e-23
6.61e+06 6.53e-19 7.43e-19 4.07e-19 5.89e-23 7.03e-23
6.92e+06 6.31e-19 7.45e-19 4.08e-19 5.97e-23 7.05e-23
7.24e+06 6.10e-19 7.46e-19 4.08e-19 6.05e-23 7.07e-23
7.59e+06 5.90e-19 7.47e-19 4.08e-19 6.13e-23 7.10e-23
7.94e+06 5.70e-19 7.48e-19 4.08e-19 6.21e-23 7.13e-23
8.32e+06 5.51e-19 7.48e-19 4.08e-19 6.29e-23 7.16e-23
8.71e+06 5.34e-19 7.48e-19 4.07e-19 6.38e-23 7.20e-23
9.12e+06 5.16e-19 7.47e-19 4.07e-19 6.46e-23 7.24e-23
9.55e+06 5.00e-19 7.46e-19 4.06e-19 6.55e-23 7.28e-23
1.00e+07 4.84e-19 7.45e-19 4.05e-19 6.63e-23 7.33e-23
1.05e+07 4.69e-19 7.44e-19 4.03e-19 6.74e-23 7.40e-23
1.10e+07 4.54e-19 7.42e-19 4.02e-19 6.86e-23 7.48e-23
1.15e+07 4.41e-19 7.40e-19 4.00e-19 6.97e-23 7.56e-23
1.20e+07 4.27e-19 7.37e-19 3.98e-19 7.09e-23 7.65e-23
1.26e+07 4.14e-19 7.35e-19 3.97e-19 7.21e-23 7.74e-23
1.32e+07 4.02e-19 7.32e-19 3.95e-19 7.33e-23 7.83e-23
1.38e+07 3.90e-19 7.29e-19 3.92e-19 7.46e-23 7.92e-23
1.45e+07 3.79e-19 7.25e-19 3.90e-19 7.58e-23 8.02e-23
1.51e+07 3.68e-19 7.22e-19 3.88e-19 7.71e-23 8.13e-23
1.58e+07 3.58e-19 7.18e-19 3.85e-19 7.84e-23 8.23e-23
1.66e+07 3.48e-19 7.14e-19 3.83e-19 7.97e-23 8.34e-23
1.74e+07 3.38e-19 7.10e-19 3.80e-19 8.10e-23 8.45e-23
1.82e+07 3.29e-19 7.05e-19 3.77e-19 8.24e-23 8.57e-23
1.91e+07 3.20e-19 7.01e-19 3.74e-19 8.37e-23 8.68e-23
2.00e+07 3.11e-19 6.96e-19 3.72e-19 8.51e-23 8.80e-23
2.09e+07 3.03e-19 6.91e-19 3.69e-19 8.64e-23 8.92e-23
2.19e+07 2.95e-19 6.86e-19 3.66e-19 8.78e-23 9.04e-23
2.29e+07 2.88e-19 6.81e-19 3.62e-19 8.92e-23 9.17e-23
2.40e+07 2.80e-19 6.75e-19 3.59e-19 9.06e-23 9.29e-23
2.51e+07 2.73e-19 6.70e-19 3.56e-19 9.20e-23 9.42e-23
2.63e+07 2.66e-19 6.64e-19 3.53e-19 9.34e-23 9.55e-23
2.75e+07 2.60e-19 6.59e-19 3.50e-19 9.48e-23 9.67e-23
2.88e+07 2.53e-19 6.53e-19 3.46e-19 9.62e-23 9.80e-23
3.02e+07 2.47e-19 6.47e-19 3.43e-19 9.76e-23 9.93e-23
3.16e+07 2.41e-19 6.42e-19 3.40e-19 9.89e-23 1.01e-22
3.31e+07 2.35e-19 6.36e-19 3.37e-19 1.01e-22 1.02e-22
3.47e+07 2.30e-19 6.30e-19 3.33e-19 1.02e-22 1.04e-22
3.63e+07 2.24e-19 6.24e-19 3.30e-19 1.04e-22 1.06e-22
3.80e+07 2.19e-19 6.18e-19 3.27e-19 1.06e-22 1.07e-22
3.98e+07 2.14e-19 6.12e-19 3.23e-19 1.08e-22 1.09e-22
