Title: Ion-by-Ion Cooling Efficiencies
Authors: Orly Gnat and Gary Ferland
Table: Ion-by-Ion Cooling Efficiencies for Boron
================================================================================
Byte-by-byte Description of file: datafile1E.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  8 A8     K       Temperature  Temperature (column 1)
  10- 17 A8     ---     B{0}         Ionic Cooling efficiency (column 2)
  19- 26 A8     ---     B{+}         Ionic Cooling efficiency (column 3)
  28- 35 A8     ---     B{2+}        Ionic Cooling efficiency (column 4)
  37- 44 A8     ---     B{3+}        Ionic Cooling efficiency (column 5)
  46- 53 A8     ---     B{4+}        Ionic Cooling efficiency (column 6)
  55- 62 A8     ---     B{5+}        Ionic Cooling efficiency (column 7)
  64- 71 A8     ---     B{CIE}       CIE Cooling efficiency (column 8)
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
1.00e+04 2.47e-22 4.03e-22 8.86e-21 1.45e-24 1.69e-23 2.77e-23 3.29e-22
1.05e+04 3.44e-22 6.47e-22 1.19e-20 1.49e-24 1.72e-23 2.81e-23 5.37e-22
1.10e+04 4.72e-22 1.01e-21 1.58e-20 1.53e-24 1.75e-23 2.86e-23 8.66e-22
1.16e+04 6.47e-22 1.57e-21 2.08e-20 1.57e-24 1.78e-23 2.91e-23 1.39e-21
1.22e+04 8.76e-22 2.37e-21 2.69e-20 1.62e-24 1.81e-23 2.96e-23 2.15e-21
1.28e+04 1.18e-21 3.50e-21 3.44e-20 1.66e-24 1.83e-23 3.01e-23 3.25e-21
1.34e+04 1.56e-21 5.09e-21 4.34e-20 1.71e-24 1.86e-23 3.07e-23 4.80e-21
1.41e+04 2.07e-21 7.29e-21 5.42e-20 1.75e-24 1.89e-23 3.12e-23 6.95e-21
1.48e+04 2.72e-21 1.03e-20 6.71e-20 1.80e-24 1.92e-23 3.17e-23 9.90e-21
1.55e+04 3.54e-21 1.42e-20 8.20e-20 1.85e-24 1.95e-23 3.23e-23 1.38e-20
1.63e+04 4.58e-21 1.94e-20 9.92e-20 1.90e-24 1.99e-23 3.28e-23 1.89e-20
1.71e+04 5.88e-21 2.61e-20 1.19e-19 1.95e-24 2.02e-23 3.34e-23 2.55e-20
1.80e+04 7.50e-21 3.45e-20 1.41e-19 2.00e-24 2.05e-23 3.40e-23 3.39e-20
1.89e+04 9.49e-21 4.51e-20 1.67e-19 2.06e-24 2.08e-23 3.45e-23 4.44e-20
1.99e+04 1.19e-20 5.82e-20 1.95e-19 2.11e-24 2.12e-23 3.51e-23 5.74e-20
2.09e+04 1.49e-20 7.43e-20 2.25e-19 2.17e-24 2.15e-23 3.57e-23 7.33e-20
2.20e+04 1.85e-20 9.35e-20 2.59e-19 2.23e-24 2.18e-23 3.64e-23 9.25e-20
2.31e+04 2.27e-20 1.16e-19 2.95e-19 2.29e-24 2.22e-23 3.70e-23 1.15e-19
2.43e+04 2.77e-20 1.43e-19 3.34e-19 2.35e-24 2.25e-23 3.76e-23 1.42e-19
2.56e+04 3.36e-20 1.74e-19 3.75e-19 2.41e-24 2.29e-23 3.82e-23 1.73e-19
2.69e+04 4.05e-20 2.09e-19 4.19e-19 2.47e-24 2.32e-23 3.89e-23 2.08e-19
2.83e+04 4.85e-20 2.49e-19 4.64e-19 2.54e-24 2.36e-23 3.95e-23 2.49e-19
2.98e+04 5.77e-20 2.94e-19 5.12e-19 2.61e-24 2.39e-23 4.02e-23 2.95e-19
3.14e+04 6.83e-20 3.45e-19 5.61e-19 2.68e-24 2.43e-23 4.09e-23 3.46e-19
3.30e+04 8.02e-20 4.00e-19 6.11e-19 2.76e-24 2.47e-23 4.16e-23 4.03e-19
3.47e+04 9.37e-20 4.61e-19 6.62e-19 2.84e-24 2.51e-23 4.23e-23 4.66e-19
3.65e+04 1.09e-19 5.26e-19 7.14e-19 2.93e-24 2.55e-23 4.30e-23 5.34e-19
3.84e+04 1.26e-19 5.97e-19 7.67e-19 3.01e-24 2.59e-23 4.38e-23 6.08e-19
4.04e+04 1.44e-19 6.72e-19 8.19e-19 3.10e-24 2.63e-23 4.45e-23 6.85e-19
4.26e+04 1.65e-19 7.51e-19 8.71e-19 3.20e-24 2.67e-23 4.53e-23 7.63e-19
4.48e+04 1.87e-19 8.35e-19 9.23e-19 3.29e-24 2.71e-23 4.60e-23 8.37e-19
4.71e+04 2.12e-19 9.23e-19 9.74e-19 3.39e-24 2.75e-23 4.68e-23 8.98e-19
4.96e+04 2.39e-19 1.01e-18 1.02e-18 3.48e-24 2.80e-23 4.76e-23 9.32e-19
5.22e+04 2.68e-19 1.11e-18 1.07e-18 3.58e-24 2.84e-23 4.84e-23 9.23e-19
5.49e+04 2.99e-19 1.20e-18 1.12e-18 3.69e-24 2.88e-23 4.92e-23 8.61e-19
5.78e+04 3.32e-19 1.30e-18 1.17e-18 3.79e-24 2.92e-23 5.00e-23 7.49e-19
6.08e+04 3.68e-19 1.40e-18 1.21e-18 3.90e-24 2.97e-23 5.08e-23 6.10e-19
