Title: Ion-by-Ion Cooling Efficiencies
Authors: Orly Gnat and Gary Ferland
Table: Ion-by-Ion Cooling Efficiencies for Hydrogen
================================================================================
Byte-by-byte Description of file: datafile1A.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  8 A8     K       Temperature  Temperature (column 1)
  10- 17 A8     ---     H{0}         Ionic Cooling efficiency (column 2)
  19- 26 A8     ---     H{+}         Ionic Cooling efficiency (column 3)
  28- 35 A8     ---     H{CIE}       CIE Cooling efficiency (column 4)
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
1.89e+06 1.06e-18 2.98e-24 3.09e-24
1.99e+06 1.05e-18 3.03e-24 3.14e-24
2.09e+06 1.05e-18 3.09e-24 3.19e-24
2.20e+06 1.04e-18 3.14e-24 3.24e-24
2.32e+06 1.03e-18 3.20e-24 3.29e-24
2.44e+06 1.02e-18 3.26e-24 3.34e-24
2.57e+06 1.01e-18 3.31e-24 3.39e-24
2.70e+06 1.00e-18 3.37e-24 3.45e-24
2.84e+06 9.95e-19 3.43e-24 3.50e-24
2.99e+06 9.85e-19 3.50e-24 3.56e-24
3.15e+06 9.75e-19 3.56e-24 3.62e-24
3.32e+06 9.65e-19 3.63e-24 3.69e-24
3.49e+06 9.54e-19 3.72e-24 3.77e-24
3.68e+06 9.44e-19 3.80e-24 3.85e-24
3.87e+06 9.33e-19 3.88e-24 3.93e-24
4.07e+06 9.21e-19 3.97e-24 4.01e-24
4.29e+06 9.10e-19 4.06e-24 4.10e-24
4.51e+06 8.99e-19 4.15e-24 4.19e-24
4.75e+06 8.87e-19 4.24e-24 4.27e-24
5.00e+06 8.76e-19 4.33e-24 4.36e-24
5.01e+06 8.75e-19 4.34e-24 4.37e-24
5.25e+06 8.64e-19 4.42e-24 4.45e-24
5.50e+06 8.54e-19 4.51e-24 4.54e-24
5.75e+06 8.43e-19 4.59e-24 4.62e-24
6.03e+06 8.33e-19 4.68e-24 4.71e-24
6.31e+06 8.22e-19 4.77e-24 4.80e-24
6.61e+06 8.11e-19 4.86e-24 4.89e-24
6.92e+06 8.00e-19 4.96e-24 4.98e-24
7.24e+06 7.90e-19 5.05e-24 5.07e-24
7.59e+06 7.79e-19 5.15e-24 5.17e-24
7.94e+06 7.68e-19 5.24e-24 5.26e-24
8.32e+06 7.58e-19 5.34e-24 5.36e-24
8.71e+06 7.47e-19 5.44e-24 5.46e-24
9.12e+06 7.37e-19 5.54e-24 5.56e-24
9.55e+06 7.26e-19 5.65e-24 5.66e-24
1.00e+07 7.15e-19 5.75e-24 5.76e-24
1.05e+07 7.05e-19 5.88e-24 5.89e-24
1.10e+07 6.95e-19 6.01e-24 6.02e-24
1.15e+07 6.84e-19 6.14e-24 6.16e-24
1.20e+07 6.74e-19 6.28e-24 6.29e-24
1.26e+07 6.64e-19 6.42e-24 6.43e-24
1.32e+07 6.54e-19 6.56e-24 6.57e-24
1.38e+07 6.44e-19 6.70e-24 6.71e-24
1.45e+07 6.34e-19 6.85e-24 6.86e-24
1.51e+07 6.24e-19 7.00e-24 7.01e-24
1.58e+07 6.14e-19 7.15e-24 7.16e-24
1.66e+07 6.05e-19 7.30e-24 7.31e-24
1.74e+07 5.95e-19 7.46e-24 7.47e-24
1.82e+07 5.86e-19 7.62e-24 7.62e-24
1.91e+07 5.76e-19 7.78e-24 7.78e-24
2.00e+07 5.67e-19 7.94e-24 7.95e-24
2.09e+07 5.58e-19 8.10e-24 8.11e-24
2.19e+07 5.49e-19 8.27e-24 8.27e-24
2.29e+07 5.40e-19 8.44e-24 8.44e-24
2.40e+07 5.31e-19 8.60e-24 8.61e-24
2.51e+07 5.22e-19 8.77e-24 8.78e-24
2.63e+07 5.14e-19 8.94e-24 8.94e-24
2.75e+07 5.05e-19 9.11e-24 9.11e-24
2.88e+07 4.97e-19 9.28e-24 9.28e-24
3.02e+07 4.89e-19 9.45e-24 9.45e-24
3.16e+07 4.80e-19 9.62e-24 9.62e-24
3.31e+07 4.72e-19 9.82e-24 9.83e-24
3.47e+07 4.64e-19 1.00e-23 1.00e-23
3.63e+07 4.56e-19 1.02e-23 1.02e-23
3.80e+07 4.49e-19 1.04e-23 1.04e-23
3.98e+07 4.41e-19 1.06e-23 1.06e-23
4.17e+07 4.34e-19 1.08e-23 1.08e-23
4.37e+07 4.26e-19 1.10e-23 1.10e-23
4.57e+07 4.19e-19 1.12e-23 1.12e-23
4.79e+07 4.12e-19 1.14e-23 1.14e-23
5.01e+07 4.05e-19 1.16e-23 1.16e-23
5.25e+07 3.98e-19 1.18e-23 1.18e-23
5.50e+07 3.91e-19 1.20e-23 1.20e-23
5.75e+07 3.84e-19 1.22e-23 1.22e-23
6.03e+07 3.77e-19 1.23e-23 1.23e-23
6.31e+07 3.71e-19 1.25e-23 1.25e-23
6.61e+07 3.64e-19 1.26e-23 1.26e-23
6.92e+07 3.58e-19 1.28e-23 1.28e-23
7.24e+07 3.52e-19 1.29e-23 1.29e-23
7.59e+07 3.45e-19 1.31e-23 1.31e-23
7.94e+07 3.39e-19 1.32e-23 1.32e-23
8.32e+07 3.33e-19 1.33e-23 1.33e-23
8.71e+07 3.27e-19 1.34e-23 1.34e-23
9.12e+07 3.22e-19 1.35e-23 1.35e-23
9.55e+07 3.16e-19 1.36e-23 1.36e-23
1.00e+08 3.10e-19 1.37e-23 1.37e-23
