Title: Ion-by-Ion Cooling Efficiencies
Authors: Orly Gnat and Gary Ferland
Table: Ion-by-Ion Cooling Efficiencies for Nitrogen
================================================================================
Byte-by-byte Description of file: datafile1G.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  8 A8     K       Temperature  Temperature (column 1)
  10- 17 A8     ---     N{0}         Ionic Cooling efficiency (column 2)
  19- 26 A8     ---     N{+}         Ionic Cooling efficiency (column 3)
  28- 35 A8     ---     N{2+}        Ionic Cooling efficiency (column 4)
  37- 44 A8     ---     N{3+}        Ionic Cooling efficiency (column 5)
  46- 53 A8     ---     N{4+}        Ionic Cooling efficiency (column 6)
  55- 62 A8     ---     N{5+}        Ionic Cooling efficiency (column 7)
  64- 71 A8     ---     N{6+}        Ionic Cooling efficiency (column 8)
  73- 80 A8     ---     N{7+}        Ionic Cooling efficiency (column 9)
  82- 89 A8     ---     N{CIE}       CIE Cooling efficiency (column 10)
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
6.74e+04 2.43e-19 2.68e-19 2.10e-19 2.56e-19 3.37e-19 1.09e-23 7.53e-23 1.16e-22 2.26e-19
7.09e+04 2.64e-19 2.96e-19 2.32e-19 2.82e-19 3.59e-19 1.12e-23 7.64e-23 1.18e-22 2.47e-19
7.46e+04 2.85e-19 3.26e-19 2.55e-19 3.09e-19 3.80e-19 1.15e-23 7.76e-23 1.20e-22 2.70e-19
7.86e+04 3.08e-19 3.59e-19 2.79e-19 3.36e-19 4.01e-19 1.18e-23 7.88e-23 1.22e-22 2.95e-19
8.27e+04 3.33e-19 3.93e-19 3.04e-19 3.65e-19 4.22e-19 1.21e-23 8.00e-23 1.24e-22 3.22e-19
8.70e+04 3.58e-19 4.30e-19 3.29e-19 3.95e-19 4.43e-19 1.24e-23 8.13e-23 1.26e-22 3.50e-19
9.16e+04 3.85e-19 4.68e-19 3.56e-19 4.25e-19 4.62e-19 1.28e-23 8.25e-23 1.28e-22 3.81e-19
9.64e+04 4.13e-19 5.08e-19 3.83e-19 4.55e-19 4.82e-19 1.31e-23 8.38e-23 1.30e-22 4.12e-19
1.02e+05 4.42e-19 5.50e-19 4.11e-19 4.86e-19 5.00e-19 1.35e-23 8.50e-23 1.32e-22 4.46e-19
1.07e+05 4.72e-19 5.94e-19 4.39e-19 5.16e-19 5.18e-19 1.39e-23 8.64e-23 1.34e-22 4.80e-19
1.12e+05 5.04e-19 6.39e-19 4.67e-19 5.47e-19 5.34e-19 1.43e-23 8.78e-23 1.37e-22 5.14e-19
1.18e+05 5.37e-19 6.86e-19 4.96e-19 5.78e-19 5.50e-19 1.47e-23 8.92e-23 1.39e-22 5.48e-19
1.24e+05 5.71e-19 7.35e-19 5.25e-19 6.08e-19 5.66e-19 1.52e-23 9.06e-23 1.41e-22 5.82e-19
1.31e+05 6.07e-19 7.85e-19 5.55e-19 6.38e-19 5.80e-19 1.57e-23 9.20e-23 1.44e-22 6.13e-19
1.38e+05 6.44e-19 8.36e-19 5.84e-19 6.68e-19 5.93e-19 1.61e-23 9.34e-23 1.46e-22 6.41e-19
1.45e+05 6.81e-19 8.88e-19 6.14e-19 6.96e-19 6.06e-19 1.66e-23 9.49e-23 1.49e-22 6.63e-19
1.53e+05 7.20e-19 9.42e-19 6.43e-19 7.24e-19 6.17e-19 1.71e-23 9.63e-23 1.51e-22 6.75e-19
1.61e+05 7.61e-19 9.96e-19 6.73e-19 7.52e-19 6.28e-19 1.76e-23 9.78e-23 1.54e-22 6.69e-19
1.69e+05 8.02e-19 1.05e-18 7.03e-19 7.79e-19 6.38e-19 1.81e-23 9.93e-23 1.56e-22 6.38e-19
1.78e+05 8.45e-19 1.11e-18 7.32e-19 8.05e-19 6.48e-19 1.86e-23 1.01e-22 1.59e-22 5.80e-19
1.88e+05 8.88e-19 1.16e-18 7.62e-19 8.30e-19 6.56e-19 1.91e-23 1.02e-22 1.61e-22 4.97e-19
1.98e+05 9.33e-19 1.22e-18 7.91e-19 8.55e-19 6.64e-19 1.97e-23 1.04e-22 1.64e-22 4.02e-19
2.08e+05 9.79e-19 1.28e-18 8.20e-19 8.78e-19 6.71e-19 2.02e-23 1.05e-22 1.67e-22 3.10e-19
2.19e+05 1.03e-18 1.34e-18 8.50e-19 9.01e-19 6.77e-19 2.08e-23 1.07e-22 1.69e-22 2.32e-19
2.30e+05 1.07e-18 1.40e-18 8.79e-19 9.23e-19 6.83e-19 2.13e-23 1.09e-22 1.72e-22 1.71e-19
2.42e+05 1.12e-18 1.45e-18 9.08e-19 9.44e-19 6.88e-19 2.19e-23 1.10e-22 1.75e-22 1.25e-19
2.55e+05 1.17e-18 1.51e-18 9.36e-19 9.65e-19 6.93e-19 2.25e-23 1.12e-22 1.78e-22 9.27e-20
2.69e+05 1.22e-18 1.57e-18 9.65e-19 9.85e-19 6.97e-19 2.31e-23 1.13e-22 1.80e-22 6.90e-20
2.83e+05 1.27e-18 1.63e-18 9.94e-19 1.00e-18 7.01e-19 2.38e-23 1.15e-22 1.83e-22 5.20e-20
