 20061204
 3 23      1634         1  2.91e-11     0.884      0.13
 3 24      1788         1  2.54e-11     0.883      0.13
 3 25      1960         1  2.29e-11     0.936      0.12
 3 26      2119         1  1.92e-11     0.117      0.42
 3 27      2295         1  1.84e-11     0.991      0.11
 3 28      2459         1  1.84e-11     0.991      0.11
 3 29      2647         1  1.84e-11     0.991      0.11
 4  4       8.3         0  6.49e-08       0.2      0.26
 4  5      24.4         1  1.86e-08     0.286      0.24
 4  6      47.5         1   8.1e-09      0.35      0.24
 4  7      77.4         0  1.02e-08     0.614      0.27
 4  8     114.2         0  7.06e-09     0.684      0.27
 4  9     157.9         0  3.45e-09     0.581      0.28
 4 10     208.5         0  2.82e-09     0.674      0.27
 4 11       266         0   2.2e-09     0.897      0.22
 4 12     390.2         1  5.83e-10     0.497      0.23
 4 13     401.4         1  4.65e-10     0.666      0.04
 4 14     479.6         0  6.14e-10     0.334      0.39
 4 15     564.7         0  5.23e-10     0.428      0.35
 4 16     656.7         0  4.81e-10     0.658      0.27
 4 17     755.7         0  3.33e-10     0.412      0.36
 4 18     861.1         0  2.69e-10     0.396      0.37
 4 19       974         0  2.16e-10     0.357      0.39
 4 20      1094         0  1.81e-10      1.14      0.36
 4 21      1221         0  1.55e-10      1.15      0.36
 4 22      1355         1  5.38e-11     0.137       0.4
 4 23      1496         0  1.17e-10      1.21      0.35
 4 24      1644         0  1.02e-10      1.22      0.35
 4 25      1800         0   8.9e-11       1.2      0.35
 4 26      1962         1  5.01e-11     0.714      0.11
 4 27      2131         0  6.91e-11      1.21      0.35
 4 28      2298         0  6.91e-11      1.21      0.35
 4 29      2479         0  6.91e-11      1.21      0.35
 5  5      11.3         0  6.85e-08     0.193      0.25
 5  6      29.6         0  2.98e-08      0.31       0.3
 5  7      54.9         1  9.31e-09      0.27      0.27
 5  8      87.1         1  4.92e-09     0.323      0.24
 5  9     126.2         1  2.79e-09     0.305      0.25
 5 10     172.2         1  1.85e-09     0.363      0.22
 5 11     224.9         1  1.22e-09     0.343      0.23
 5 12     284.6         1     8e-10     0.417      0.16
 5 13     351.1         1  6.01e-10     0.305      0.25
 5 14     424.5         1  4.69e-10     0.342      0.23
 5 15     504.8         1  3.49e-10     0.305      0.25
 5 16       592         1  2.85e-10     0.343      0.23
 5 17     686.1         1  2.32e-10     0.362      0.22
 5 18     786.6         1  1.86e-10     0.344      0.23
 5 19     894.5         1  1.56e-10     0.364      0.22
 5 20      1009         1  1.56e-10     0.715      0.17
 5 21      1131         1  1.34e-10     0.757      0.16
 5 22      1260         0  5.02e-10      2.12      0.15
 5 23      1396         1  1.01e-10     0.805      0.15
 5 24      1539         1   8.7e-11     0.802      0.15
 5 25      1690         1  7.84e-11     0.848      0.14
 5 26      1846         0  3.45e-10      2.84      0.11
 5 27      2011         1  6.04e-11     0.849      0.14
 5 28      2173         1  6.04e-11     0.849      0.14
 5 29      2363         1  6.04e-11     0.849      0.14
 6  6      14.5         0  4.82e-08    0.0652      0.42
 6  7      35.1         1  1.39e-08     0.212      0.22
 6  8      62.7         1  9.37e-09     0.319       0.2
 6  9      97.1         1  4.24e-09    0.0482      0.58
 6 10     138.4         1  2.63e-09      0.23      0.29
 6 11     186.5         1   1.7e-09     0.242      0.28
 6 12     241.4         1  1.14e-09     0.228      0.29
 6 13     303.5         1  8.27e-10     0.239      0.28
 6 14     371.7         1  6.14e-10     0.256      0.27
 6 15     447.1         1  4.59e-10     0.242      0.28
 6 16     529.3         1  3.69e-10     0.273      0.26
 6 17     618.3         1  2.88e-10     0.259      0.27
 6 18     714.6         1  2.29e-10     0.245      0.28
 6 19     817.6         1  1.86e-10     0.244      0.28
 6 20     927.5         1  2.73e-10     0.866      0.15
 6 21      1044         1  2.28e-10     0.858      0.15
 6 22      1168         0  5.91e-10      1.61      0.18
 6 23      1299         1  1.68e-10      0.91      0.14
 6 24      1437         1  1.49e-10     0.968      0.13
 6 25      1582         1  1.33e-10      1.03      0.12
 6 26      1735         1  9.08e-11     0.511      0.17
 6 27      1894         1  1.05e-10      1.09      0.11
 6 28      2045         1  1.05e-10      1.09      0.11
 6 29      2216         1  1.05e-10      1.09      0.11
 7  7      13.6         0  3.59e-08     0.073      0.34
 7  8        35         0  5.41e-08     0.571      0.27
 7  9      63.5         1  7.03e-09    0.0677      0.39
 7 10      98.9         0  1.14e-08     0.553      0.28
 7 11     141.3         0   7.1e-09     0.658      0.25
 7 12     198.5         1  1.85e-09     0.152      0.36
 7 13     246.5         1  1.23e-09     0.518      0.07
 7 14     309.4         0  2.27e-09     0.734      0.23
 7 15     379.1         0  1.35e-09     0.431      0.32
 7 16     455.6         0  9.48e-10     0.344      0.36
 7 17       539         0  8.02e-10     0.439      0.32
 7 18     629.4         0  6.24e-10     0.418      0.33
 7 19     726.6         0  4.78e-10     0.359      0.36
 7 20     830.8         1   4.5e-10      1.05      0.13
 7 21     941.9         1  3.73e-10      1.05      0.13
 7 22      1060         1  2.49e-10      0.65      0.14
 7 23      1185         1  2.49e-10     0.931      0.15
 7 24      1317         1  2.18e-10      0.99      0.14
 7 25      1470         1  1.87e-10     0.988      0.14
 7 26      1603         1  1.32e-10     0.682      0.13
 7 27      1756         1  1.51e-10      1.11      0.12
 7 28      1905         1  1.51e-10      1.11      0.12
 7 29      2070         1  1.51e-10      1.11      0.12
 8  8      17.4         1     7e-08     0.178      0.29
 8  9        41         0  1.98e-08     0.295       0.2
 8 10      71.6         1   8.1e-09     0.148      0.32
 8 11     109.3         1  4.35e-09     0.159      0.31
 8 12     153.8         1  2.61e-09     0.159      0.31
 8 13     205.3         1  1.74e-09      0.18      0.29
 8 14     263.2         1  1.24e-09     0.215      0.26
 8 15     328.2         1  8.73e-10     0.193      0.28
 8 16     400.1         1  6.32e-10     0.173       0.3
 8 17     478.7         1  4.78e-10     0.164      0.31
 8 18     564.7         1  3.78e-10     0.173       0.3
 8 19     657.2         1  2.98e-10     0.163      0.31
 8 20     756.7         1  5.64e-10     0.873      0.15
 8 21     863.1         1  4.39e-10     0.781      0.17
 8 22       976         0  4.84e-10     0.173      0.57
 8 23      1097         1  3.31e-10     0.924      0.14
 8 24      1244         1  2.74e-10     0.923      0.14
 8 25      1360         1  2.45e-10     0.978      0.13
 8 26      1486         1  1.56e-10     0.572      0.15
 8 27      1648         1  1.92e-10      1.04      0.12
 8 28      1793         1  1.92e-10      1.04      0.12
 8 29      1953         1  1.92e-10      1.04      0.12
 9  9      21.6         1   1.5e-08    0.0329      0.43
 9 10      47.3         1  7.35e-09     0.056      0.35
 9 11      80.1         1  5.56e-09     0.107       0.3
 9 12       120         0  1.75e-08     0.872      0.22
 9 13     166.8         1  1.76e-09     0.102      0.31
 9 14     220.4         0  6.66e-09         1      0.18
 9 15     280.9         0  4.93e-09      1.13      0.16
 9 16     348.3         0  2.11e-09     0.313      0.37
 9 17     422.4         1   1.4e-09     0.696      0.13
 9 18       504         1  1.07e-09     0.695      0.13
 9 19     591.9         0  9.47e-10     0.311      0.38
 9 20     687.4         1  5.52e-10     0.375      0.28
 9 21     787.8         1  4.41e-10     0.359      0.29
 9 22       896         1   3.8e-10     0.409      0.27
 9 23      1011         1  4.64e-10     0.971      0.12
 9 24      1133         1  4.03e-10      1.04      0.11
 9 25      1262         1  3.61e-10      1.16      0.09
 9 26      1397         1   3.1e-10      1.17      0.09
 9 27      1541         1  2.78e-10      1.25      0.08
 9 28      1690         1  2.78e-10      1.25      0.08
 9 29      1846         1  2.78e-10      1.25      0.08
10 10       5.1         1  1.01e-07     0.275      0.23
10 11      15.2         0  1.92e-08    0.0027      0.85
10 12      28.5         1   4.4e-09     0.106      0.24
10 13        54         1  4.94e-09     0.172      0.23
10 14        65         1  2.36e-09     0.192      0.17
10 15      88.1         1  1.33e-09    0.0688      0.35
10 16     114.2         1  1.01e-09     0.196      0.16
10 17     143.5         1  7.25e-10     0.207      0.15
10 18     175.8         0  1.61e-09     0.642      0.13
10 19     211.3         1  4.32e-10     0.232      0.14
10 20     249.8         1  3.62e-10     0.349      0.05
10 21     291.5         0  9.09e-10     0.972      0.06
10 22     336.3         0  3.89e-10     0.142      0.39
10 23     384.2         1  1.61e-10      0.15      0.22
10 24     435.2         1  1.52e-10     0.299      0.08
10 25     489.3         1  1.18e-10     0.211      0.15
10 26     546.6         1  1.05e-10     0.252      0.12
10 27       607         1   7.9e-11      0.16      0.19
10 28     670.6         1   7.9e-11      0.16      0.19
10 29     737.4         1   7.9e-11      0.16      0.19
11 11       7.6         0  6.21e-07     0.592      0.39
11 12      18.8         0  1.18e-07      2.21      0.25
11 13      33.5         1  2.01e-08     0.473      0.22
11 14      51.4         1  1.01e-08     0.546       0.2
11 15      72.6         1  6.12e-09      0.58      0.19
11 16        97         1  3.17e-09      0.33      0.24
11 17     124.3         1  2.98e-09     0.703      0.16
11 18     154.7         1  2.15e-09     0.828      0.14
11 19     188.3         1  1.57e-09     0.799      0.14
11 20     225.1         1  1.24e-09     0.852      0.13
11 21       265         1  1.11e-09     0.885      0.12
11 22       308         1  8.86e-10     0.886      0.12
11 23     354.8         1  7.19e-10     0.887      0.12
11 24       403         1   5.6e-10     0.787      0.14
11 25       457         1  4.41e-10     0.698      0.16
11 26       512         1  3.62e-10     0.658      0.17
11 27     571.3         1     3e-10     0.622      0.18
11 28       633         1     3e-10     0.622      0.18
11 29       698         1     3e-10     0.622      0.18
12 12         6         1  2.28e-07     0.387      0.25
12 13      16.4         1  6.43e-08     0.632       0.2
12 14      30.2         1  2.96e-08     0.865      0.16
12 15      47.3         1  1.66e-08      1.03      0.14
12 16      67.8         1  1.11e-08      1.37       0.1
12 17        91         1  5.78e-09     0.314      0.34
12 18     117.6         1  2.23e-09     0.519      0.16
12 19     147.2         1  1.64e-09     0.552      0.15
12 20       180         1  1.26e-09      0.61      0.14
12 21     215.9         1  1.62e-09     0.765      0.14
12 22       256         1  1.26e-09     0.762      0.14
