# CIE high-charge-pool tables for N (Z=7, pool q = 2 .. 7)
# Source: ioneq_N.txt + cool_N.txt
# x_high_frac  = sum_{q >= 2} ioneq_q(T)
# q_high_mean  = sum_{q >= 2} q * ioneq_q / x_high_frac  (0 where pool is empty)
# Lambda_high  = sum_{q >= 2} ioneq_q * L_q     [erg cm^3 / s]
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/chemistry/tables/chianti_v11/build_cie_high_pool.py
#
# log_T_K        x_high_frac    q_high_mean    Lambda_high  
         7.8500   1.000000e+00   6.999687e+00   7.386282e-22
         7.9000   1.000000e+00   6.999729e+00   7.680958e-22
         7.9500   1.000000e+00   6.999765e+00   8.007184e-22
         8.0000   1.000000e+00   6.999796e+00   8.365507e-22
         8.0500   1.000000e+00   6.999824e+00   8.756599e-22
         8.1000   1.000000e+00   6.999847e+00   9.181285e-22
         8.1500   1.000000e+00   6.999868e+00   9.640535e-22
         8.2000   1.000000e+00   6.999886e+00   1.013547e-21
         8.2500   1.000000e+00   6.999902e+00   1.066735e-21
         8.3000   1.000000e+00   6.999916e+00   1.123760e-21
         8.3500   1.000000e+00   6.999928e+00   1.184777e-21
         8.4000   1.000000e+00   6.999938e+00   1.249964e-21
         8.4500   1.000000e+00   6.999947e+00   1.319506e-21
         8.5000   1.000000e+00   6.999955e+00   1.393612e-21
         8.5500   1.000000e+00   6.999962e+00   1.472506e-21
         8.6000   1.000000e+00   6.999967e+00   1.556429e-21
         8.6500   1.000000e+00   6.999972e+00   1.646732e-21
         8.7000   1.000000e+00   6.999977e+00   1.743757e-21
         8.7500   1.000000e+00   6.999980e+00   1.846626e-21
         8.8000   1.000000e+00   6.999983e+00   1.955670e-21
         8.8500   1.000000e+00   6.999986e+00   2.071241e-21
         8.9000   1.000000e+00   6.999988e+00   2.193718e-21
         8.9500   1.000000e+00   6.999990e+00   2.323498e-21
         9.0000   1.000000e+00   6.999992e+00   2.461006e-21
