# CIE high-charge-pool tables for S (Z=16, pool q = 3 .. 16)
# Source: ioneq_S.txt + cool_S.txt
# x_high_frac  = sum_{q >= 3} ioneq_q(T)
# q_high_mean  = sum_{q >= 3} q * ioneq_q / x_high_frac  (0 where pool is empty)
# Lambda_high  = sum_{q >= 3} ioneq_q * L_q     [erg cm^3 / s]
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/chemistry/tables/chianti_v11/build_cie_high_pool.py
#
# log_T_K        x_high_frac    q_high_mean    Lambda_high  
         7.8000   1.000000e+00   1.590162e+01   9.642974e-21
         7.8500   1.000000e+00   1.591914e+01   8.989544e-21
         7.9000   1.000000e+00   1.593305e+01   8.487555e-21
         7.9500   1.000000e+00   1.594419e+01   8.109290e-21
         8.0000   1.000000e+00   1.595319e+01   7.832996e-21
         8.0500   1.000000e+00   1.596054e+01   7.641835e-21
         8.1000   1.000000e+00   1.596657e+01   7.522972e-21
         8.1500   1.000000e+00   1.597157e+01   7.466713e-21
         8.2000   1.000000e+00   1.597574e+01   7.465778e-21
         8.2500   1.000000e+00   1.597924e+01   7.514765e-21
         8.3000   1.000000e+00   1.598220e+01   7.609758e-21
         8.3500   1.000000e+00   1.598470e+01   7.748014e-21
         8.4000   1.000000e+00   1.598683e+01   7.927379e-21
         8.4500   1.000000e+00   1.598866e+01   8.146431e-21
         8.5000   1.000000e+00   1.599022e+01   8.404450e-21
         8.5500   1.000000e+00   1.599157e+01   8.701054e-21
         8.6000   1.000000e+00   1.599273e+01   9.036020e-21
         8.6500   1.000000e+00   1.599373e+01   9.409454e-21
         8.7000   1.000000e+00   1.599460e+01   9.821763e-21
         8.7500   1.000000e+00   1.599535e+01   1.027353e-20
         8.8000   1.000000e+00   1.599601e+01   1.076552e-20
         8.8500   1.000000e+00   1.599657e+01   1.129876e-20
         8.9000   1.000000e+00   1.599706e+01   1.187441e-20
         8.9500   1.000000e+00   1.599749e+01   1.249383e-20
         9.0000   1.000000e+00   1.599785e+01   1.315860e-20
