# CIE high-charge-pool tables for C (Z=6, pool q = 2 .. 6)
# Source: ioneq_C.txt + cool_C.txt
# x_high_frac  = sum_{q >= 2} ioneq_q(T)
# q_high_mean  = sum_{q >= 2} q * ioneq_q / x_high_frac  (0 where pool is empty)
# Lambda_high  = sum_{q >= 2} ioneq_q * L_q     [erg cm^3 / s]
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/chemistry/tables/chianti_v11/build_cie_high_pool.py
#
# log_T_K        x_high_frac    q_high_mean    Lambda_high  
         7.8500   1.000000e+00   5.999885e+00   5.185705e-22
         7.9000   1.000000e+00   5.999900e+00   5.426580e-22
         7.9500   1.000000e+00   5.999914e+00   5.688218e-22
         8.0000   1.000000e+00   5.999925e+00   5.971236e-22
         8.0500   1.000000e+00   5.999936e+00   6.276341e-22
         8.1000   1.000000e+00   5.999944e+00   6.604316e-22
         8.1500   1.000000e+00   5.999952e+00   6.956048e-22
         8.2000   1.000000e+00   5.999959e+00   7.332510e-22
         8.2500   1.000000e+00   5.999965e+00   7.734783e-22
         8.3000   1.000000e+00   5.999970e+00   8.164036e-22
         8.3500   1.000000e+00   5.999974e+00   8.621537e-22
         8.4000   1.000000e+00   5.999978e+00   9.108677e-22
         8.4500   1.000000e+00   5.999981e+00   9.626962e-22
         8.5000   1.000000e+00   5.999984e+00   1.018026e-21
         8.5500   1.000000e+00   5.999987e+00   1.077995e-21
         8.6000   1.000000e+00   5.999989e+00   1.141576e-21
         8.6500   1.000000e+00   5.999991e+00   1.208975e-21
         8.7000   1.000000e+00   5.999992e+00   1.280412e-21
         8.7500   1.000000e+00   5.999993e+00   1.356116e-21
         8.8000   1.000000e+00   5.999994e+00   1.436337e-21
         8.8500   1.000000e+00   5.999995e+00   1.521335e-21
         8.9000   1.000000e+00   5.999996e+00   1.611392e-21
         8.9500   1.000000e+00   5.999997e+00   1.706801e-21
         9.0000   1.000000e+00   5.999997e+00   1.807878e-21
