# CIE high-charge-pool tables for O (Z=8, pool q = 3 .. 8)
# Source: ioneq_O.txt + cool_O.txt
# x_high_frac  = sum_{q >= 3} ioneq_q(T)
# q_high_mean  = sum_{q >= 3} q * ioneq_q / x_high_frac  (0 where pool is empty)
# Lambda_high  = sum_{q >= 3} ioneq_q * L_q     [erg cm^3 / s]
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/chemistry/tables/chianti_v11/build_cie_high_pool.py
#
# log_T_K        x_high_frac    q_high_mean    Lambda_high  
         7.8500   1.000000e+00   7.999256e+00   1.014975e-21
         7.9000   1.000000e+00   7.999355e+00   1.048825e-21
         7.9500   1.000000e+00   7.999441e+00   1.087194e-21
         8.0000   1.000000e+00   7.999516e+00   1.130111e-21
         8.0500   1.000000e+00   7.999580e+00   1.177640e-21
         8.1000   1.000000e+00   7.999636e+00   1.229869e-21
         8.1500   1.000000e+00   7.999685e+00   1.286904e-21
         8.2000   1.000000e+00   7.999727e+00   1.348868e-21
         8.2500   1.000000e+00   7.999764e+00   1.415909e-21
         8.3000   1.000000e+00   7.999796e+00   1.488191e-21
         8.3500   1.000000e+00   7.999824e+00   1.565903e-21
         8.4000   1.000000e+00   7.999849e+00   1.649252e-21
         8.4500   1.000000e+00   7.999870e+00   1.738469e-21
         8.5000   1.000000e+00   7.999889e+00   1.833810e-21
         8.5500   1.000000e+00   7.999905e+00   1.935550e-21
         8.6000   1.000000e+00   7.999919e+00   2.043992e-21
         8.6500   1.000000e+00   7.999931e+00   2.159463e-21
         8.7000   1.000000e+00   7.999941e+00   2.282320e-21
         8.7500   1.000000e+00   7.999950e+00   2.413480e-21
         8.8000   1.000000e+00   7.999958e+00   2.555636e-21
         8.8500   1.000000e+00   7.999964e+00   2.706362e-21
         8.9000   1.000000e+00   7.999970e+00   2.866141e-21
         8.9500   1.000000e+00   7.999975e+00   3.035491e-21
         9.0000   1.000000e+00   7.999979e+00   3.214961e-21
