# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         4.9000   0.000000e+00   5.401754e-25   1.937436e-24   4.179608e-24   7.231966e-24   1.101669e-23   1.569324e-23   2.052645e-23   2.681006e-23
         4.9500   0.000000e+00   5.798847e-25   2.077105e-24   4.472167e-24   7.726607e-24   1.175185e-23   1.672856e-23   2.174272e-23   2.839866e-23
         5.0000   0.000000e+00   6.220999e-25   2.227875e-24   4.787654e-24   8.259161e-24   1.254167e-23   1.783966e-23   2.303106e-23   3.008138e-23
         5.0500   0.000000e+00   6.667222e-25   2.390612e-24   5.128009e-24   8.832866e-24   1.339077e-23   1.903286e-23   2.439574e-23   3.186382e-23
         5.1000   0.000000e+00   7.135784e-25   2.566200e-24   5.495311e-24   9.451237e-24   1.430419e-23   2.031505e-23   2.584127e-23   3.375187e-23
         5.1500   0.000000e+00   7.624141e-25   2.755528e-24   5.891785e-24   1.011808e-23   1.528740e-23   2.169376e-23   2.737247e-23   3.575179e-23
         5.2000   0.000000e+00   8.129202e-25   2.959442e-24   6.319768e-24   1.083749e-23   1.634638e-23   2.317721e-23   2.900149e-23   3.787022e-23
         5.2500   0.000000e+00   8.647411e-25   3.178683e-24   6.781707e-24   1.161386e-23   1.748759e-23   2.477433e-23   3.082592e-23   4.011417e-23
         5.3000   0.000000e+00   9.175318e-25   3.413838e-24   7.280099e-24   1.245189e-23   1.871806e-23   2.649484e-23   3.277421e-23   4.258395e-23
         5.3500   0.000000e+00   9.709703e-25   3.665198e-24   7.817434e-24   1.335653e-23   2.004533e-23   2.834928e-23   3.485578e-23   4.526993e-23
         5.4000   0.000000e+00   1.024818e-24   3.932730e-24   8.396073e-24   1.433293e-23   2.147756e-23   3.034905e-23   3.708086e-23   4.813906e-23
         5.4500   0.000000e+00   1.078936e-24   4.215906e-24   9.018054e-24   1.538638e-23   2.302343e-23   3.250643e-23   3.946062e-23   5.120534e-23
         5.5000   0.000000e+00   1.133302e-24   4.513735e-24   9.684965e-24   1.652211e-23   2.469217e-23   3.483461e-23   4.200726e-23   5.448400e-23
         5.5500   0.000000e+00   1.188033e-24   4.824688e-24   1.039752e-23   1.774511e-23   2.649344e-23   3.734771e-23   4.473411e-23   5.799171e-23
         5.6000   0.000000e+00   1.243361e-24   5.146855e-24   1.115548e-23   1.905966e-23   2.843714e-23   4.006053e-23   4.765571e-23   6.174667e-23
         5.6500   0.000000e+00   1.299631e-24   5.477989e-24   1.195723e-23   2.046908e-23   3.053336e-23   4.298859e-23   5.078794e-23   6.576875e-23
         5.7000   0.000000e+00   1.357276e-24   5.815866e-24   1.279980e-23   2.197483e-23   3.279167e-23   4.614773e-23   5.414814e-23   7.007964e-23
         5.7500   0.000000e+00   1.416796e-24   6.158314e-24   1.367873e-23   2.357639e-23   3.522086e-23   4.955373e-23   5.775528e-23   7.470299e-23
         5.8000   0.000000e+00   1.478720e-24   6.503719e-24   1.458855e-23   2.527023e-23   3.782790e-23   5.322159e-23   6.163004e-23   7.966471e-23
         5.8500   0.000000e+00   1.543608e-24   6.850969e-24   1.552288e-23   2.705005e-23   4.061695e-23   5.716426e-23   6.579494e-23   8.499307e-23
         5.9000   0.000000e+00   1.612023e-24   7.199793e-24   1.647546e-23   2.890641e-23   4.358853e-23   6.139183e-23   7.027460e-23   9.071885e-23
         5.9500   0.000000e+00   1.684530e-24   7.550707e-24   1.744032e-23   3.082769e-23   4.673793e-23   6.590887e-23   7.509587e-23   9.687564e-23
         6.0000   0.000000e+00   1.761615e-24   7.905052e-24   1.841304e-23   3.280039e-23   5.005527e-23   7.071400e-23   8.028790e-23   1.035002e-22
         6.0500   0.000000e+00   1.843777e-24   8.264888e-24   1.939077e-23   3.481135e-23   5.352455e-23   7.579690e-23   8.588236e-23   1.106323e-22
         6.1000   0.000000e+00   1.931544e-24   8.632886e-24   2.037296e-23   3.684800e-23   5.712509e-23   8.113890e-23   9.191363e-23   1.183155e-22
         6.1500   0.000000e+00   2.025391e-24   9.012152e-24   2.136136e-23   3.890105e-23   6.083231e-23   8.671182e-23   9.841876e-23   1.265967e-22
         6.2000   0.000000e+00   2.125753e-24   9.406090e-24   2.235996e-23   4.096464e-23   6.462090e-23   9.248096e-23   1.054377e-22   1.355269e-22
         6.2500   0.000000e+00   2.233071e-24   9.818223e-24   2.337480e-23   4.303762e-23   6.846587e-23   9.840582e-23   1.130132e-22   1.451610e-22
         6.3000   0.000000e+00   2.347795e-24   1.025218e-23   2.441354e-23   4.512387e-23   7.234784e-23   1.044468e-22   1.211907e-22   1.555578e-22
         6.3500   0.000000e+00   2.470364e-24   1.071164e-23   2.548506e-23   4.723186e-23   7.625232e-23   1.105659e-22   1.300179e-22   1.667804e-22
         6.4000   0.000000e+00   2.601230e-24   1.119980e-23   2.659894e-23   4.937443e-23   8.017470e-23   1.167351e-22   1.395441e-22   1.788948e-22
         6.4500   0.000000e+00   2.740857e-24   1.171983e-23   2.776521e-23   5.156777e-23   8.411828e-23   1.229361e-22   1.498196e-22   1.919704e-22
