# CIE bound-bound cooling efficiency for Ca (Z=20)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ca0          L_Ca1          L_Ca2          L_Ca3          L_Ca4          L_Ca5          L_Ca6          L_Ca7          L_Ca8          L_Ca9          L_Ca10         L_Ca11         L_Ca12         L_Ca13         L_Ca14         L_Ca15         L_Ca16         L_Ca17         L_Ca18         L_Ca19         L_Ca20       
         3.8000   0.000000e+00   1.274447e-25   4.894288e-25   1.062577e-24   1.889026e-24   2.951602e-24   4.250307e-24   5.785141e-24   7.556102e-24   9.563192e-24   1.180641e-23   1.428576e-23   1.700123e-23   1.995283e-23   2.314056e-23   2.656442e-23   3.022441e-23   3.412052e-23   3.825277e-23   4.262114e-23   4.722564e-23
         3.8500   0.000000e+00   1.361649e-25   5.215735e-25   1.125538e-24   2.000957e-24   3.126496e-24   4.502154e-24   6.127932e-24   8.003829e-24   1.012985e-23   1.250598e-23   1.513224e-23   1.800862e-23   2.113511e-23   2.451173e-23   2.813846e-23   3.201532e-23   3.614229e-23   4.051939e-23   4.514660e-23   5.002393e-23
         3.9000   0.000000e+00   1.455537e-25   5.560552e-25   1.192231e-24   2.119521e-24   3.311752e-24   4.768923e-24   6.491035e-24   8.478086e-24   1.073008e-23   1.324701e-23   1.602888e-23   1.907569e-23   2.238745e-23   2.596414e-23   2.980577e-23   3.391234e-23   3.828386e-23   4.292031e-23   4.782170e-23   5.298804e-23
         3.9500   0.000000e+00   1.556683e-25   5.930683e-25   1.262875e-24   2.245111e-24   3.507986e-24   5.051500e-24   6.875653e-24   8.980444e-24   1.136587e-23   1.403194e-23   1.697865e-23   2.020600e-23   2.371399e-23   2.750261e-23   3.157187e-23   3.592178e-23   4.055232e-23   4.546350e-23   5.065532e-23   5.612778e-23
         4.0000   0.000000e+00   1.665707e-25   6.328244e-25   1.337705e-24   2.378142e-24   3.715847e-24   5.350820e-24   7.283061e-24   9.512569e-24   1.203934e-23   1.486339e-23   1.798470e-23   2.140328e-23   2.511913e-23   2.913224e-23   3.344262e-23   3.805028e-23   4.295519e-23   4.815738e-23   5.365683e-23   5.945356e-23
         4.0500   0.000000e+00   1.783279e-25   6.755544e-25   1.418454e-24   2.519056e-24   3.936025e-24   5.667876e-24   7.714609e-24   1.007622e-23   1.275272e-23   1.574410e-23   1.905036e-23   2.267150e-23   2.660753e-23   3.085844e-23   3.542423e-23   4.030490e-23   4.550045e-23   5.101088e-23   5.683620e-23   6.297640e-23
         4.1000   0.000000e+00   1.910122e-25   7.215103e-25   1.507785e-24   2.668319e-24   4.169249e-24   6.003719e-24   8.171728e-24   1.067328e-23   1.350837e-23   1.667700e-23   2.017917e-23   2.401488e-23   2.818412e-23   3.268691e-23   3.752324e-23   4.269311e-23   4.819652e-23   5.403347e-23   6.020396e-23   6.670799e-23
         4.1500   0.000000e+00   2.047010e-25   7.709673e-25   1.603192e-24   2.826427e-24   4.416293e-24   6.359461e-24   8.655934e-24   1.130571e-23   1.430879e-23   1.766517e-23   2.137486e-23   2.543785e-23   2.985414e-23   3.462373e-23   3.974663e-23   4.522284e-23   5.105234e-23   5.723515e-23   6.377127e-23   7.066068e-23
         4.2000   0.000000e+00   2.194772e-25   8.242240e-25   1.705137e-24   3.003045e-24   4.677974e-24   6.736283e-24   9.168830e-24   1.197561e-23   1.515664e-23   1.871190e-23   2.264140e-23   2.694513e-23   3.162311e-23   3.667532e-23   4.210177e-23   4.790246e-23   5.407739e-23   6.062655e-23   6.754995e-23   7.484759e-23
         4.2500   0.000000e+00   2.354276e-25   8.816049e-25   1.814124e-24   3.192683e-24   4.955162e-24   7.135433e-24   9.712117e-24   1.268521e-23   1.605472e-23   1.982065e-23   2.398298e-23   2.854173e-23   3.349689e-23   3.884847e-23   4.459646e-23   5.074086e-23   5.728167e-23   6.421890e-23   7.155254e-23   7.928259e-23
         4.3000   0.000000e+00   2.526432e-25   9.434626e-25   1.930704e-24   3.395277e-24   5.265154e-24   7.558234e-24   1.028760e-23   1.343686e-23   1.700603e-23   2.099509e-23   2.540406e-23   3.023294e-23   3.548171e-23   4.115039e-23   4.723896e-23   5.374744e-23   6.067582e-23   6.802411e-23   7.579229e-23   8.398038e-23
         4.3500   0.000000e+00   2.712167e-25   1.010177e-24   2.055476e-24   3.611818e-24   5.597671e-24   8.006088e-24   1.089717e-23   1.423304e-23   1.801370e-23   2.223913e-23   2.690935e-23   3.202435e-23   3.758413e-23   4.358870e-23   5.003805e-23   5.693218e-23   6.427109e-23   7.205479e-23   8.028327e-23   8.895653e-23
         4.4000   0.000000e+00   2.912399e-25   1.082158e-24   2.189096e-24   3.843390e-24   5.952908e-24   8.501173e-24   1.154287e-23   1.507641e-23   1.908108e-23   2.355688e-23   2.850383e-23   3.392191e-23   3.981113e-23   4.617149e-23   5.300299e-23   6.030562e-23   6.807939e-23   7.632430e-23   8.504035e-23   9.422754e-23
         4.4500   0.000000e+00   3.128002e-25   1.159845e-24   2.332282e-24   4.091174e-24   6.332605e-24   9.037568e-24   1.224157e-23   1.596974e-23   2.021170e-23   2.495272e-23   3.019279e-23   3.593191e-23   4.217009e-23   4.890733e-23   5.614361e-23   6.387896e-23   7.211335e-23   8.084680e-23   9.007931e-23   9.981087e-23
         4.5000   0.000000e+00   3.359717e-25   1.243704e-24   2.485814e-24   4.356463e-24   6.738661e-24   9.610559e-24   1.301267e-23   1.692105e-23   2.140932e-23   2.643126e-23   3.198182e-23   3.806101e-23   4.466883e-23   5.180527e-23   5.947033e-23   6.766402e-23   7.638634e-23   8.563728e-23   9.541684e-23   1.057250e-22
         4.5500   0.000000e+00   3.608117e-25   1.334227e-24   2.650546e-24   4.640668e-24   7.173150e-24   1.022294e-23   1.383625e-23   1.798560e-23   2.267790e-23   2.799741e-23   3.387686e-23   4.031627e-23   4.731562e-23   5.487492e-23   6.299417e-23   7.167337e-23   8.091251e-23   9.071160e-23   1.010706e-22   1.119896e-22
         4.6000   0.000000e+00   3.873440e-25   1.431923e-24   2.827412e-24   4.945328e-24   7.638341e-24   1.087777e-23   1.471629e-23   1.912243e-23   2.402165e-23   2.965636e-23   3.588420e-23   4.270516e-23   5.011925e-23   5.812646e-23   6.672681e-23   7.592028e-23   8.570688e-23   9.608661e-23   1.070595e-22   1.186254e-22
         4.6500   0.000000e+00   4.155570e-25   1.537310e-24   3.017429e-24   5.272122e-24   8.136707e-24   1.157838e-23   1.565714e-23   2.033704e-23   2.552715e-23   3.141361e-23   3.801047e-23   4.523560e-23   5.308900e-23   6.157067e-23   7.068062e-23   8.041884e-23   9.078533e-23   1.017801e-22   1.134031e-22   1.256544e-22
         4.7000   0.000000e+00   4.453866e-25   1.650895e-24   3.221707e-24   5.622892e-24   8.670946e-24   1.232840e-23   1.666355e-23   2.163540e-23   2.713953e-23   3.338367e-23   4.026273e-23   4.791598e-23   5.623472e-23   6.521897e-23   7.486871e-23   8.518396e-23   9.616470e-23   1.078109e-22   1.201227e-22   1.330999e-22
         4.7500   0.000000e+00   4.767191e-25   1.773154e-24   3.441457e-24   5.999641e-24   9.244007e-24   1.313181e-23   1.774072e-23   2.302403e-23   2.886210e-23   3.549240e-23   4.264845e-23   5.075518e-23   5.956684e-23   6.908343e-23   7.930496e-23   9.023142e-23   1.018628e-22   1.141991e-22   1.272404e-22   1.409866e-22
         4.8000   0.000000e+00   5.093860e-25   1.904480e-24   3.677999e-24   6.404554e-24   9.859119e-24   1.399295e-23   1.889432e-23   2.451005e-23   3.070331e-23   3.774526e-23   4.517553e-23   5.376261e-23   6.309639e-23   7.317688e-23   8.400408e-23   9.557797e-23   1.078986e-22   1.209659e-22   1.347799e-22   1.493406e-22
         4.8500   0.000000e+00   5.431818e-25   2.045155e-24   3.932766e-24   6.840018e-24   1.051980e-23   1.491655e-23   2.013054e-23   2.610124e-23   3.267237e-23   4.015329e-23   4.785234e-23   5.694824e-23   6.683509e-23   7.751289e-23   8.898163e-23   1.012413e-22   1.142920e-22   1.281335e-22   1.427661e-22   1.581896e-22
         4.9000   0.000000e+00   5.778687e-25   2.195271e-24   4.207317e-24   7.308638e-24   1.122987e-23   1.590780e-23   2.145611e-23   2.780609e-23   3.477935e-23   4.272855e-23   5.068777e-23   6.032264e-23   7.079532e-23   8.210581e-23   9.425412e-23   1.072402e-22   1.210642e-22   1.357259e-22   1.512255e-22   1.675629e-22
         4.9500   0.000000e+00   6.132155e-25   2.354695e-24   4.503338e-24   7.813241e-24   1.199353e-23   1.697234e-23   2.287843e-23   2.963387e-23   3.703525e-23   4.548421e-23   5.369121e-23   6.389698e-23   7.499021e-23   8.697089e-23   9.983903e-23   1.135946e-22   1.282377e-22   1.437682e-22   1.601862e-22   1.774916e-22
