# CIE bound-bound cooling efficiency for Si (Z=14)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Si0          L_Si1          L_Si2          L_Si3          L_Si4          L_Si5          L_Si6          L_Si7          L_Si8          L_Si9          L_Si10         L_Si11         L_Si12         L_Si13         L_Si14       
         4.1500   3.010348e-24   8.865377e-24   6.032683e-23   1.514078e-22   4.550953e-22   9.690204e-22   3.376802e-22   2.939145e-22   9.156883e-22   5.005786e-21   4.861018e-21   2.505365e-20   5.948415e-20   7.435711e-20   0.000000e+00
         4.2000   2.789938e-24   8.392505e-24   5.716927e-23   1.433312e-22   4.302047e-22   9.153815e-22   3.190880e-22   2.775967e-22   8.648174e-22   4.726333e-21   4.590247e-21   2.366368e-20   5.615896e-20   7.030336e-20   0.000000e+00
         4.2500   2.579587e-24   7.948550e-24   5.419739e-23   1.357246e-22   4.067381e-22   8.647752e-22   3.015523e-22   2.621988e-22   8.168120e-22   4.462545e-21   4.334690e-21   2.235212e-20   5.299405e-20   6.637827e-20   0.000000e+00
         4.3000   2.378907e-24   7.532293e-24   5.140083e-23   1.285621e-22   3.846173e-22   8.170336e-22   2.850148e-22   2.964010e-22   7.715125e-22   4.213547e-21   4.093498e-21   2.111462e-20   5.002818e-20   6.273236e-20   0.000000e+00
         4.3500   2.187614e-24   7.142656e-24   4.876979e-23   1.218191e-22   3.637686e-22   7.719982e-22   5.949344e-22   2.800308e-22   7.287688e-22   3.978513e-21   3.865874e-21   1.994707e-20   4.728023e-20   5.931182e-20   0.000000e+00
         4.4000   2.005535e-24   6.778703e-24   4.629491e-23   1.154723e-22   3.441224e-22   7.295192e-22   5.623057e-22   2.645876e-22   6.884387e-22   3.756664e-21   3.651061e-21   1.884559e-20   4.468096e-20   5.589204e-20   0.000000e+00
         4.4500   1.832626e-24   6.439643e-24   4.396733e-23   1.094998e-22   3.256129e-22   6.894556e-22   5.315377e-22   2.500202e-22   1.382836e-21   3.547265e-21   3.448347e-21   1.780654e-20   4.220409e-20   5.279503e-20   0.000000e+00
         4.5000   1.668971e-24   6.124836e-24   4.177862e-23   1.038805e-22   3.081782e-22   6.516739e-22   5.025281e-22   2.362800e-22   1.306262e-21   3.349620e-21   3.257061e-21   1.682645e-20   3.966983e-20   4.987686e-20   0.000000e+00
         4.5500   1.514795e-24   5.833787e-24   3.972072e-23   9.859457e-23   2.917596e-22   6.160484e-22   4.751798e-22   3.879272e-22   1.234013e-21   3.163074e-21   3.076566e-21   1.590207e-20   3.756839e-20   4.709741e-20   0.000000e+00
         4.6000   1.370464e-24   5.566160e-24   3.778598e-23   9.362319e-23   2.763017e-22   5.824603e-22   4.494016e-22   3.667360e-22   1.165850e-21   2.987008e-21   2.906266e-21   1.503032e-20   4.338919e-20   4.440646e-20   0.000000e+00
         4.6500   1.873775e-24   5.321775e-24   3.596710e-23   8.894838e-23   2.617523e-22   5.507974e-22   4.251072e-22   3.467558e-22   1.101545e-21   2.820838e-21   2.745594e-21   1.420830e-20   4.105305e-20   4.193398e-20   0.000000e+00
         4.7000   1.712145e-24   5.100595e-24   3.425711e-23   8.455305e-23   2.480619e-22   5.209538e-22   4.022149e-22   3.279197e-22   1.040885e-21   2.664012e-21   2.594017e-21   1.343327e-20   3.880601e-20   3.960038e-20   0.000000e+00
         4.7500   1.564310e-24   4.902718e-24   3.264936e-23   8.042093e-23   2.351835e-22   4.928296e-22   6.985554e-22   3.101643e-22   9.836670e-22   2.516009e-21   2.451031e-21   1.270264e-20   3.657471e-20   3.736391e-20   0.000000e+00
         4.8000   1.431072e-24   4.728381e-24   3.113748e-23   7.653650e-23   2.230729e-22   4.663303e-22   6.607381e-22   6.263182e-22   9.297000e-22   3.115471e-21   2.316162e-21   1.201397e-20   3.456880e-20   3.526767e-20   0.000000e+00
         4.8500   1.313347e-24   4.577944e-24   2.971542e-23   7.288498e-23   2.116879e-22   4.413664e-22   6.250989e-22   5.923837e-22   1.594090e-21   2.942346e-21   2.188961e-21   1.136495e-20   3.267578e-20   3.330857e-20   0.000000e+00
         4.9000   1.212137e-24   4.451852e-24   2.837736e-23   6.945226e-23   2.009887e-22   4.178536e-22   5.915178e-22   5.603990e-22   1.506374e-21   2.778962e-21   2.069004e-21   1.075341e-20   3.073804e-20   3.145967e-20   0.000000e+00
