# CIE bound-bound cooling efficiency for Fe (Z=26)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Fe0          L_Fe1          L_Fe2          L_Fe3          L_Fe4          L_Fe5          L_Fe6          L_Fe7          L_Fe8          L_Fe9          L_Fe10         L_Fe11         L_Fe12         L_Fe13         L_Fe14         L_Fe15         L_Fe16         L_Fe17         L_Fe18         L_Fe19         L_Fe20         L_Fe21         L_Fe22         L_Fe23         L_Fe24         L_Fe25         L_Fe26       
         3.6000   0.000000e+00   9.693186e-26   3.767753e-25   8.440348e-25   1.500506e-24   2.344541e-24   3.376139e-24   4.595301e-24   6.002025e-24   7.596313e-24   9.378164e-24   1.134758e-23   1.350456e-23   1.584910e-23   1.838120e-23   2.110087e-23   2.400810e-23   2.710290e-23   3.038525e-23   3.385517e-23   3.751266e-23   4.135770e-23   4.539032e-23   4.961049e-23   5.401823e-23   5.861353e-23   6.339639e-23
         3.6500   0.000000e+00   1.032793e-25   4.006107e-25   8.940470e-25   1.589417e-24   2.483464e-24   3.576188e-24   4.867589e-24   6.357668e-24   8.046423e-24   9.933856e-24   1.201997e-23   1.430475e-23   1.678822e-23   1.947036e-23   2.235117e-23   2.543067e-23   2.870884e-23   3.218569e-23   3.586122e-23   3.973542e-23   4.380830e-23   4.807986e-23   5.255010e-23   5.721901e-23   6.208660e-23   6.715286e-23
         3.7000   0.000000e+00   1.100861e-25   4.260790e-25   9.470226e-25   1.683596e-24   2.630618e-24   3.788090e-24   5.156012e-24   6.734383e-24   8.523204e-24   1.052247e-23   1.273219e-23   1.515236e-23   1.778298e-23   2.062405e-23   2.367557e-23   2.693753e-23   3.040995e-23   3.409281e-23   3.798613e-23   4.208989e-23   4.640411e-23   5.092877e-23   5.566388e-23   6.060945e-23   6.576546e-23   7.113192e-23
         3.7500   0.000000e+00   1.173904e-25   4.533060e-25   1.003137e-24   1.783355e-24   2.786492e-24   4.012549e-24   5.461525e-24   7.133420e-24   9.028235e-24   1.114597e-23   1.348662e-23   1.605020e-23   1.883669e-23   2.184610e-23   2.507843e-23   2.853368e-23   3.221185e-23   3.611294e-23   4.023695e-23   4.458388e-23   4.915372e-23   5.394649e-23   5.896218e-23   6.420078e-23   6.966231e-23   7.534675e-23
         3.8000   0.000000e+00   1.252337e-25   4.824289e-25   1.062577e-24   1.889026e-24   2.951602e-24   4.250307e-24   5.785141e-24   7.556102e-24   9.563192e-24   1.180641e-23   1.428576e-23   1.700123e-23   1.995283e-23   2.314056e-23   2.656442e-23   3.022441e-23   3.412052e-23   3.825277e-23   4.262114e-23   4.722564e-23   5.206627e-23   5.714302e-23   6.245591e-23   6.800492e-23   7.379006e-23   7.981133e-23
         3.8500   0.000000e+00   1.336612e-25   5.135974e-25   1.128294e-24   2.000957e-24   3.126496e-24   4.502154e-24   6.127932e-24   8.003829e-24   1.012985e-23   1.250598e-23   1.513224e-23   1.800862e-23   2.113511e-23   2.451173e-23   2.813846e-23   3.201532e-23   3.614229e-23   4.051939e-23   4.514660e-23   5.002393e-23   5.515139e-23   6.052896e-23   6.615665e-23   7.203446e-23   7.816239e-23   8.454045e-23
         3.9000   0.000000e+00   1.427221e-25   5.469755e-25   1.199486e-24   2.119521e-24   3.311752e-24   4.768923e-24   6.491035e-24   8.478086e-24   1.073008e-23   1.324701e-23   1.602888e-23   1.907569e-23   2.238745e-23   2.596414e-23   2.980577e-23   3.391234e-23   3.828386e-23   4.292031e-23   4.782170e-23   5.298804e-23   5.841931e-23   6.411552e-23   7.007668e-23   7.630277e-23   8.279381e-23   8.954978e-23
         3.9500   0.000000e+00   1.524705e-25   5.827419e-25   1.275536e-24   2.245111e-24   3.507986e-24   5.051500e-24   6.875653e-24   8.980444e-24   1.136587e-23   1.403194e-23   1.697865e-23   2.020600e-23   2.371399e-23   2.750261e-23   3.157187e-23   3.592178e-23   4.055232e-23   4.546350e-23   5.065532e-23   5.612778e-23   6.188087e-23   6.791461e-23   7.422898e-23   8.082400e-23   8.769965e-23   9.485594e-23
         4.0000   0.000000e+00   1.629650e-25   6.210913e-25   1.356814e-24   2.378142e-24   3.715847e-24   5.350820e-24   7.283061e-24   9.512569e-24   1.203934e-23   1.486339e-23   1.798470e-23   2.140328e-23   2.511913e-23   2.913224e-23   3.344262e-23   3.805028e-23   4.295519e-23   4.815738e-23   5.365683e-23   5.945356e-23   6.554754e-23   7.193880e-23   7.862733e-23   8.561312e-23   9.289618e-23   1.004765e-22
         4.0500   0.000000e+00   1.742692e-25   6.622371e-25   1.443725e-24   2.519056e-24   3.936025e-24   5.667876e-24   7.714609e-24   1.007622e-23   1.275272e-23   1.574410e-23   1.905036e-23   2.267150e-23   2.660753e-23   3.085844e-23   3.542423e-23   4.030490e-23   4.550045e-23   5.101088e-23   5.683620e-23   6.297640e-23   6.943148e-23   7.620144e-23   8.328629e-23   9.068602e-23   9.840063e-23   1.064301e-22
