# CIE bound-bound cooling efficiency for He (Z=2)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_He0          L_He1          L_He2        
         8.0000   1.843596e-25   4.555316e-25   0.000000e+00
         8.0500   1.679981e-25   4.151400e-25   0.000000e+00
         8.1000   1.529288e-25   3.779577e-25   0.000000e+00
         8.1500   1.390710e-25   3.437772e-25   0.000000e+00
         8.2000   1.263463e-25   3.123989e-25   0.000000e+00
         8.2500   1.146790e-25   2.836311e-25   0.000000e+00
         8.3000   1.039959e-25   2.572910e-25   0.000000e+00
         8.3500   9.422711e-26   2.332039e-25   0.000000e+00
         8.4000   8.530579e-26   2.112040e-25   0.000000e+00
         8.4500   7.716841e-26   1.911334e-25   0.000000e+00
         8.5000   6.975475e-26   1.728427e-25   0.000000e+00
         8.5500   6.300802e-26   1.561916e-25   0.000000e+00
         8.6000   5.687479e-26   1.410484e-25   0.000000e+00
         8.6500   5.130500e-26   1.272902e-25   0.000000e+00
         8.7000   4.625184e-26   1.148023e-25   0.000000e+00
         8.7500   4.167167e-26   1.034777e-25   0.000000e+00
         8.8000   3.752385e-26   9.321696e-26   0.000000e+00
         8.8500   3.377070e-26   8.392786e-26   0.000000e+00
         8.9000   3.037737e-26   7.552507e-26   0.000000e+00
         8.9500   2.731167e-26   6.792987e-26   0.000000e+00
         9.0000   2.454397e-26   6.106973e-26   0.000000e+00
