# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         4.5500   4.253355e-22   6.867148e-22   1.441380e-20   2.948134e-20   3.226055e-20   1.412229e-20   4.426552e-21   1.121236e-20   3.194335e-21   1.103030e-20   1.223405e-20
         4.6000   7.847031e-22   8.072276e-22   1.596096e-20   3.474782e-20   3.570353e-20   1.653557e-20   6.752068e-21   1.790651e-20   3.025207e-21   1.042296e-20   1.155810e-20
         4.6500   1.358456e-21   1.106579e-21   1.796592e-20   4.076907e-20   4.006953e-20   2.036741e-20   1.040119e-20   2.745284e-20   2.866031e-21   9.856240e-21   1.092042e-20
         4.7000   2.223313e-21   1.739602e-21   2.072552e-20   4.786038e-20   4.583481e-20   2.610908e-20   1.594383e-20   4.026396e-20   2.716264e-21   9.301057e-21   1.031896e-20
         4.7500   3.462117e-21   2.944226e-21   2.462330e-20   5.639787e-20   5.350030e-20   3.432610e-20   2.409741e-20   5.655079e-20   2.575467e-21   8.793890e-21   9.751722e-21
         4.8000   5.155835e-21   5.055097e-21   3.011736e-20   6.676594e-20   6.358964e-20   4.561678e-20   3.563534e-20   7.627717e-20   2.443113e-21   8.332994e-21   9.216763e-21
         4.8500   7.373677e-21   8.503870e-21   3.771697e-20   7.929399e-20   7.659070e-20   6.055294e-20   5.129625e-20   9.915139e-20   2.318739e-21   7.924681e-21   8.712258e-21
         4.9000   1.017411e-20   1.379992e-20   4.793895e-20   9.418996e-20   9.289644e-20   7.961239e-20   7.167234e-20   1.246535e-19   2.201918e-21   7.476076e-21   8.236514e-21
         4.9500   1.362888e-20   2.148120e-20   6.129756e-20   1.115037e-19   1.127617e-19   1.030978e-19   9.710218e-20   1.520899e-19   2.092242e-21   7.068615e-21   7.787947e-21
         5.0000   1.779757e-20   3.200618e-20   7.828316e-20   1.311148e-19   1.363422e-19   1.310779e-19   1.275968e-19   1.806634e-19   1.989330e-21   6.688594e-21   7.365067e-21
         5.0500   2.270919e-20   4.570833e-20   9.932254e-20   1.527398e-19   1.635199e-19   1.633697e-19   1.628161e-19   2.095458e-19   1.892818e-21   6.344370e-21   6.966476e-21
         5.1000   2.835802e-20   6.290155e-20   1.247348e-19   1.759619e-19   1.942759e-19   1.995633e-19   2.020980e-19   2.379430e-19   1.802363e-21   5.994723e-21   6.590909e-21
         5.1500   3.468816e-20   8.381183e-20   1.546977e-19   2.002728e-19   2.285439e-19   2.390885e-19   2.445298e-19   2.651480e-19   1.717639e-21   5.680759e-21   6.237144e-21
         5.2000   4.158902e-20   1.085034e-19   1.892200e-19   2.251298e-19   2.662695e-19   2.813118e-19   2.890528e-19   2.905779e-19   1.638339e-21   5.377935e-21   5.903991e-21
         5.2500   4.890175e-20   1.368350e-19   2.281141e-19   2.499671e-19   3.074819e-19   3.256428e-19   3.345854e-19   3.137996e-19   1.564172e-21   5.100133e-21   5.590327e-21
         5.3000   5.643262e-20   1.684358e-19   2.709886e-19   2.742853e-19   3.523112e-19   3.716633e-19   3.801432e-19   3.345435e-19   1.494863e-21   4.834950e-21   5.295096e-21
         5.3500   6.410044e-20   2.026547e-19   3.172650e-19   2.976302e-19   4.009449e-19   4.189705e-19   4.249396e-19   3.527107e-19   1.430152e-21   4.574949e-21   5.017296e-21
         5.4000   7.227148e-20   2.384402e-19   3.662124e-19   3.196186e-19   4.535426e-19   4.674674e-19   4.684513e-19   3.683725e-19   1.369792e-21   4.341689e-21   4.755954e-21
         5.4500   8.119295e-20   2.746183e-19   4.169978e-19   3.399545e-19   5.101338e-19   5.171240e-19   5.104025e-19   3.817560e-19   1.313552e-21   4.122964e-21   4.510112e-21
         5.5000   9.086096e-20   3.100529e-19   4.687397e-19   3.584164e-19   5.705498e-19   5.679427e-19   5.506820e-19   3.932153e-19   1.261209e-21   3.923870e-21   4.279107e-21
         5.5500   1.010848e-19   3.437225e-19   5.205620e-19   3.748555e-19   6.343772e-19   6.198635e-19   5.893414e-19   4.031897e-19   1.212555e-21   3.738142e-21   4.062034e-21
         5.6000   1.115588e-19   3.747707e-19   5.716484e-19   3.892019e-19   7.009418e-19   6.727158e-19   6.265298e-19   4.121548e-19   1.167392e-21   3.559347e-21   3.858082e-21
         5.6500   1.219613e-19   4.025326e-19   6.212812e-19   4.014502e-19   7.693313e-19   7.263406e-19   6.624116e-19   4.205681e-19   1.125535e-21   3.392566e-21   3.666558e-21
