# CIE bound-bound cooling efficiency for Si (Z=14)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Si0          L_Si1          L_Si2          L_Si3          L_Si4          L_Si5          L_Si6          L_Si7          L_Si8          L_Si9          L_Si10         L_Si11         L_Si12         L_Si13         L_Si14       
         5.1500   0.000000e+00   2.294641e-18   2.510664e-18   1.717782e-18   4.009223e-22   9.013588e-21   3.524642e-20   7.706075e-20   7.436610e-20   7.611855e-20   6.712011e-20   1.009218e-19   8.270604e-21   2.336977e-20   2.377731e-20
         5.2000   0.000000e+00   2.452520e-18   2.694770e-18   1.823006e-18   9.187535e-22   1.210537e-20   4.273958e-20   9.168201e-20   8.951366e-20   9.341147e-20   8.759597e-20   1.185468e-19   7.849537e-21   2.214870e-20   2.247934e-20
         5.2500   0.000000e+00   2.601498e-18   2.868403e-18   1.919963e-18   2.036296e-21   1.633317e-20   5.190253e-20   1.081349e-19   1.068120e-19   1.137900e-19   1.111533e-19   1.361610e-19   7.454027e-21   2.097765e-20   2.125554e-20
         5.3000   0.000000e+00   2.740487e-18   3.029728e-18   2.008178e-18   4.233590e-21   2.200593e-20   6.275781e-20   1.261259e-19   1.263718e-19   1.368598e-19   1.372947e-19   1.532871e-19   7.082703e-21   1.986218e-20   2.010184e-20
         5.3500   0.000000e+00   2.868693e-18   3.176925e-18   2.087406e-18   8.210485e-21   2.955982e-20   7.532744e-20   1.452976e-19   1.478093e-19   1.620488e-19   1.653406e-19   1.695122e-19   6.734265e-21   1.878747e-20   1.901444e-20
         5.4000   0.000000e+00   2.985580e-18   3.308505e-18   2.157586e-18   1.489360e-20   3.959531e-20   8.970815e-20   1.653077e-19   1.706665e-19   1.887096e-19   1.944854e-19   1.845050e-19   6.407485e-21   1.778847e-20   1.798991e-20
         5.4500   0.000000e+00   3.090846e-18   3.423464e-18   2.218794e-18   2.539931e-20   5.288450e-20   1.061433e-19   1.859217e-19   1.944826e-19   2.161651e-19   2.238829e-19   1.980236e-19   6.101199e-21   1.685938e-20   1.702488e-20
         5.5000   0.000000e+00   3.184383e-18   3.521263e-18   2.271280e-18   4.095012e-20   7.034386e-20   1.250685e-19   2.071967e-19   2.188756e-19   2.437729e-19   2.527471e-19   2.099150e-19   5.814303e-21   1.593069e-20   1.611612e-20
         5.5500   0.000000e+00   3.266242e-18   3.601789e-18   2.315301e-18   6.274961e-20   9.295207e-20   1.471262e-19   2.291592e-19   2.436203e-19   2.712257e-19   2.804035e-19   2.201083e-19   5.545756e-21   1.509608e-20   1.526055e-20
         5.6000   0.000000e+00   3.336604e-18   3.665298e-18   2.351088e-18   9.183431e-20   1.216133e-19   1.731158e-19   2.523740e-19   2.687055e-19   2.977106e-19   3.063410e-19   2.286091e-19   5.294575e-21   1.426894e-20   1.445529e-20
         5.6500   0.000000e+00   3.395743e-18   3.712353e-18   2.379019e-18   1.289279e-19   1.570109e-19   2.038877e-19   2.775243e-19   2.943510e-19   3.233351e-19   3.302499e-19   2.354945e-19   5.059827e-21   1.355648e-20   1.369760e-20
         5.7000   0.000000e+00   3.444008e-18   3.743756e-18   2.399606e-18   1.743237e-19   1.994662e-19   2.402016e-19   3.054274e-19   3.209986e-19   3.482039e-19   3.520419e-19   2.409095e-19   4.840628e-21   1.286570e-20   1.298481e-20
         5.7500   0.000000e+00   3.481803e-18   3.760494e-18   2.412922e-18   2.278373e-19   2.488448e-19   2.825767e-19   3.369019e-19   3.492319e-19   3.726253e-19   3.718480e-19   2.450619e-19   4.636145e-21   1.225312e-20   1.231429e-20
         5.8000   0.000000e+00   3.509569e-18   3.763644e-18   2.419208e-18   2.888894e-19   3.045478e-19   3.311754e-19   3.726206e-19   3.796574e-19   3.970454e-19   3.899896e-19   2.482129e-19   4.445585e-21   1.165378e-20   1.168440e-20
         5.8500   0.000000e+00   3.527773e-18   3.754316e-18   2.418881e-18   3.565383e-19   3.655980e-19   3.857538e-19   4.129838e-19   4.127832e-19   4.219628e-19   4.068880e-19   2.506607e-19   4.268198e-21   1.107925e-20   1.109242e-20
         5.9000   0.000000e+00   3.536903e-18   3.733621e-18   2.413020e-18   4.295425e-19   4.307448e-19   4.456548e-19   4.580631e-19   4.490136e-19   4.478288e-19   4.229727e-19   2.527238e-19   4.103271e-21   1.053148e-20   1.053626e-20
         5.9500   0.000000e+00   3.537460e-18   3.702650e-18   2.401292e-18   5.064501e-19   4.986175e-19   5.098511e-19   5.075557e-19   4.881731e-19   4.749560e-19   4.386605e-19   2.547540e-19   3.950140e-21   1.003417e-20   1.001402e-20
         6.0000   0.000000e+00   3.529954e-18   3.662442e-18   2.384097e-18   5.856923e-19   5.678107e-19   5.770282e-19   5.607914e-19   5.301603e-19   5.034528e-19   4.542972e-19   2.570836e-19   3.808171e-21   9.563825e-21   9.524003e-21
         6.0500   0.000000e+00   3.514899e-18   3.613926e-18   2.361836e-18   6.656750e-19   6.369383e-19   6.457379e-19   6.167944e-19   5.745155e-19   5.332090e-19   4.701097e-19   2.599799e-19   3.676786e-21   9.120172e-21   9.064664e-21
         6.1000   0.000000e+00   3.492813e-18   3.558040e-18   2.334895e-18   7.448599e-19   7.046849e-19   7.145941e-19   6.743745e-19   6.205483e-19   5.639545e-19   4.861799e-19   2.636258e-19   3.555456e-21   8.704978e-21   8.634551e-21
         6.1500   0.000000e+00   3.464213e-18   3.495735e-18   2.305013e-18   8.218600e-19   7.698689e-19   7.822954e-19   7.322564e-19   6.674003e-19   5.952645e-19   5.024994e-19   2.681125e-19   3.443711e-21   8.320532e-21   8.232243e-21
         6.2000   0.000000e+00   3.429611e-18   3.427941e-18   2.272026e-18   8.955497e-19   8.314476e-19   8.476712e-19   7.893250e-19   7.141183e-19   6.265971e-19   5.190103e-19   2.734428e-19   3.341284e-21   7.944571e-21   7.856345e-21
         6.2500   0.000000e+00   3.389515e-18   3.355542e-18   2.235879e-18   9.650086e-19   8.886419e-19   9.097199e-19   8.446189e-19   7.597399e-19   6.573492e-19   5.355446e-19   2.795373e-19   3.248678e-21   7.606217e-21   7.505535e-21
         6.3000   0.000000e+00   3.344425e-18   3.279402e-18   2.196726e-18   1.029508e-18   9.409778e-19   9.676273e-19   8.973081e-19   8.034377e-19   6.869095e-19   5.518485e-19   2.862609e-19   3.168399e-21   7.292047e-21   7.178565e-21
         6.3500   0.000000e+00   3.294827e-18   3.200468e-18   2.154750e-18   1.088511e-18   9.882130e-19   1.020771e-18   9.467077e-19   8.445275e-19   7.147232e-19   5.676163e-19   2.934589e-19   3.107261e-21   7.003084e-21   6.874258e-21
