# CIE bound-bound cooling efficiency for C (Z=6)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_C0           L_C1           L_C2           L_C3           L_C4           L_C5           L_C6         
         5.4000   0.000000e+00   1.013268e-24   4.064913e-24   8.536351e-24   1.464192e-23   1.949482e-23   2.774238e-23
         5.4500   0.000000e+00   1.062901e-24   4.334762e-24   9.167197e-24   1.572470e-23   2.078909e-23   2.956079e-23
         5.5000   0.000000e+00   1.112992e-24   4.611761e-24   9.840694e-24   1.688954e-23   2.217894e-23   3.151101e-23
         5.5500   0.000000e+00   1.163819e-24   4.894062e-24   1.055640e-23   1.813985e-23   2.367239e-23   3.360396e-23
         5.6000   0.000000e+00   1.215754e-24   5.179917e-24   1.131255e-23   1.947776e-23   2.527820e-23   3.585157e-23
         5.6500   0.000000e+00   1.269226e-24   5.468033e-24   1.210611e-23   2.090361e-23   2.700594e-23   3.826681e-23
         5.7000   0.000000e+00   1.324718e-24   5.757614e-24   1.293271e-23   2.241531e-23   2.886600e-23   4.086387e-23
         5.7500   0.000000e+00   1.382723e-24   6.048516e-24   1.378705e-23   2.400825e-23   3.086969e-23   4.365823e-23
         5.8000   0.000000e+00   1.443756e-24   6.341312e-24   1.466312e-23   2.567490e-23   3.302927e-23   4.666672e-23
         5.8500   0.000000e+00   1.508338e-24   6.637211e-24   1.555509e-23   2.740542e-23   3.535803e-23   4.990762e-23
         5.9000   0.000000e+00   1.576931e-24   6.938032e-24   1.645766e-23   2.918806e-23   3.787028e-23   5.340081e-23
         5.9500   0.000000e+00   1.649980e-24   7.246063e-24   1.736685e-23   3.101061e-23   4.058138e-23   5.716775e-23
         6.0000   0.000000e+00   1.727957e-24   7.563959e-24   1.828052e-23   3.286098e-23   4.350778e-23   6.123160e-23
         6.0500   0.000000e+00   1.811322e-24   7.894555e-24   1.919844e-23   3.472967e-23   4.666674e-23   6.561719e-23
         6.1000   0.000000e+00   1.900472e-24   8.240831e-24   2.012276e-23   3.660949e-23   5.007640e-23   7.035110e-23
         6.1500   0.000000e+00   1.995807e-24   8.605801e-24   2.105753e-23   3.849797e-23   5.375526e-23   7.546122e-23
