# CIE bound-bound cooling efficiency for N (Z=7)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_N0           L_N1           L_N2           L_N3           L_N4           L_N5           L_N6           L_N7         
         5.1000   3.027862e-19   4.704894e-19   6.424210e-19   6.529266e-19   5.598874e-19   1.297713e-21   1.804204e-21   2.584127e-23
         5.1500   3.348958e-19   5.326233e-19   7.362795e-19   7.302537e-19   5.940428e-19   1.229495e-21   1.712574e-21   2.737247e-23
         5.2000   3.663337e-19   5.956302e-19   8.335158e-19   8.073817e-19   6.254035e-19   1.168239e-21   1.626413e-21   2.909052e-23
         5.2500   3.966544e-19   6.584814e-19   9.327154e-19   8.838127e-19   6.543665e-19   1.110720e-21   1.545411e-21   3.092819e-23
         5.3000   4.254920e-19   7.201996e-19   1.032352e-18   9.591331e-19   6.813613e-19   1.056680e-21   1.469280e-21   3.289147e-23
         5.3500   4.525619e-19   7.798963e-19   1.130889e-18   1.032897e-18   7.067640e-19   1.007466e-21   1.397753e-21   3.499000e-23
         5.4000   4.776562e-19   8.368002e-19   1.226852e-18   1.104465e-18   7.308550e-19   9.634906e-22   1.330591e-21   3.723428e-23
         5.4500   5.006349e-19   8.902745e-19   1.318879e-18   1.173161e-18   7.538148e-19   9.177983e-22   1.267577e-21   3.963578e-23
         5.5000   5.214174e-19   9.398248e-19   1.405773e-18   1.238322e-18   7.757264e-19   8.769106e-22   1.208506e-21   4.220706e-23
         5.5500   5.399706e-19   9.850960e-19   1.486525e-18   1.299365e-18   7.965770e-19   8.384607e-22   1.153197e-21   4.496181e-23
         5.6000   5.562994e-19   1.025863e-18   1.560338e-18   1.356000e-18   8.162436e-19   8.043776e-22   1.101551e-21   4.791495e-23
         5.6500   5.704377e-19   1.062017e-18   1.626624e-18   1.408032e-18   8.344689e-19   7.788762e-22   1.053799e-21   5.108280e-23
         5.7000   5.824408e-19   1.093545e-18   1.684999e-18   1.455282e-18   8.509560e-19   7.719610e-22   1.011152e-21   5.448323e-23
         5.7500   5.923794e-19   1.120514e-18   1.735245e-18   1.497487e-18   8.656279e-19   8.076155e-22   9.773272e-22   5.813568e-23
         5.8000   6.003351e-19   1.143051e-18   1.777351e-18   1.534074e-18   8.786080e-19   9.327939e-22   9.614190e-22   6.206136e-23
         5.8500   6.063967e-19   1.161329e-18   1.811476e-18   1.564508e-18   8.899673e-19   1.226888e-21   9.823223e-22   6.628344e-23
         5.9000   6.106579e-19   1.175548e-18   1.837899e-18   1.588449e-18   8.996577e-19   1.815935e-21   1.074213e-21   7.082718e-23
         5.9500   6.132155e-19   1.185932e-18   1.856980e-18   1.606111e-18   9.075873e-19   2.872331e-21   1.291614e-21   7.572003e-23
         6.0000   6.141677e-19   1.192710e-18   1.869140e-18   1.618988e-18   9.137320e-19   4.612420e-21   1.711908e-21   8.099182e-23
