# CIE bound-bound cooling efficiency for S (Z=16)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_S0           L_S1           L_S2           L_S3           L_S4           L_S5           L_S6           L_S7           L_S8           L_S9           L_S10          L_S11          L_S12          L_S13          L_S14          L_S15          L_S16        
         4.0000   4.778489e-24   1.095970e-23   1.837082e-23   1.614972e-22   4.735623e-22   8.543065e-22   1.329471e-21   2.968291e-21   5.934177e-22   7.941611e-22   1.150894e-21   3.112221e-21   2.298936e-20   5.347669e-20   1.232033e-19   1.512718e-19   0.000000e+00
         4.0500   9.855175e-24   1.038205e-23   1.740979e-23   1.528641e-22   4.476537e-22   8.073489e-22   1.255678e-21   2.802865e-21   5.603953e-22   7.498854e-22   1.086708e-21   6.005248e-21   2.170804e-20   5.049851e-20   1.163148e-19   1.430169e-19   0.000000e+00
         4.1000   9.147273e-24   9.838903e-24   1.650778e-23   1.447368e-22   4.232250e-22   7.630629e-22   1.186046e-21   2.646730e-21   5.292301e-22   7.093375e-22   1.201507e-21   5.669849e-21   2.049867e-20   4.768769e-20   1.098111e-19   1.347320e-19   0.000000e+00
         4.1500   8.473374e-24   1.005506e-23   1.566202e-23   1.370883e-22   4.001945e-22   7.213011e-22   1.120344e-21   2.499366e-21   8.329466e-22   6.698258e-22   1.134570e-21   5.353242e-21   1.935725e-20   4.503493e-20   1.036871e-19   1.273446e-19   0.000000e+00
         4.2000   7.831834e-24   9.516027e-24   1.647943e-23   1.298930e-22   3.784852e-22   6.819242e-22   1.058355e-21   2.360286e-21   7.867204e-22   6.325340e-22   1.071393e-21   5.054379e-21   1.827997e-20   4.253141e-20   9.788269e-20   1.202299e-19   0.000000e+00
         4.2500   7.221192e-24   9.009846e-24   1.566190e-23   1.280763e-22   3.580243e-22   6.448006e-22   9.998733e-22   2.229027e-21   7.431009e-22   6.110424e-22   1.011767e-21   4.772267e-21   1.726328e-20   4.016885e-20   9.242616e-20   1.135139e-19   0.000000e+00
         4.3000   6.640181e-24   8.535152e-24   1.489895e-23   1.214459e-22   3.387430e-22   6.098062e-22   9.447042e-22   2.105156e-21   7.019433e-22   5.770734e-22   1.582273e-21   4.505972e-21   1.630381e-20   3.898222e-20   8.726772e-20   1.070354e-19   0.000000e+00
         4.3500   6.087725e-24   8.090735e-24   1.418849e-23   1.152163e-22   3.205763e-22   5.768237e-22   8.926648e-22   1.988260e-21   6.631110e-22   5.450167e-22   1.494300e-21   4.254611e-21   1.539836e-20   3.682019e-20   8.244984e-20   1.009798e-19   0.000000e+00
         4.4000   5.562941e-24   7.675544e-24   1.352861e-23   1.093667e-22   3.034627e-22   5.457422e-22   8.435823e-22   1.877952e-21   1.300456e-21   6.017359e-22   1.411280e-21   4.017351e-21   1.454394e-20   3.478016e-20   9.505107e-20   9.534295e-20   0.000000e+00
         4.4500   5.065148e-24   7.288686e-24   1.291767e-23   1.038772e-22   2.873440e-22   5.164571e-22   7.972937e-22   1.773866e-21   1.228508e-21   5.684069e-22   1.332934e-21   6.788164e-21   1.373772e-20   3.285536e-20   8.970201e-20   9.014847e-20   0.000000e+00
         4.5000   4.593861e-24   6.929432e-24   1.235422e-23   9.872951e-23   2.721654e-22   4.888693e-22   7.536450e-22   1.675657e-21   1.160629e-21   5.369605e-22   1.259005e-21   6.409408e-21   1.297701e-20   3.103941e-20   8.472005e-20   8.511904e-20   0.000000e+00
         4.5500   4.148796e-24   7.304049e-24   1.183705e-23   9.390601e-23   2.578746e-22   4.628852e-22   7.124912e-22   1.582998e-21   1.096593e-21   5.072924e-22   2.457439e-21   6.051894e-21   1.225929e-20   2.932628e-20   7.998813e-20   8.055560e-20   0.000000e+00
         4.6000   3.729867e-24   6.939994e-24   1.136515e-23   8.939031e-23   2.444223e-22   4.384163e-22   6.736951e-22   1.495582e-21   1.036188e-21   7.900770e-22   2.321055e-21   5.714436e-21   1.158219e-20   2.771027e-20   7.568673e-20   7.607528e-20   0.000000e+00
         4.6500   3.337183e-24   6.605418e-24   1.093773e-23   8.516692e-23   2.317617e-22   4.153787e-22   6.371274e-22   1.413118e-21   9.792121e-22   7.465740e-22   2.192358e-21   5.395914e-21   1.094344e-20   2.618601e-20   7.142657e-20   7.168280e-20   0.000000e+00
         4.7000   2.971040e-24   6.300231e-24   1.055419e-23   8.122126e-23   2.198484e-22   3.936929e-22   6.026659e-22   1.335332e-21   9.254762e-22   7.055410e-22   2.070923e-21   5.095271e-21   1.034094e-20   2.474844e-20   6.752260e-20   6.771470e-20   0.000000e+00
         4.7500   2.631911e-24   6.024529e-24   1.021413e-23   7.753958e-23   2.086402e-22   3.732835e-22   5.701954e-22   1.261965e-21   8.748010e-22   6.668411e-22   1.956344e-21   4.811510e-21   9.772667e-21   2.339278e-20   6.382424e-20   6.397595e-20   0.000000e+00
         4.8000   3.925390e-24   5.778595e-24   9.917346e-24   7.410890e-23   1.980969e-22   3.540792e-22   5.396070e-22   1.192772e-21   1.485213e-21   6.303450e-22   1.848241e-21   4.543690e-21   9.236742e-21   2.211450e-20   6.026967e-20   6.032365e-20   0.000000e+00
         4.8500   3.539254e-24   5.562886e-24   9.663775e-24   7.091695e-23   1.881805e-22   3.360121e-22   5.107977e-22   1.127523e-21   1.403654e-21   5.959307e-22   1.746254e-21   4.290921e-21   8.731377e-21   2.090934e-20   5.699886e-20   5.696790e-20   0.000000e+00
         4.9000   3.187532e-24   5.378013e-24   9.955480e-24   6.795211e-23   1.788545e-22   3.190176e-22   4.836703e-22   1.065999e-21   1.326736e-21   1.157499e-21   1.650042e-21   4.052364e-21   8.254887e-21   1.977328e-20   5.373121e-20   5.380067e-20   0.000000e+00
         4.9500   2.870911e-24   5.224714e-24   9.764504e-24   6.520336e-23   1.700843e-22   3.030346e-22   4.581326e-22   1.007995e-21   1.254202e-21   1.094255e-21   2.797749e-21   3.827226e-21   7.805679e-21   1.870252e-20   5.076508e-20   5.081140e-20   0.000000e+00
         5.0000   2.590156e-24   5.103837e-24   9.618972e-24   6.266017e-23   1.618369e-22   2.880046e-22   4.340977e-22   9.533168e-22   1.185808e-21   1.034621e-21   2.643241e-21   3.614758e-21   7.382252e-21   1.769347e-20   4.807211e-20   4.794670e-20   0.000000e+00
         5.0500   2.346067e-24   5.016303e-24   9.519153e-24   6.031253e-23   1.540807e-22   2.738720e-22   4.114832e-22   9.017796e-22   1.121325e-21   9.783974e-22   2.497474e-21   3.414255e-21   6.983185e-21   1.674273e-20   4.541604e-20   4.526199e-20   0.000000e+00
         5.1000   2.139435e-24   4.963016e-24   9.465307e-24   5.815085e-23   1.467856e-22   2.605838e-22   3.902107e-22   8.532097e-22   1.060537e-21   9.253941e-22   2.359960e-21   3.225047e-21   6.607136e-21   1.584711e-20   4.300568e-20   4.275361e-20   0.000000e+00
         5.1500   1.970997e-24   4.944810e-24   9.457640e-24   5.616586e-23   1.399228e-22   2.480896e-22   3.702061e-22   8.074428e-22   1.003237e-21   8.754319e-22   2.230241e-21   3.983943e-21   6.252838e-21   1.500358e-20   4.061635e-20   4.038704e-20   0.000000e+00
         5.2000   1.841378e-24   4.962425e-24   9.496246e-24   5.434844e-23   1.334649e-22   2.363411e-22   3.513988e-22   7.643232e-22   9.492320e-22   8.283408e-22   2.107881e-21   3.763074e-21   5.919090e-21   1.420926e-20   3.837818e-20   3.815421e-20   0.000000e+00
         5.2500   1.751043e-24   5.016461e-24   9.581043e-24   5.268976e-23   1.273857e-22   2.252924e-22   3.337222e-22   7.237032e-22   8.983380e-22   7.839599e-22   1.992469e-21   3.554645e-21   5.604759e-21   1.346146e-20   3.634631e-20   3.604748e-20   0.000000e+00
         5.3000   1.700238e-24   5.313053e-24   9.711708e-24   5.118121e-23   1.216601e-22   2.148994e-22   3.171124e-22   6.854432e-22   8.503808e-22   1.322281e-21   1.883617e-21   3.357960e-21   5.308770e-21   1.275760e-20   3.428358e-20   3.405976e-20   0.000000e+00
         5.3500   1.688934e-24   5.423381e-24   9.887585e-24   4.981422e-23   1.162645e-22   2.051204e-22   3.015090e-22   6.494105e-22   8.051951e-22   1.250987e-21   1.780956e-21   3.172361e-21   5.030106e-21   1.209526e-20   3.243260e-20   3.218442e-20   0.000000e+00
         5.4000   1.716782e-24   5.571004e-24   1.010763e-23   4.858005e-23   1.111760e-22   1.959157e-22   2.868536e-22   6.154791e-22   7.626240e-22   1.183782e-21   1.684139e-21   2.997225e-21   4.767803e-21   1.147212e-20   3.067187e-20   3.041524e-20   0.000000e+00
