# CIE bound-bound cooling efficiency for Ca (Z=20)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ca0          L_Ca1          L_Ca2          L_Ca3          L_Ca4          L_Ca5          L_Ca6          L_Ca7          L_Ca8          L_Ca9          L_Ca10         L_Ca11         L_Ca12         L_Ca13         L_Ca14         L_Ca15         L_Ca16         L_Ca17         L_Ca18         L_Ca19         L_Ca20       
         3.8000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   5.312265e-21   7.790132e-21   7.310192e-21   1.163993e-21   2.265454e-22   8.011288e-32   6.037356e-27   6.356448e-21   3.934246e-20   1.880836e-19   3.941786e-19   3.695950e-19   0.000000e+00
         3.8500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   5.016652e-21   7.356325e-21   6.902076e-21   1.099035e-21   2.139054e-22   7.567902e-32   5.701231e-27   6.001202e-21   3.714346e-20   1.775799e-19   3.721302e-19   3.496105e-19   0.000000e+00
         3.9000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.737665e-21   6.946898e-21   6.516837e-21   1.037719e-21   2.051743e-22   3.136610e-29   2.729662e-25   6.515480e-21   3.506757e-20   1.676649e-19   3.513159e-19   3.301175e-19   0.000000e+00
         3.9500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.474379e-21   6.560494e-21   6.153198e-21   9.798430e-22   1.937348e-22   2.962978e-29   2.577663e-25   6.151406e-21   3.310792e-20   1.583055e-19   3.316654e-19   3.108885e-19   0.000000e+00
         4.0000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.225919e-21   6.195831e-21   5.809955e-21   2.914223e-21   1.829374e-22   3.494204e-27   6.036558e-24   5.807721e-21   3.125801e-20   1.494709e-19   3.131149e-19   2.935191e-19   0.000000e+00
         4.0500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.991462e-21   5.851701e-21   5.485968e-21   2.751593e-21   2.080383e-22   3.300728e-27   5.700325e-24   5.483286e-21   2.951171e-20   1.411317e-19   2.956083e-19   2.772044e-19   0.000000e+00
         4.1000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.770230e-21   5.526961e-21   5.180165e-21   2.598082e-21   1.964566e-22   1.579664e-25   5.382981e-24   8.213613e-21   2.786322e-20   1.332603e-19   2.790746e-19   2.619047e-19   0.000000e+00
         4.1500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.561488e-21   5.220534e-21   4.891531e-21   2.453183e-21   1.855260e-22   1.492163e-25   6.897700e-23   7.754747e-21   2.630709e-20   1.258305e-19   2.634729e-19   3.126788e-19   0.000000e+00
         4.2000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.364544e-21   4.931403e-21   4.619110e-21   2.316414e-21   3.992539e-22   1.409603e-25   6.513536e-23   7.321585e-21   2.483815e-20   1.188179e-19   2.487408e-19   2.951993e-19   0.000000e+00
         4.2500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.178744e-21   4.658609e-21   4.361999e-21   2.187323e-21   3.770521e-22   3.299243e-24   6.150955e-23   6.912690e-21   2.345155e-20   1.121990e-19   2.348683e-19   2.796081e-19   0.000000e+00
         4.3000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.003470e-21   4.401245e-21   4.119344e-21   2.065481e-21   3.560997e-22   3.116582e-24   5.808754e-23   6.526707e-21   2.214267e-20   1.059520e-19   2.217772e-19   2.630194e-19   0.000000e+00
         4.3500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.838139e-21   4.158458e-21   3.890342e-21   1.950484e-21   3.363274e-22   2.944238e-24   4.378879e-22   6.162356e-21   2.090719e-20   1.000561e-19   2.093794e-19   2.481977e-19   0.000000e+00
         4.4000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.682202e-21   3.929439e-21   3.674234e-21   3.784277e-21   1.118358e-21   3.770129e-23   4.135103e-22   1.161972e-20   1.974100e-20   9.449189e-20   1.976931e-19   2.344560e-19   0.000000e+00
         4.4500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.535139e-21   3.713428e-21   3.470302e-21   3.573389e-21   1.056194e-21   3.561441e-23   3.905029e-22   1.097076e-20   1.864024e-20   8.924079e-20   2.274594e-19   2.216683e-19   0.000000e+00
         4.5000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.396460e-21   3.509704e-21   3.277870e-21   3.374345e-21   9.975286e-22   3.364541e-23   3.687891e-22   1.035816e-20   1.760127e-20   8.428543e-20   2.147470e-19   2.088374e-19   0.000000e+00
         4.5500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.265702e-21   3.317591e-21   3.096300e-21   3.186483e-21   9.421684e-22   2.534429e-22   1.717184e-21   9.779896e-21   1.662063e-20   7.960938e-20   2.029073e-19   1.973951e-19   0.000000e+00
         4.6000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.142428e-21   3.136446e-21   2.924990e-21   3.009181e-21   8.899295e-22   2.394114e-22   1.621609e-21   9.234042e-21   1.569508e-20   7.519711e-20   1.916433e-19   1.863762e-19   0.000000e+00
         4.6500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.026226e-21   2.965665e-21   2.763371e-21   2.841851e-21   8.406382e-22   2.261724e-22   1.531406e-21   8.718792e-21   1.482155e-20   7.103399e-20   1.809134e-19   1.759753e-19   0.000000e+00
         4.7000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.916706e-21   2.804676e-21   2.610906e-21   2.683937e-21   2.324039e-21   2.136818e-22   1.446276e-21   8.232436e-21   1.399714e-20   6.710621e-20   1.711113e-19   1.659431e-19   0.000000e+00
         4.7500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.813499e-21   2.652939e-21   2.467090e-21   2.534915e-21   2.195048e-21   9.940109e-22   1.365937e-21   7.773363e-21   1.321912e-20   6.340072e-20   1.615645e-19   1.565657e-19   0.000000e+00
         4.8000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.716256e-21   2.509946e-21   2.331444e-21   2.394291e-21   2.073328e-21   9.390044e-22   4.059939e-21   1.300513e-20   1.248490e-20   5.990522e-20   1.528889e-19   1.480429e-19   0.000000e+00
         4.8500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.624649e-21   2.375213e-21   2.203517e-21   2.261598e-21   1.958474e-21   8.871057e-22   3.834103e-21   1.227944e-20   1.179206e-20   5.660809e-20   1.442773e-19   1.397918e-19   0.000000e+00
         4.9000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.538366e-21   2.248285e-21   2.082884e-21   2.136395e-21   1.850106e-21   8.381418e-22   3.620967e-21   1.159444e-20   1.113829e-20   5.349837e-20   1.363769e-19   1.320037e-19   0.000000e+00
         4.9500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.457111e-21   2.128732e-21   1.969143e-21   2.018266e-21   1.747861e-21   7.919495e-22   3.419824e-21   1.094786e-20   1.052142e-20   5.056572e-20   1.286708e-19   1.249371e-19   0.000000e+00
         5.0000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.380606e-21   2.016144e-21   1.861915e-21   1.906818e-21   1.651401e-21   7.483746e-22   3.230004e-21   1.033756e-20   9.939419e-21   4.780037e-20   1.216758e-19   1.180008e-19   0.000000e+00
         5.0500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.308586e-21   1.910137e-21   1.760841e-21   1.801680e-21   1.560403e-21   2.221000e-21   3.050877e-21   9.761508e-21   9.390340e-21   4.519309e-20   1.148903e-19   1.112016e-19   0.000000e+00
         5.1000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.240799e-21   1.810344e-21   1.665582e-21   2.310487e-21   2.968608e-21   2.098405e-21   2.881846e-21   9.217794e-21   8.872362e-21   4.273519e-20   1.088677e-19   1.050589e-19   0.000000e+00
         5.1500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.177008e-21   1.716417e-21   1.575820e-21   2.182986e-21   2.804531e-21   1.982748e-21   2.722349e-21   8.704614e-21   8.383766e-21   4.041846e-20   1.026129e-19   9.927149e-20   0.000000e+00
         5.2000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.116985e-21   1.628029e-21   1.491251e-21   2.062704e-21   2.649731e-21   1.873641e-21   5.276711e-21   8.220262e-21   7.922928e-21   3.823512e-20   9.726325e-20   9.361876e-20   0.000000e+00
