# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         5.2000   0.000000e+00   8.090089e-25   3.233762e-24   6.075386e-24   1.049857e-23   1.606763e-23   2.268497e-23   3.051845e-23   3.948383e-23   4.943975e-23   6.071402e-23   7.159838e-23   8.520799e-23
         5.2500   0.000000e+00   8.497493e-25   3.446903e-24   6.509640e-24   1.123360e-23   1.717317e-23   2.421745e-23   3.255622e-23   4.209403e-23   5.266993e-23   6.465689e-23   7.584085e-23   9.025688e-23
         5.3000   0.000000e+00   8.907648e-25   3.665365e-24   6.978359e-24   1.202624e-23   1.836397e-23   2.586569e-23   3.474563e-23   4.489585e-23   5.613312e-23   6.888155e-23   8.033471e-23   9.560494e-23
         5.3500   0.000000e+00   9.322302e-25   3.887696e-24   7.484331e-24   1.288136e-23   1.964734e-23   2.763957e-23   3.709949e-23   4.790530e-23   5.984851e-23   7.341098e-23   8.509484e-23   1.012699e-22
         5.4000   0.000000e+00   9.744064e-25   4.112597e-24   8.030480e-24   1.380419e-23   2.103116e-23   2.954981e-23   3.963179e-23   5.113985e-23   6.383711e-23   7.827029e-23   9.013702e-23   1.072705e-22
         5.4500   0.000000e+00   1.017617e-24   4.339096e-24   8.619804e-24   1.480033e-23   2.252394e-23   3.160806e-23   4.235774e-23   5.461858e-23   6.812180e-23   8.348697e-23   9.547798e-23   1.136267e-22
         5.5000   0.000000e+00   1.062238e-24   4.566696e-24   9.255341e-24   1.587563e-23   2.413481e-23   3.382695e-23   4.529389e-23   5.836231e-23   7.272751e-23   8.909094e-23   1.011354e-22   1.203595e-22
         5.5500   0.000000e+00   1.108665e-24   4.795366e-24   9.939980e-24   1.703623e-23   2.587356e-23   3.622014e-23   4.845818e-23   6.239366e-23   7.768149e-23   9.511480e-23   1.071281e-22   1.274912e-22
         5.6000   0.000000e+00   1.157319e-24   5.025682e-24   1.067634e-23   1.828841e-23   2.775050e-23   3.880230e-23   5.187009e-23   6.673719e-23   8.301346e-23   1.015942e-22   1.136788e-22   1.350456e-22
         5.6500   0.000000e+00   1.208622e-24   5.258680e-24   1.146651e-23   1.963838e-23   2.977646e-23   4.158918e-23   5.555056e-23   7.141958e-23   8.875567e-23   1.085681e-22   1.208453e-22   1.433342e-22
         5.7000   0.000000e+00   1.262997e-24   5.495880e-24   1.231167e-23   2.109207e-23   3.196249e-23   4.459752e-23   5.952216e-23   7.646959e-23   9.494316e-23   1.160785e-22   1.284999e-22   1.523727e-22
         5.7500   0.000000e+00   1.320806e-24   5.739129e-24   1.321192e-23   2.265456e-23   3.431980e-23   4.784488e-23   6.380899e-23   8.191826e-23   1.016140e-22   1.241714e-22   1.366801e-22   1.620274e-22
         5.8000   0.000000e+00   1.382425e-24   5.990574e-24   1.416576e-23   2.432977e-23   3.685899e-23   5.134946e-23   6.843654e-23   8.779879e-23   1.088091e-22   1.328965e-22   1.454264e-22   1.723451e-22
         5.8500   0.000000e+00   1.448249e-24   6.252439e-24   1.517009e-23   2.611944e-23   3.958958e-23   5.512982e-23   7.343151e-23   9.414660e-23   1.165726e-22   1.423073e-22   1.547830e-22   1.833773e-22
         5.9000   0.000000e+00   1.518633e-24   6.527094e-24   1.622001e-23   2.802291e-23   4.251909e-23   5.920392e-23   7.882128e-23   1.009988e-22   1.249519e-22   1.524618e-22   1.647985e-22   1.951797e-22
         5.9500   0.000000e+00   1.593904e-24   6.816914e-24   1.730921e-23   3.003598e-23   4.565158e-23   6.358871e-23   8.463352e-23   1.083939e-22   1.339971e-22   1.634215e-22   1.755257e-22   2.078137e-22
         6.0000   0.000000e+00   1.674391e-24   7.124235e-24   1.843020e-23   3.215114e-23   4.898707e-23   6.829791e-23   9.089458e-23   1.163713e-22   1.437609e-22   1.752524e-22   1.870224e-22   2.213461e-22
         6.0500   0.000000e+00   1.760432e-24   7.451081e-24   1.957537e-23   3.435714e-23   5.251949e-23   7.334128e-23   9.762819e-23   1.249693e-22   1.542976e-22   1.880230e-22   1.993514e-22   2.358496e-22
         6.1000   0.000000e+00   1.852356e-24   7.799573e-24   2.073719e-23   3.664016e-23   5.623701e-23   7.872166e-23   1.048532e-22   1.342240e-22   1.656626e-22   2.018045e-22   2.125818e-22   2.514039e-22
         6.1500   0.000000e+00   1.950502e-24   8.171926e-24   2.190991e-23   3.898418e-23   6.012102e-23   8.443361e-23   1.125800e-22   1.441651e-22   1.779092e-22   2.166694e-22   2.267887e-22   2.680959e-22
         6.2000   0.000000e+00   2.055217e-24   8.570088e-24   2.308928e-23   4.137354e-23   6.414793e-23   9.046165e-23   1.208093e-22   1.548142e-22   1.910870e-22   2.326870e-22   2.420542e-22   2.860208e-22
         6.2500   0.000000e+00   2.166863e-24   8.995890e-24   2.427404e-23   4.379333e-23   6.828989e-23   9.677969e-23   1.295267e-22   1.661783e-22   2.052361e-22   2.499224e-22   2.584676e-22   3.052820e-22
         6.3000   0.000000e+00   2.285816e-24   9.451195e-24   2.546536e-23   4.623255e-23   7.251890e-23   1.033517e-22   1.387036e-22   1.782474e-22   2.203833e-22   2.684277e-22   2.761266e-22   3.259923e-22
         6.3500   0.000000e+00   2.412475e-24   9.937884e-24   2.666744e-23   4.868425e-23   7.680740e-23   1.101345e-22   1.482946e-22   1.909901e-22   2.365351e-22   2.882378e-22   2.951375e-22   3.482754e-22
         6.4000   0.000000e+00   2.547257e-24   1.045781e-23   2.788682e-23   5.114713e-23   8.113466e-23   1.170808e-22   1.582418e-22   2.043527e-22   2.536715e-22   3.093606e-22   3.156158e-22   3.722652e-22
         6.4500   0.000000e+00   2.690608e-24   1.101288e-23   2.913235e-23   5.362581e-23   8.548576e-23   1.241443e-22   1.684768e-22   2.182599e-22   2.717435e-22   3.317700e-22   3.376867e-22   3.981075e-22
         6.5000   0.000000e+00   2.842999e-24   1.160505e-23   3.041429e-23   5.613042e-23   8.985665e-23   1.312855e-22   1.789300e-22   2.326215e-22   2.906694e-22   3.554013e-22   3.614862e-22   4.259607e-22
         6.5500   0.000000e+00   3.004924e-24   1.223636e-23   3.174418e-23   5.867622e-23   9.425259e-23   1.384744e-22   1.895331e-22   2.473367e-22   3.103393e-22   3.801474e-22   3.871603e-22   4.559960e-22
