# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         4.5500   1.886996e-24   1.931177e-23   5.905729e-23   9.588274e-23   3.615865e-22   1.049809e-21   1.132329e-21   3.176416e-21   1.100762e-20   1.220605e-20   0.000000e+00
         4.6000   1.872767e-24   1.862876e-23   5.657341e-23   1.427080e-22   3.422890e-22   9.930697e-22   1.071492e-21   3.006227e-21   1.039894e-20   1.152844e-20   0.000000e+00
         4.6500   1.869408e-24   1.801557e-23   5.426839e-23   1.358245e-22   3.241146e-22   9.395920e-22   1.014181e-21   2.845926e-21   9.830795e-21   1.088900e-20   0.000000e+00
         4.7000   1.877510e-24   1.747012e-23   5.213295e-23   1.293668e-22   3.070012e-22   8.891949e-22   9.602021e-22   2.694968e-21   9.274104e-21   1.028568e-20   0.000000e+00
         4.7500   1.896063e-24   1.699037e-23   5.015809e-23   1.233105e-22   2.908898e-22   8.417063e-22   9.093714e-22   2.552841e-21   8.765341e-21   9.716475e-21   0.000000e+00
         4.8000   1.928716e-24   1.657416e-23   4.833500e-23   1.176321e-22   2.757246e-22   7.969635e-22   8.615150e-22   2.419058e-21   8.302753e-21   9.179428e-21   0.000000e+00
         4.8500   1.974474e-24   1.621923e-23   4.665506e-23   1.123092e-22   2.614526e-22   7.548124e-22   8.164679e-22   2.293159e-21   7.892647e-21   8.672711e-21   0.000000e+00
         4.9000   2.033823e-24   1.592313e-23   4.510974e-23   1.073200e-22   2.480233e-22   7.151067e-22   7.740740e-22   2.174706e-21   7.442144e-21   8.194624e-21   0.000000e+00
         4.9500   2.107177e-24   1.568318e-23   4.369054e-23   1.026436e-22   2.353888e-22   6.777079e-22   7.341848e-22   2.063286e-21   7.032673e-21   7.743575e-21   0.000000e+00
         5.0000   2.193835e-24   1.549644e-23   4.238896e-23   1.485388e-22   2.235031e-22   6.424841e-22   6.966602e-22   1.958507e-21   6.650523e-21   7.318065e-21   0.000000e+00
         5.0500   2.296116e-24   1.535965e-23   4.119645e-23   1.419393e-22   2.123227e-22   6.093103e-22   6.613673e-22   1.859996e-21   6.304042e-21   6.916688e-21   0.000000e+00
         5.1000   2.412921e-24   1.526916e-23   4.010436e-23   1.357478e-22   2.018057e-22   5.780677e-22   6.281795e-22   1.767400e-21   5.952006e-21   6.538171e-21   0.000000e+00
         5.1500   2.543971e-24   1.522081e-23   3.910390e-23   1.299376e-22   1.919123e-22   5.486432e-22   5.969764e-22   1.680381e-21   5.635510e-21   6.181282e-21   0.000000e+00
         5.2000   2.688823e-24   1.521009e-23   4.705129e-23   1.244822e-22   1.826042e-22   5.209293e-22   5.676434e-22   1.598619e-21   5.330005e-21   5.844819e-21   0.000000e+00
         5.2500   2.846836e-24   1.523228e-23   4.576855e-23   1.193563e-22   1.738444e-22   4.948234e-22   5.400720e-22   1.521810e-21   5.049364e-21   5.527649e-21   0.000000e+00
         5.3000   3.017043e-24   1.528230e-23   4.457827e-23   1.145350e-22   2.119093e-22   4.702280e-22   5.141594e-22   1.449663e-21   4.781172e-21   5.228703e-21   0.000000e+00
