# CIE bound-bound cooling efficiency for N (Z=7)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_N0           L_N1           L_N2           L_N3           L_N4           L_N5           L_N6           L_N7         
         6.0000   0.000000e+00   1.774258e-24   7.750574e-24   1.826948e-23   3.279968e-23   5.066202e-23   6.053146e-23   8.099182e-23
         6.0500   0.000000e+00   1.856108e-24   8.093057e-24   1.918358e-23   3.481121e-23   5.403382e-23   6.483324e-23   8.667491e-23
         6.1000   0.000000e+00   1.943437e-24   8.447405e-24   2.010431e-23   3.684850e-23   5.749689e-23   6.947555e-23   9.280425e-23
         6.1500   0.000000e+00   2.036783e-24   8.816746e-24   2.103586e-23   3.890226e-23   6.102808e-23   7.448654e-23   9.941746e-23
         6.2000   0.000000e+00   2.136604e-24   9.204419e-24   2.198432e-23   4.096658e-23   6.460512e-23   7.989577e-23   1.065549e-22
         6.2500   0.000000e+00   2.243352e-24   9.613769e-24   2.295711e-23   4.304030e-23   6.821157e-23   8.573423e-23   1.142594e-22
         6.3000   0.000000e+00   2.357490e-24   1.004801e-23   2.396280e-23   4.512723e-23   7.183672e-23   9.203356e-23   1.225762e-22
         6.3500   0.000000e+00   2.479475e-24   1.050999e-23   2.501032e-23   4.723586e-23   7.547834e-23   9.882538e-23   1.315519e-22
         6.4000   0.000000e+00   2.609766e-24   1.100270e-23   2.610912e-23   4.937896e-23   7.914281e-23   1.061397e-22   1.412342e-22
         6.4500   0.000000e+00   2.748835e-24   1.152923e-23   2.726871e-23   5.157276e-23   8.284480e-23   1.140027e-22   1.516696e-22
         6.5000   0.000000e+00   2.897169e-24   1.209227e-23   2.849839e-23   5.383606e-23   8.660653e-23   1.224346e-22   1.629018e-22
         6.5500   0.000000e+00   3.055274e-24   1.269440e-23   2.980627e-23   5.618908e-23   9.045631e-23   1.314452e-22   1.749667e-22
         6.6000   0.000000e+00   3.223681e-24   1.333823e-23   3.120082e-23   5.865299e-23   9.442705e-23   1.410321e-22   1.878903e-22
         6.6500   0.000000e+00   3.402950e-24   1.402639e-23   3.269090e-23   6.124930e-23   9.855425e-23   1.511754e-22   2.016808e-22
         6.7000   0.000000e+00   3.593674e-24   1.476150e-23   3.428427e-23   6.399978e-23   1.028750e-22   1.618383e-22   2.163258e-22
         6.7500   0.000000e+00   3.796480e-24   1.554624e-23   3.598824e-23   6.692309e-23   1.074271e-22   1.729650e-22   2.317868e-22
         6.8000   0.000000e+00   4.012032e-24   1.638335e-23   3.781028e-23   7.003821e-23   1.122488e-22   1.844867e-22   2.479985e-22
         6.8500   0.000000e+00   4.241035e-24   1.727572e-23   3.975788e-23   7.336519e-23   1.173730e-22   1.963226e-22   2.648693e-22
         6.9000   0.000000e+00   4.484245e-24   1.822635e-23   4.183848e-23   7.692252e-23   1.228331e-22   2.083934e-22   2.822894e-22
         6.9500   0.000000e+00   4.742456e-24   1.923839e-23   4.405967e-23   8.072678e-23   1.286641e-22   2.206227e-22   3.001366e-22
         7.0000   0.000000e+00   5.021394e-24   2.031521e-23   4.642929e-23   8.479482e-23   1.348988e-22   2.329538e-22   3.182924e-22
         7.0500   0.000000e+00   5.318930e-24   2.146035e-23   4.895551e-23   8.914374e-23   1.415662e-22   2.453493e-22   3.366528e-22
         7.1000   0.000000e+00   5.634097e-24   2.267756e-23   5.164680e-23   9.379038e-23   1.486960e-22   2.578011e-22   3.551396e-22
         7.1500   0.000000e+00   5.967938e-24   2.397081e-23   5.451217e-23   9.875189e-23   1.563181e-22   2.703301e-22   3.737154e-22
         7.2000   0.000000e+00   6.321560e-24   2.534437e-23   5.756107e-23   1.040459e-22   1.644623e-22   2.829858e-22   3.923797e-22
         7.2500   0.000000e+00   6.696136e-24   2.680275e-23   6.080358e-23   1.096908e-22   1.731584e-22   2.958436e-22   4.111823e-22
         7.3000   0.000000e+00   7.092907e-24   2.837163e-23   6.425032e-23   1.157056e-22   1.824376e-22   3.089999e-22   4.302100e-22
         7.3500   0.000000e+00   7.513188e-24   3.005275e-23   6.791251e-23   1.221105e-22   1.923320e-22   3.225668e-22   4.495888e-22
         7.4000   0.000000e+00   7.958373e-24   3.183349e-23   7.180228e-23   1.289266e-22   2.028751e-22   3.366657e-22   4.694710e-22
         7.4500   0.000000e+00   8.429936e-24   3.371974e-23   7.593236e-23   1.361765e-22   2.141020e-22   3.514232e-22   4.900325e-22
         7.5000   0.000000e+00   8.929441e-24   3.571776e-23   8.036497e-23   1.438839e-22   2.260500e-22   3.669686e-22   5.114554e-22
         7.5500   0.000000e+00   9.458544e-24   3.783418e-23   8.512690e-23   1.520740e-22   2.387586e-22   3.834329e-22   5.339333e-22
         7.6000   0.000000e+00   1.001900e-23   4.007599e-23   9.017098e-23   1.607738e-22   2.522695e-22   4.009290e-22   5.576603e-22
         7.6500   0.000000e+00   1.061266e-23   4.245064e-23   9.551395e-23   1.700119e-22   2.666267e-22   4.195706e-22   5.828254e-22
         7.7000   0.000000e+00   1.124150e-23   4.496600e-23   1.011735e-22   1.798640e-22   2.818774e-22   4.394777e-22   6.095937e-22
         7.7500   0.000000e+00   1.190760e-23   4.763041e-23   1.071684e-22   1.905216e-22   2.980721e-22   4.607627e-22   6.381385e-22
         7.8000   0.000000e+00   1.261317e-23   5.045268e-23   1.135185e-22   2.018107e-22   3.153293e-22   4.835250e-22   6.686407e-22
         7.8500   0.000000e+00   1.336055e-23   5.344219e-23   1.202449e-22   2.137688e-22   3.340137e-22   5.078659e-22   7.012575e-22
         7.9000   0.000000e+00   1.415221e-23   5.660884e-23   1.273699e-22   2.264354e-22   3.538053e-22   5.338880e-22   7.361384e-22
         7.9500   0.000000e+00   1.499078e-23   5.996313e-23   1.349170e-22   2.398525e-22   3.747695e-22   5.616925e-22   7.734357e-22
         8.0000   0.000000e+00   1.587904e-23   6.351617e-23   1.429114e-22   2.540647e-22   3.969760e-22   5.913822e-22   8.133026e-22
         8.0500   0.000000e+00   1.681993e-23   6.727974e-23   1.513794e-22   2.691189e-22   4.204983e-22   6.230631e-22   8.558907e-22
         8.1000   0.000000e+00   1.781658e-23   7.126631e-23   1.603492e-22   2.850652e-22   4.454144e-22   6.568450e-22   9.013554e-22
         8.1500   0.000000e+00   1.887228e-23   7.548910e-23   1.698505e-22   3.019564e-22   4.718069e-22   6.928420e-22   9.498569e-22
         8.2000   0.000000e+00   1.999053e-23   7.996212e-23   1.799148e-22   3.198485e-22   4.997632e-22   7.311747e-22   1.001562e-21
         8.2500   0.000000e+00   2.117504e-23   8.470017e-23   1.905754e-22   3.388007e-22   5.293761e-22   7.719699e-22   1.056644e-21
         8.3000   0.000000e+00   2.242974e-23   8.971897e-23   2.018677e-22   3.588759e-22   5.607436e-22   8.153627e-22   1.115288e-21
         8.3500   0.000000e+00   2.375879e-23   9.503515e-23   2.138291e-22   3.801406e-22   5.939697e-22   8.614954e-22   1.177686e-21
         8.4000   0.000000e+00   2.516658e-23   1.006663e-22   2.264993e-22   4.026654e-22   6.291646e-22   9.105183e-22   1.244046e-21
         8.4500   0.000000e+00   2.665780e-23   1.066312e-22   2.399202e-22   4.265248e-22   6.664450e-22   9.625928e-22   1.314583e-21
         8.5000   0.000000e+00   2.823737e-23   1.129495e-22   2.541364e-22   4.517980e-22   7.059343e-22   1.017891e-21   1.389529e-21
         8.5500   0.000000e+00   2.991054e-23   1.196422e-22   2.691949e-22   4.785687e-22   7.477636e-22   1.076780e-21   1.469131e-21
         8.6000   0.000000e+00   3.168285e-23   1.267314e-22   2.851457e-22   5.069256e-22   7.920713e-22   1.140583e-21   1.553649e-21
         8.6500   0.000000e+00   3.356018e-23   1.342407e-22   3.020416e-22   5.369629e-22   8.390045e-22   1.208166e-21   1.644449e-21
         8.7000   0.000000e+00   3.554875e-23   1.421950e-22   3.199387e-22   5.687799e-22   8.887186e-22   1.279755e-21   1.741889e-21
         8.7500   0.000000e+00   3.765514e-23   1.506206e-22   3.388963e-22   6.024823e-22   9.413785e-22   1.355585e-21   1.845102e-21
         8.8000   0.000000e+00   3.988635e-23   1.595454e-22   3.589771e-22   6.381816e-22   9.971587e-22   1.435909e-21   1.954431e-21
         8.8500   0.000000e+00   4.224976e-23   1.689991e-22   3.802479e-22   6.759962e-22   1.056244e-21   1.520991e-21   2.070238e-21
         8.9000   0.000000e+00   4.475322e-23   1.790129e-22   4.027790e-22   7.160515e-22   1.118830e-21   1.611116e-21   2.192908e-21
         8.9500   0.000000e+00   4.740501e-23   1.896201e-22   4.266451e-22   7.584802e-22   1.185125e-21   1.706581e-21   2.322846e-21
         9.0000   0.000000e+00   5.021394e-23   2.008558e-22   4.519254e-22   8.034230e-22   1.255348e-21   1.807702e-21   2.460483e-21
