# CIE bound-bound cooling efficiency for Fe (Z=26)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Fe0          L_Fe1          L_Fe2          L_Fe3          L_Fe4          L_Fe5          L_Fe6          L_Fe7          L_Fe8          L_Fe9          L_Fe10         L_Fe11         L_Fe12         L_Fe13         L_Fe14         L_Fe15         L_Fe16         L_Fe17         L_Fe18         L_Fe19         L_Fe20         L_Fe21         L_Fe22         L_Fe23         L_Fe24         L_Fe25         L_Fe26       
         3.6000   0.000000e+00   0.000000e+00   0.000000e+00   1.796120e-22   2.884109e-22   1.252105e-21   2.382985e-21   7.108971e-21   6.158302e-21   8.259183e-21   1.037085e-20   1.541396e-20   2.039048e-20   2.660288e-20   4.749720e-20   6.124441e-20   6.836488e-20   3.007282e-20   9.397434e-20   1.789440e-20   7.442059e-20   9.140589e-20   3.461909e-19   7.004813e-19   7.237511e-19   8.223772e-19   0.000000e+00
         3.6500   0.000000e+00   0.000000e+00   0.000000e+00   1.697599e-22   2.723929e-22   1.182610e-21   2.307749e-21   6.713121e-21   5.814958e-21   7.798499e-21   9.797718e-21   1.455345e-20   1.925294e-20   2.526510e-20   4.484376e-20   5.782255e-20   6.454445e-20   2.839119e-20   8.871824e-20   1.689378e-20   7.025993e-20   8.629540e-20   3.268344e-19   6.613215e-19   6.832659e-19   7.763934e-19   0.000000e+00
         3.7000   0.000000e+00   0.000000e+00   0.000000e+00   1.604688e-22   2.572715e-22   1.117033e-21   2.179608e-21   6.339520e-21   5.490887e-21   7.620591e-21   9.251151e-21   1.374117e-20   1.817808e-20   2.385435e-20   4.233896e-20   5.459235e-20   6.093796e-20   2.680367e-20   8.375621e-20   1.594916e-20   6.633215e-20   8.147094e-20   3.085612e-19   6.492726e-19   6.450454e-19   7.332825e-19   0.000000e+00
         3.7500   0.000000e+00   0.000000e+00   0.000000e+00   1.517077e-22   2.431289e-22   1.058918e-21   2.058689e-21   5.986929e-21   5.185016e-21   7.195914e-21   8.735247e-21   1.297446e-20   1.716347e-20   2.252267e-20   3.997450e-20   5.154310e-20   5.753344e-20   4.068877e-20   7.907180e-20   1.505740e-20   6.262423e-20   7.691653e-20   2.913107e-19   6.129806e-19   6.089630e-19   6.922359e-19   0.000000e+00
         3.8000   0.000000e+00   0.000000e+00   0.000000e+00   1.434491e-22   2.296603e-22   1.000352e-21   1.944592e-21   5.654178e-21   4.896329e-21   6.795088e-21   8.248295e-21   1.225073e-20   1.621760e-20   2.126564e-20   3.774254e-20   4.866470e-20   5.431963e-20   3.841353e-20   7.464948e-20   1.421555e-20   5.912389e-20   7.261706e-20   2.750258e-19   5.787204e-19   5.748991e-19   1.057319e-18   0.000000e+00
         3.8500   0.000000e+00   0.000000e+00   0.000000e+00   1.356619e-22   2.169526e-22   9.451002e-22   1.836937e-21   5.340164e-21   4.623870e-21   6.416783e-21   7.822227e-21   1.156819e-20   1.531294e-20   2.060809e-20   3.563567e-20   4.594759e-20   5.128587e-20   3.626561e-20   7.047459e-20   1.342083e-20   5.581952e-20   6.855832e-20   2.596526e-19   5.463785e-19   5.427407e-19   9.982793e-19   0.000000e+00
         3.9000   0.000000e+00   0.000000e+00   0.000000e+00   1.283216e-22   2.063586e-22   8.929782e-22   1.928855e-21   5.043845e-21   4.366736e-21   6.059745e-21   7.386608e-21   1.092337e-20   1.445905e-20   1.945883e-20   3.364692e-20   4.338278e-20   4.842210e-20   3.423790e-20   6.653330e-20   1.267058e-20   5.270016e-20   6.472679e-20   2.451400e-19   5.158475e-19   7.207574e-19   9.440380e-19   0.000000e+00
         3.9500   0.000000e+00   0.000000e+00   0.000000e+00   1.214409e-22   1.949955e-22   8.664424e-22   1.822582e-21   4.764237e-21   4.124074e-21   5.722790e-21   6.975471e-21   1.031476e-20   1.365307e-20   1.837407e-20   3.176969e-20   4.096176e-20   4.571882e-20   3.232368e-20   6.281253e-20   1.196233e-20   4.975549e-20   6.111090e-20   2.314399e-19   4.870264e-19   6.804411e-19   8.917587e-19   0.000000e+00
         4.0000   0.000000e+00   0.000000e+00   0.000000e+00   1.149216e-22   1.842782e-22   8.189631e-22   1.722343e-21   4.500414e-21   3.895078e-21   5.404802e-21   6.587451e-21   9.746715e-21   1.296341e-20   1.735021e-20   2.999776e-20   3.867651e-20   4.316708e-20   3.051660e-20   5.929997e-20   1.129374e-20   4.697574e-20   5.769640e-20   2.185069e-19   4.598196e-19   6.423802e-19   8.419556e-19   0.000000e+00
         4.0500   0.000000e+00   0.000000e+00   0.000000e+00   1.087796e-22   1.741709e-22   7.741933e-22   1.627807e-21   4.251499e-21   3.678991e-21   5.104725e-21   6.341112e-21   9.204232e-21   1.224156e-20   1.638385e-20   2.832526e-20   3.651945e-20   4.075843e-20   2.881067e-20   5.598396e-20   1.066258e-20   4.435169e-20   5.447315e-20   2.062982e-19   4.341368e-19   6.064501e-19   7.951901e-19   0.000000e+00
         4.1000   0.000000e+00   0.000000e+00   0.000000e+00   1.034038e-22   1.730871e-22   7.319838e-22   1.538657e-21   4.016664e-21   3.475094e-21   5.072474e-21   5.989037e-21   8.692253e-21   1.156028e-20   1.654199e-20   2.674663e-20   3.448343e-20   3.848487e-20   2.720023e-20   5.285352e-20   1.006676e-20   4.187464e-20   5.145271e-20   1.947733e-19   4.098931e-19   5.725285e-19   7.499564e-19   0.000000e+00
         4.1500   0.000000e+00   0.000000e+00   0.000000e+00   9.794839e-23   1.637889e-22   7.729556e-22   1.845813e-21   3.795132e-21   3.282712e-21   4.791379e-21   5.656809e-21   8.209081e-21   1.091731e-20   1.562197e-20   2.525666e-20   3.256171e-20   3.633886e-20   2.567995e-20   4.989826e-20   9.504303e-21   3.953641e-20   4.857923e-20   1.838940e-19   3.870079e-19   5.405062e-19   7.091656e-19   0.000000e+00
         4.2000   0.000000e+00   0.000000e+00   0.000000e+00   9.281340e-23   1.550321e-22   7.314864e-22   1.745395e-21   3.586164e-21   3.101206e-21   4.526159e-21   5.343325e-21   7.791422e-21   1.056443e-20   1.475372e-20   2.385039e-20   3.074790e-20   3.431330e-20   2.424478e-20   4.710840e-20   8.973352e-21   3.732921e-20   4.586678e-20   1.736242e-19   3.654056e-19   5.102909e-19   6.714952e-19   0.000000e+00
         4.2500   0.000000e+00   0.000000e+00   0.000000e+00   9.053873e-23   1.467872e-22   6.924294e-22   1.650745e-21   3.968091e-21   2.929973e-21   4.275936e-21   5.047545e-21   7.359118e-21   9.978006e-21   1.393437e-20   2.252317e-20   2.903600e-20   3.240148e-20   2.288998e-20   4.447468e-20   8.472144e-21   3.524573e-20   4.355179e-20   1.639299e-19   3.450143e-19   4.817491e-19   6.340382e-19   0.000000e+00
         4.3000   0.000000e+00   0.000000e+00   0.000000e+00   8.594459e-23   1.690996e-22   6.556529e-22   1.561548e-21   3.749869e-21   2.768445e-21   4.039879e-21   4.768487e-21   6.951197e-21   9.424650e-21   1.316119e-20   2.127058e-20   2.742033e-20   3.059704e-20   2.161105e-20   4.198837e-20   7.999027e-21   3.327965e-20   4.112119e-20   1.547789e-19   3.257666e-19   6.583051e-19   6.000160e-19   0.000000e+00
         4.3500   0.000000e+00   0.000000e+00   0.000000e+00   8.163377e-23   1.606754e-22   6.210325e-22   1.477506e-21   3.544052e-21   2.616086e-21   3.817203e-21   4.734404e-21   6.566307e-21   8.902522e-21   1.243162e-20   2.008849e-20   2.589553e-20   2.889402e-20   2.040375e-20   3.964124e-20   7.552413e-21   3.142327e-20   3.882688e-20   1.461410e-19   3.075987e-19   6.214950e-19   5.665669e-19   0.000000e+00
         4.4000   0.000000e+00   0.000000e+00   0.000000e+00   7.759156e-23   1.527795e-22   7.513883e-22   1.398335e-21   3.349956e-21   2.472388e-21   3.607169e-21   4.473652e-21   6.340007e-21   8.409889e-21   1.174325e-20   1.897297e-20   2.445655e-20   2.728676e-20   1.926408e-20   3.742550e-20   7.131210e-21   2.968329e-20   3.821957e-20   1.379875e-19   2.904503e-19   5.868334e-19   5.335792e-19   0.000000e+00
         4.4500   0.000000e+00   0.000000e+00   0.000000e+00   8.287713e-23   1.453845e-22   7.126821e-22   1.323769e-21   3.166931e-21   2.336875e-21   3.409080e-21   4.227715e-21   5.990166e-21   7.945117e-21   1.109378e-20   1.792031e-20   2.309862e-20   2.576993e-20   2.300387e-20   3.533381e-20   6.733244e-21   2.802872e-20   3.608836e-20   1.302913e-19   2.816287e-19   5.540153e-19   5.039754e-19   0.000000e+00
