# CIE bound-bound cooling efficiency for He (Z=2)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_He0          L_He1          L_He2        
         8.0000   0.000000e+00   1.587904e-23   6.351617e-23
         8.0500   0.000000e+00   1.681993e-23   6.727974e-23
         8.1000   0.000000e+00   1.781658e-23   7.126631e-23
         8.1500   0.000000e+00   1.887228e-23   7.548910e-23
         8.2000   0.000000e+00   1.999053e-23   7.996212e-23
         8.2500   0.000000e+00   2.117504e-23   8.470017e-23
         8.3000   0.000000e+00   2.242974e-23   8.971897e-23
         8.3500   0.000000e+00   2.375879e-23   9.503515e-23
         8.4000   0.000000e+00   2.516658e-23   1.006663e-22
         8.4500   0.000000e+00   2.665780e-23   1.066312e-22
         8.5000   0.000000e+00   2.823737e-23   1.129495e-22
         8.5500   0.000000e+00   2.991054e-23   1.196422e-22
         8.6000   0.000000e+00   3.168285e-23   1.267314e-22
         8.6500   0.000000e+00   3.356018e-23   1.342407e-22
         8.7000   0.000000e+00   3.554875e-23   1.421950e-22
         8.7500   0.000000e+00   3.765514e-23   1.506206e-22
         8.8000   0.000000e+00   3.988635e-23   1.595454e-22
         8.8500   0.000000e+00   4.224976e-23   1.689991e-22
         8.9000   0.000000e+00   4.475322e-23   1.790129e-22
         8.9500   0.000000e+00   4.740501e-23   1.896201e-22
         9.0000   0.000000e+00   5.021394e-23   2.008558e-22
