# CIE bound-bound cooling efficiency for He (Z=2)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_He0          L_He1          L_He2        
         8.0000   1.605491e-19   1.968225e-19   6.351617e-23
         8.0500   1.547928e-19   1.901736e-19   6.727974e-23
         8.1000   1.491781e-19   1.836533e-19   7.126631e-23
         8.1500   1.437070e-19   1.772678e-19   7.548910e-23
         8.2000   1.383811e-19   1.710225e-19   7.996212e-23
         8.2500   1.332012e-19   1.649215e-19   8.470017e-23
         8.3000   1.281677e-19   1.589684e-19   8.971897e-23
         8.3500   1.232804e-19   1.531655e-19   9.503515e-23
         8.4000   1.185387e-19   1.475148e-19   1.006663e-22
         8.4500   1.139416e-19   1.420174e-19   1.066312e-22
         8.5000   1.094879e-19   1.366738e-19   1.129495e-22
         8.5500   1.051758e-19   1.314841e-19   1.196422e-22
         8.6000   1.010034e-19   1.264477e-19   1.267314e-22
         8.6500   9.696871e-20   1.215639e-19   1.342407e-22
         8.7000   9.306929e-20   1.168312e-19   1.421950e-22
         8.7500   8.930266e-20   1.122482e-19   1.506206e-22
         8.8000   8.566617e-20   1.078129e-19   1.595454e-22
         8.8500   8.215705e-20   1.035231e-19   1.689991e-22
         8.9000   7.877245e-20   9.937658e-20   1.790129e-22
         8.9500   7.550942e-20   9.537063e-20   1.896201e-22
         9.0000   7.236495e-20   9.150258e-20   2.008558e-22
