# CIE bound-bound cooling efficiency for N (Z=7)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_N0           L_N1           L_N2           L_N3           L_N4           L_N5           L_N6           L_N7         
         5.1000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.503269e-36   1.251475e-39   0.000000e+00
         5.1500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.009836e-34   1.782351e-37   0.000000e+00
         5.2000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.272805e-33   1.471578e-35   0.000000e+00
         5.2500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.196595e-31   7.474083e-34   0.000000e+00
         5.3000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.317106e-30   2.461995e-32   0.000000e+00
         5.3500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.228705e-29   5.513784e-31   0.000000e+00
         5.4000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.356015e-28   8.755978e-30   0.000000e+00
         5.4500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.687143e-27   1.023599e-28   0.000000e+00
         5.5000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.705688e-26   9.108275e-28   0.000000e+00
         5.5500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   8.806347e-26   6.355557e-27   0.000000e+00
         5.6000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.783759e-25   3.571088e-26   0.000000e+00
         5.6500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.380558e-24   1.654369e-25   0.000000e+00
         5.7000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.354636e-24   6.453205e-25   0.000000e+00
         5.7500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.206429e-23   2.159482e-24   0.000000e+00
         5.8000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.977199e-23   6.303429e-24   0.000000e+00
         5.8500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   6.626603e-23   1.628853e-23   0.000000e+00
         5.9000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.345257e-22   3.775569e-23   0.000000e+00
         5.9500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.516377e-22   7.942736e-23   0.000000e+00
         6.0000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.377086e-22   1.532442e-22   0.000000e+00
         6.0500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   7.138072e-22   2.737010e-22   0.000000e+00
         6.1000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.099308e-21   4.563183e-22   0.000000e+00
         6.1500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.609196e-21   7.154844e-22   0.000000e+00
         6.2000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.251888e-21   1.062130e-21   0.000000e+00
         6.2500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.027987e-21   1.501776e-21   0.000000e+00
         6.3000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.929905e-21   2.033388e-21   0.000000e+00
         6.3500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.941473e-21   2.649230e-21   0.000000e+00
         6.4000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   6.039467e-21   3.335635e-21   0.000000e+00
         6.4500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   7.195961e-21   4.074123e-21   0.000000e+00
         6.5000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   8.380689e-21   4.843086e-21   0.000000e+00
         6.5500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   9.563345e-21   5.619812e-21   0.000000e+00
         6.6000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.071588e-20   6.382251e-21   0.000000e+00
         6.6500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.181568e-20   7.110435e-21   0.000000e+00
         6.7000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.284525e-20   7.787474e-21   0.000000e+00
         6.7500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.379152e-20   8.400133e-21   0.000000e+00
         6.8000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.464561e-20   8.939021e-21   0.000000e+00
         6.8500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.540236e-20   9.398463e-21   0.000000e+00
         6.9000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.605888e-20   9.776140e-21   0.000000e+00
         6.9500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.660985e-20   1.007260e-20   0.000000e+00
         7.0000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.705171e-20   1.029069e-20   0.000000e+00
         7.0500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.738445e-20   1.043500e-20   0.000000e+00
         7.1000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.761107e-20   1.051130e-20   0.000000e+00
         7.1500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.773692e-20   1.052613e-20   0.000000e+00
         7.2000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.776909e-20   1.048635e-20   0.000000e+00
         7.2500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.771577e-20   1.039885e-20   0.000000e+00
         7.3000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.758582e-20   1.027035e-20   0.000000e+00
         7.3500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.738860e-20   1.010718e-20   0.000000e+00
         7.4000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.713330e-20   9.915206e-21   0.000000e+00
         7.4500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.682867e-20   9.699748e-21   0.000000e+00
         7.5000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.648285e-20   9.465580e-21   0.000000e+00
         7.5500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.610332e-20   9.216919e-21   0.000000e+00
         7.6000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.569678e-20   8.957449e-21   0.000000e+00
         7.6500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.526890e-20   8.690357e-21   0.000000e+00
         7.7000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.482470e-20   8.418377e-21   0.000000e+00
         7.7500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.436873e-20   8.143829e-21   0.000000e+00
         7.8000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.390500e-20   7.868673e-21   0.000000e+00
         7.8500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.343709e-20   7.594545e-21   0.000000e+00
         7.9000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.296810e-20   7.322805e-21   0.000000e+00
         7.9500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.250068e-20   7.054568e-21   0.000000e+00
         8.0000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.203712e-20   6.790744e-21   0.000000e+00
         8.0500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.157934e-20   6.532063e-21   0.000000e+00
         8.1000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.112892e-20   6.279105e-21   0.000000e+00
         8.1500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.068716e-20   6.032318e-21   0.000000e+00
         8.2000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.025513e-20   5.792045e-21   0.000000e+00
         8.2500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   9.833651e-21   5.558533e-21   0.000000e+00
         8.3000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   9.423368e-21   5.331952e-21   0.000000e+00
         8.3500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   9.024755e-21   5.112408e-21   0.000000e+00
         8.4000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   8.638146e-21   4.899950e-21   0.000000e+00
         8.4500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   8.263755e-21   4.694584e-21   0.000000e+00
         8.5000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   7.901695e-21   4.496273e-21   0.000000e+00
         8.5500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   7.551996e-21   4.304954e-21   0.000000e+00
         8.6000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   7.214615e-21   4.120534e-21   0.000000e+00
         8.6500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   6.889451e-21   3.942900e-21   0.000000e+00
         8.7000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   6.576356e-21   3.771921e-21   0.000000e+00
         8.7500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   6.275140e-21   3.607454e-21   0.000000e+00
         8.8000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   5.985583e-21   3.449344e-21   0.000000e+00
         8.8500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   5.707441e-21   3.297426e-21   0.000000e+00
         8.9000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   5.440447e-21   3.151532e-21   0.000000e+00
         8.9500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   5.184323e-21   3.011488e-21   0.000000e+00
         9.0000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   4.938778e-21   2.877117e-21   0.000000e+00
