# CIE bound-bound cooling efficiency for N (Z=7)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_N0           L_N1           L_N2           L_N3           L_N4           L_N5           L_N6           L_N7         
         5.1000   4.890351e-24   2.035371e-23   5.919525e-23   1.520225e-22   4.639226e-22   1.283239e-21   1.785179e-21   0.000000e+00
         5.1500   5.078374e-24   1.981600e-23   5.664299e-23   1.457480e-22   4.447866e-22   1.214015e-21   1.692350e-21   0.000000e+00
         5.2000   5.266071e-24   1.930613e-23   5.422839e-23   1.398433e-22   4.267956e-22   1.151676e-21   1.604907e-21   0.000000e+00
         5.2500   5.449636e-24   1.881885e-23   5.194059e-23   1.342823e-22   4.098682e-22   1.092989e-21   1.522535e-21   0.000000e+00
         5.3000   5.625347e-24   1.834984e-23   4.976946e-23   1.290408e-22   3.939270e-22   1.037689e-21   1.444940e-21   0.000000e+00
         5.3500   5.789506e-24   1.789529e-23   4.770418e-23   1.240934e-22   3.788987e-22   9.871140e-22   1.371847e-21   0.000000e+00
         5.4000   6.254870e-24   1.745132e-23   4.573376e-23   1.194145e-22   3.647128e-22   9.416681e-22   1.303007e-21   0.000000e+00
         5.4500   6.378732e-24   1.701344e-23   4.384860e-23   1.149827e-22   3.512987e-22   8.943721e-22   1.238196e-21   0.000000e+00
         5.5000   6.482807e-24   1.657736e-23   4.204223e-23   1.107825e-22   3.385890e-22   8.516579e-22   1.177196e-21   0.000000e+00
         5.5500   6.564255e-24   1.614007e-23   4.030939e-23   1.067958e-22   3.265248e-22   8.107862e-22   1.119793e-21   0.000000e+00
         5.6000   6.620611e-24   1.569970e-23   3.864320e-23   1.029969e-22   3.150557e-22   7.723402e-22   1.065773e-21   0.000000e+00
         5.6500   6.649980e-24   1.525481e-23   3.703432e-23   9.935872e-23   3.041260e-22   7.364258e-22   1.014934e-21   0.000000e+00
         5.7000   6.651137e-24   1.480407e-23   3.547399e-23   9.586972e-23   2.936730e-22   7.023781e-22   9.670783e-22   0.000000e+00
         5.7500   6.623428e-24   1.434654e-23   3.395766e-23   9.253065e-23   2.836349e-22   6.702975e-22   9.220200e-22   0.000000e+00
         5.8000   6.566696e-24   1.388153e-23   3.248361e-23   8.934045e-23   2.739803e-22   6.404292e-22   8.795830e-22   0.000000e+00
         5.8500   6.481317e-24   1.340834e-23   3.105076e-23   8.627358e-23   2.646941e-22   6.113909e-22   8.395962e-22   0.000000e+00
         5.9000   6.368240e-24   1.292682e-23   2.965714e-23   8.329515e-23   2.557545e-22   5.845574e-22   8.018972e-22   0.000000e+00
         5.9500   6.228979e-24   1.243803e-23   2.830063e-23   8.038501e-23   2.471036e-22   5.594580e-22   7.663382e-22   0.000000e+00
         6.0000   6.065539e-24   1.194381e-23   2.697785e-23   7.754846e-23   2.386756e-22   5.357750e-22   7.327788e-22   0.000000e+00
         6.0500   5.880325e-24   1.144608e-23   2.568517e-23   7.479382e-23   2.304325e-22   5.134008e-22   7.010856e-22   0.000000e+00
         6.1000   5.676062e-24   1.094634e-23   2.442022e-23   7.212092e-23   2.223716e-22   4.922506e-22   6.711326e-22   0.000000e+00
         6.1500   5.455703e-24   1.044612e-23   2.318450e-23   6.952375e-23   2.144998e-22   4.719627e-22   6.428021e-22   0.000000e+00
         6.2000   5.222345e-24   9.947074e-24   2.198091e-23   6.699398e-23   2.068128e-22   4.530574e-22   6.159869e-22   0.000000e+00
         6.2500   4.979112e-24   9.451141e-24   2.081162e-23   6.451257e-23   1.992981e-22   4.351552e-22   5.905797e-22   0.000000e+00
         6.3000   4.729034e-24   8.960280e-24   1.967661e-23   6.206097e-23   1.919361e-22   4.181773e-22   5.664784e-22   0.000000e+00
         6.3500   4.474999e-24   8.476363e-24   1.857541e-23   5.963768e-23   1.846962e-22   4.020354e-22   5.435889e-22   0.000000e+00
         6.4000   4.219729e-24   8.001132e-24   1.750784e-23   5.725869e-23   1.775499e-22   3.866473e-22   5.218125e-22   0.000000e+00
         6.4500   3.965694e-24   7.536214e-24   1.647478e-23   5.493809e-23   1.704985e-22   3.719588e-22   5.010460e-22   0.000000e+00
         6.5000   3.715046e-24   7.083060e-24   1.547735e-23   5.267474e-23   1.635659e-22   3.579209e-22   4.812041e-22   0.000000e+00
