# CIE bound-bound cooling efficiency for He (Z=2)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_He0          L_He1          L_He2        
         8.0000   2.935281e-21   1.035879e-20   0.000000e+00
         8.0500   2.795460e-21   9.885101e-21   0.000000e+00
         8.1000   2.662045e-21   9.431127e-21   0.000000e+00
         8.1500   2.534764e-21   8.996277e-21   0.000000e+00
         8.2000   2.413357e-21   8.579945e-21   0.000000e+00
         8.2500   2.297569e-21   8.181516e-21   0.000000e+00
         8.3000   2.187156e-21   7.800371e-21   0.000000e+00
         8.3500   2.081884e-21   7.435891e-21   0.000000e+00
         8.4000   1.981526e-21   7.087464e-21   0.000000e+00
         8.4500   1.885865e-21   6.754483e-21   0.000000e+00
         8.5000   1.794692e-21   6.436352e-21   0.000000e+00
         8.5500   1.707806e-21   6.132488e-21   0.000000e+00
         8.6000   1.625015e-21   5.842319e-21   0.000000e+00
         8.6500   1.546134e-21   5.565290e-21   0.000000e+00
         8.7000   1.470985e-21   5.300860e-21   0.000000e+00
         8.7500   1.399400e-21   5.048505e-21   0.000000e+00
         8.8000   1.331216e-21   4.807716e-21   0.000000e+00
         8.8500   1.266277e-21   4.578001e-21   0.000000e+00
         8.9000   1.204433e-21   4.358887e-21   0.000000e+00
         8.9500   1.145544e-21   4.149915e-21   0.000000e+00
         9.0000   1.089471e-21   3.950643e-21   0.000000e+00
