# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         4.9000   2.694075e-20   1.895903e-19   1.929738e-19   1.964123e-19   2.010567e-19   2.668121e-19   2.867908e-21   3.784743e-21   2.681006e-23
         4.9500   3.005046e-20   2.330066e-19   2.351895e-19   2.437646e-19   2.497915e-19   3.064324e-19   2.715829e-21   3.583568e-21   2.839866e-23
         5.0000   3.325338e-20   2.832372e-19   2.839995e-19   2.966375e-19   3.033026e-19   3.450326e-19   2.572780e-21   3.394158e-21   3.008138e-23
         5.0500   3.650071e-20   3.399537e-19   3.394338e-19   3.546375e-19   3.605183e-19   3.817897e-19   2.439040e-21   3.215872e-21   3.186382e-23
         5.1000   3.974329e-20   4.024637e-19   4.013232e-19   4.173580e-19   4.202863e-19   4.160962e-19   2.310153e-21   3.048102e-21   3.375187e-23
         5.1500   4.293323e-20   4.697776e-19   4.692174e-19   4.843965e-19   4.815041e-19   4.475627e-19   2.192218e-21   2.890271e-21   3.575179e-23
         5.2000   4.602664e-20   5.406802e-19   5.424285e-19   5.553364e-19   5.432365e-19   4.760391e-19   2.076224e-21   2.741824e-21   3.787022e-23
         5.2500   4.898536e-20   6.138093e-19   6.199820e-19   6.297044e-19   6.047542e-19   5.016038e-19   1.970142e-21   2.602297e-21   4.011417e-23
         5.3000   5.177779e-20   6.877404e-19   7.006677e-19   7.069139e-19   6.655310e-19   5.245226e-19   1.871587e-21   2.471097e-21   4.258395e-23
         5.3500   5.437919e-20   7.610606e-19   7.831501e-19   7.862399e-19   7.252052e-19   5.451859e-19   1.779040e-21   2.347755e-21   4.526993e-23
         5.4000   5.677140e-20   8.324339e-19   8.660705e-19   8.668102e-19   7.835184e-19   5.640357e-19   1.694754e-21   2.231827e-21   4.813906e-23
         5.4500   5.894224e-20   9.007167e-19   9.481012e-19   9.476155e-19   8.402484e-19   5.815199e-19   1.616125e-21   2.122908e-21   5.120534e-23
         5.5000   6.088473e-20   9.649859e-19   1.027995e-18   1.027542e-18   8.951575e-19   5.980648e-19   1.540787e-21   2.020624e-21   5.448400e-23
         5.5500   6.259623e-20   1.024537e-18   1.104630e-18   1.105425e-18   9.479658e-19   6.140106e-19   1.470187e-21   1.924643e-21   5.799171e-23
         5.6000   6.407761e-20   1.078864e-18   1.177035e-18   1.180139e-18   9.983403e-19   6.295813e-19   1.402910e-21   1.834654e-21   6.174667e-23
