# CIE bound-bound cooling efficiency for Ar (Z=18)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ar0          L_Ar1          L_Ar2          L_Ar3          L_Ar4          L_Ar5          L_Ar6          L_Ar7          L_Ar8          L_Ar9          L_Ar10         L_Ar11         L_Ar12         L_Ar13         L_Ar14         L_Ar15         L_Ar16         L_Ar17         L_Ar18       
         3.9000   0.000000e+00   1.369232e-25   2.553908e-20   4.538653e-21   9.703987e-20   9.068313e-20   4.771098e-24   1.832599e-21   2.914991e-21   8.953273e-21   5.446539e-21   5.935725e-23   5.837476e-21   4.268068e-21   6.157276e-21   2.150211e-20   1.050219e-19   2.270662e-19   2.722707e-19
         3.9500   0.000000e+00   1.458896e-25   2.792229e-20   6.656781e-21   9.443993e-20   9.012744e-20   5.070953e-24   1.731868e-21   2.754290e-21   9.984891e-21   5.969418e-21   8.106283e-23   6.566537e-21   6.151506e-21   5.816253e-21   2.030430e-20   9.916646e-20   2.143707e-19   2.575649e-19
         4.0000   0.000000e+00   1.555051e-25   3.050737e-20   9.370481e-21   9.188366e-20   8.912813e-20   5.487006e-24   1.636886e-21   2.602714e-21   1.119185e-20   6.557048e-21   7.855906e-23   7.364868e-21   8.505612e-21   5.494509e-21   1.917378e-20   9.363973e-20   2.023898e-19   2.431689e-19
         4.0500   0.000000e+00   1.658233e-25   3.322227e-20   1.271768e-20   8.945254e-20   8.772722e-20   6.434816e-24   1.547422e-21   2.459762e-21   1.252024e-20   7.188319e-21   7.656409e-23   8.217384e-21   1.134756e-20   5.190976e-21   1.810682e-20   8.842336e-20   1.910748e-19   2.303280e-19
         4.1000   0.000000e+00   1.769029e-25   3.598893e-20   1.670885e-20   8.721643e-20   8.596558e-20   9.567265e-24   1.463693e-21   2.324957e-21   1.390560e-20   7.842604e-21   2.227629e-22   9.106350e-21   1.451941e-20   4.904649e-21   1.709987e-20   8.350006e-20   1.803983e-19   2.173223e-19
         4.1500   0.000000e+00   1.888077e-25   3.872831e-20   2.132636e-20   8.524708e-20   8.388769e-20   2.034861e-23   1.387888e-21   2.197853e-21   1.527908e-20   8.502601e-21   2.161041e-22   1.001394e-20   1.796710e-20   4.634578e-21   1.614960e-20   7.885352e-20   1.703150e-19   2.044578e-19
         4.2000   0.000000e+00   2.016074e-25   4.137149e-20   2.652692e-20   8.363256e-20   8.155208e-20   5.418073e-23   1.329334e-21   2.078026e-21   1.657355e-20   1.054353e-20   2.154390e-22   1.092625e-20   2.184639e-20   8.856526e-21   1.525286e-20   7.446832e-20   1.608221e-19   1.931412e-19
         4.2500   0.000000e+00   2.153783e-25   4.385996e-20   3.225147e-20   8.249532e-20   7.905044e-20   1.490825e-22   1.318475e-21   1.965079e-21   1.772887e-20   1.110899e-20   2.266360e-22   1.182764e-20   2.543997e-20   8.366114e-21   1.440668e-20   7.032993e-20   1.850706e-19   1.824857e-19
         4.3000   0.000000e+00   2.302032e-25   4.614585e-20   3.844654e-20   8.202652e-20   7.653823e-20   3.893680e-22   1.437533e-21   1.858636e-21   1.869576e-20   1.166900e-20   7.855039e-22   1.273841e-20   2.890546e-20   7.903433e-21   1.360825e-20   6.642462e-20   1.747311e-19   1.720429e-19
         4.3500   0.000000e+00   2.461720e-25   4.818823e-20   4.510601e-20   8.250620e-20   7.427848e-20   9.465015e-22   1.875106e-21   1.758343e-21   1.943815e-20   1.222912e-20   8.263297e-22   1.361251e-20   3.211110e-20   7.466964e-21   1.285497e-20   6.273945e-20   1.649665e-19   1.624403e-19
         4.4000   0.000000e+00   2.633825e-25   4.993873e-20   5.233005e-20   8.431182e-20   7.269897e-20   2.144440e-21   3.004567e-21   1.663864e-21   1.993415e-20   1.279655e-20   9.267502e-22   1.448391e-20   3.594735e-20   7.055319e-21   1.214450e-20   5.926220e-20   1.558440e-19   1.535464e-19
         4.4500   0.000000e+00   2.819405e-25   5.135499e-20   6.040662e-20   8.796072e-20   7.245980e-20   4.553376e-21   5.471710e-21   1.574885e-21   2.017570e-20   1.337694e-20   1.113031e-21   1.536787e-20   3.825320e-20   6.667344e-21   1.147520e-20   5.598132e-20   1.472695e-19   1.449816e-19
         4.5000   0.000000e+00   3.019602e-25   5.240789e-20   6.991216e-20   9.415809e-20   7.452418e-20   9.099439e-21   1.026146e-20   1.491126e-21   2.016740e-20   1.397147e-20   1.415460e-21   1.642428e-20   4.002494e-20   6.302375e-21   1.084740e-20   5.288595e-20   1.390507e-19   1.367206e-19
         4.5500   0.000000e+00   3.235639e-25   5.308246e-20   8.180208e-20   1.038355e-19   8.021772e-20   1.716433e-20   1.870725e-20   1.412335e-21   1.992469e-20   1.457503e-20   1.865866e-21   1.738632e-20   4.121969e-20   5.960775e-21   1.026643e-20   4.996580e-20   1.312821e-19   1.289994e-19
         4.6000   0.000000e+00   3.468828e-25   5.336534e-20   9.748135e-20   1.182444e-19   9.124049e-20   3.062836e-20   3.241512e-20   1.338214e-21   1.947161e-20   1.517575e-20   3.499077e-21   1.842378e-20   4.182088e-20   1.001643e-20   9.748816e-21   4.721118e-20   1.239531e-19   1.218127e-19
         4.6500   0.000000e+00   3.720550e-25   5.323192e-20   1.188227e-19   1.390199e-19   1.095754e-19   5.180354e-20   5.309972e-20   1.268515e-21   1.883858e-20   1.575606e-20   4.274242e-21   1.955489e-20   4.183823e-20   9.487703e-21   9.332275e-21   4.461296e-20   1.172902e-19   1.151905e-19
         4.7000   0.000000e+00   3.992255e-25   5.267716e-20   1.480603e-19   1.681432e-19   1.374367e-19   8.321252e-20   8.235850e-20   1.203005e-21   1.806005e-20   1.629528e-20   5.270929e-21   2.129375e-20   4.322992e-20   9.015846e-21   9.088742e-21   4.216249e-20   1.107614e-19   1.087795e-19
         4.7500   0.000000e+00   4.285421e-25   5.172189e-20   1.875676e-19   2.078153e-19   1.771353e-19   1.272526e-19   1.214307e-19   1.141464e-21   1.717240e-20   1.677366e-20   6.494737e-21   2.261488e-20   4.211132e-20   8.621789e-21   9.136953e-21   3.985165e-20   1.047575e-19   1.027288e-19
