# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         4.5500   4.253355e-22   6.845139e-22   1.439329e-20   2.941966e-20   3.216010e-20   1.375364e-20   3.366647e-21   1.006631e-20  2.557146e-147  7.476527e-164   0.000000e+00
         4.6000   7.847031e-22   8.050188e-22   1.594106e-20   3.468845e-20   3.555596e-20   1.618577e-20   5.748267e-21   1.682049e-20  2.406080e-133  4.289821e-148   0.000000e+00
         4.6500   1.358456e-21   1.104350e-21   1.794654e-20   4.071182e-20   3.992853e-20   2.003531e-20   9.450182e-21   2.642326e-20  6.818705e-121  4.729789e-134   0.000000e+00
         4.7000   2.223313e-21   1.737339e-21   2.070660e-20   4.780507e-20   4.569993e-20   2.579357e-20   1.504250e-20   3.928739e-20  8.508483e-110  1.540156e-121   0.000000e+00
         4.7500   3.462117e-21   2.941916e-21   2.460475e-20   5.634433e-20   5.337112e-20   3.402616e-20   2.324279e-20   5.562401e-20  6.561886e-100  2.172544e-110   0.000000e+00
         4.8000   5.155835e-21   5.052725e-21   3.009912e-20   6.671398e-20   6.346575e-20   4.533141e-20   3.482463e-20   7.539715e-20   4.232512e-91  1.867772e-100   0.000000e+00
         4.8500   7.373677e-21   8.501419e-21   3.769897e-20   7.924347e-20   7.647172e-20   6.028121e-20   5.052681e-20   9.831523e-20   2.991289e-83   1.326719e-91   0.000000e+00
         4.9000   1.017411e-20   1.379738e-20   4.792112e-20   9.414072e-20   9.278200e-20   7.935342e-20   7.094164e-20   1.238584e-19   2.949221e-76   1.021204e-83   0.000000e+00
         4.9500   1.362888e-20   2.147854e-20   6.127983e-20   1.114556e-19   1.126514e-19   1.028508e-19   9.640787e-20   1.513334e-19   5.034874e-70   1.084667e-76   0.000000e+00
         5.0000   1.779757e-20   3.200340e-20   7.826547e-20   1.310677e-19   1.361856e-19   1.308419e-19   1.269366e-19   1.799430e-19   1.801745e-64   1.971919e-70   0.000000e+00
         5.0500   2.270919e-20   4.570541e-20   9.930483e-20   1.526936e-19   1.633693e-19   1.631440e-19   1.621879e-19   2.088591e-19   1.601152e-59   7.434903e-65   0.000000e+00
         5.1000   2.835802e-20   6.289846e-20   1.247171e-19   1.759164e-19   1.941309e-19   1.993473e-19   2.014998e-19   2.372879e-19   4.109984e-55   6.898794e-60   0.000000e+00
         5.1500   3.468816e-20   8.380856e-20   1.546798e-19   2.002279e-19   2.284041e-19   2.388814e-19   2.439596e-19   2.645222e-19   3.487043e-51   1.834932e-55   0.000000e+00
         5.2000   4.158902e-20   1.084999e-19   1.892018e-19   2.250765e-19   2.661344e-19   2.811130e-19   2.885089e-19   2.899796e-19   1.102834e-47   1.602694e-51   0.000000e+00
         5.2500   4.890175e-20   1.368313e-19   2.280957e-19   2.499147e-19   3.073512e-19   3.254516e-19   3.340661e-19   3.132268e-19   1.447376e-44   5.188964e-48   0.000000e+00
         5.3000   5.643262e-20   1.684319e-19   2.709700e-19   2.742336e-19   3.521845e-19   3.714328e-19   3.796468e-19   3.339944e-19   8.672768e-42   6.937532e-45   0.000000e+00
         5.3500   6.410044e-20   2.026505e-19   3.172460e-19   2.975791e-19   4.008219e-19   4.187491e-19   4.244645e-19   3.521836e-19   2.583567e-39   4.217163e-42   0.000000e+00
         5.4000   7.227148e-20   2.384358e-19   3.661931e-19   3.195679e-19   4.534229e-19   4.672543e-19   4.679962e-19   3.678657e-19   4.128129e-37   1.269937e-39   0.000000e+00
         5.4500   8.119295e-20   2.746136e-19   4.169781e-19   3.399041e-19   5.100171e-19   5.169185e-19   5.099658e-19   3.812679e-19   3.785967e-35   2.045038e-37   0.000000e+00
         5.5000   9.086096e-20   3.100480e-19   4.687196e-19   3.583664e-19   5.704359e-19   5.677442e-19   5.502624e-19   3.927444e-19   2.116983e-33   1.885340e-35   0.000000e+00
         5.5500   1.010848e-19   3.437173e-19   5.205415e-19   3.748056e-19   6.342658e-19   6.196714e-19   5.889378e-19   4.027346e-19   7.616249e-32   1.057442e-33   0.000000e+00
         5.6000   1.115588e-19   3.747652e-19   5.716275e-19   3.891522e-19   7.008326e-19   6.725295e-19   6.261409e-19   4.117142e-19   1.849450e-30   3.809454e-32   0.000000e+00
         5.6500   1.219613e-19   4.025269e-19   6.212599e-19   4.014005e-19   7.692240e-19   7.261596e-19   6.620362e-19   4.201406e-19   3.163128e-29   9.251958e-31   0.000000e+00
         5.7000   1.320831e-19   4.265360e-19   6.688411e-19   4.115935e-19   8.383439e-19   7.803135e-19   6.967296e-19   4.284152e-19   3.958484e-28   1.581733e-29   0.000000e+00
         5.7500   1.416939e-19   4.465156e-19   7.139046e-19   4.198112e-19   9.070213e-19   8.345991e-19   7.302676e-19   4.368523e-19   3.750549e-27   1.978351e-28   0.000000e+00
         5.8000   1.505465e-19   4.623592e-19   7.561091e-19   4.261769e-19   9.742004e-19   8.885077e-19   7.626865e-19   4.456494e-19   2.773495e-26   1.873585e-27   0.000000e+00
         5.8500   1.584191e-19   4.741047e-19   7.952238e-19   4.308440e-19   1.038930e-18   9.414531e-19   7.939131e-19   4.548853e-19   1.644775e-25   1.385296e-26   0.000000e+00
         5.9000   1.650812e-19   4.819062e-19   8.311131e-19   4.339774e-19   1.100369e-18   9.925315e-19   8.237615e-19   4.645320e-19   8.013737e-25   8.217539e-26   0.000000e+00
         5.9500   1.702591e-19   4.860060e-19   8.637162e-19   4.357430e-19   1.157811e-18   1.039151e-18   8.519598e-19   4.744789e-19   3.277782e-24   4.006638e-25   0.000000e+00
         6.0000   1.738384e-19   4.867081e-19   8.930374e-19   4.363013e-19   1.210684e-18   1.078367e-18   8.781838e-19   4.845504e-19   1.147310e-23   1.640518e-24   0.000000e+00
         6.0500   1.758406e-19   4.843550e-19   9.191324e-19   4.358013e-19   1.258556e-18   1.107778e-18   9.021101e-19   4.945098e-19   3.495922e-23   5.749211e-24   0.000000e+00
         6.1000   1.763714e-19   4.793079e-19   9.420820e-19   4.343773e-19   1.301128e-18   1.125673e-18   9.234822e-19   5.041451e-19   9.415719e-23   1.753810e-23   0.000000e+00
         6.1500   1.755835e-19   4.719313e-19   9.619797e-19   4.321476e-19   1.338209e-18   1.131094e-18   9.420986e-19   5.133395e-19   2.272468e-22   4.727085e-23   0.000000e+00
         6.2000   1.736509e-19   4.625807e-19   9.789253e-19   4.292140e-19   1.369678e-18   1.123827e-18   9.578087e-19   5.220337e-19   4.975344e-22   1.140776e-22   0.000000e+00
         6.2500   1.707519e-19   4.515935e-19   9.930202e-19   4.256628e-19   1.395530e-18   1.104319e-18   9.705114e-19   5.301632e-19   9.990452e-22   2.494167e-22   0.000000e+00
