# CIE bound-bound cooling efficiency for C (Z=6)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_C0           L_C1           L_C2           L_C3           L_C4           L_C5           L_C6         
         5.4000   5.052563e-24   1.444265e-23   4.467361e-23   1.622032e-22   4.818714e-22   7.161069e-22   0.000000e+00
         5.4500   5.040707e-24   1.394208e-23   4.314444e-23   1.565972e-22   4.589957e-22   6.814419e-22   0.000000e+00
         5.5000   5.013536e-24   1.345024e-23   4.167784e-23   1.512448e-22   4.380071e-22   6.488188e-22   0.000000e+00
         5.5500   4.970373e-24   1.296608e-23   4.027489e-23   1.461133e-22   4.172047e-22   6.181127e-22   0.000000e+00
         5.6000   4.910946e-24   1.248848e-23   3.893488e-23   1.411800e-22   3.982250e-22   5.892040e-22   0.000000e+00
         5.6500   4.835288e-24   1.201636e-23   3.764592e-23   1.364353e-22   3.802768e-22   5.619797e-22   0.000000e+00
         5.7000   4.743679e-24   1.154861e-23   3.639268e-23   1.318725e-22   3.633988e-22   5.363318e-22   0.000000e+00
         5.7500   4.636705e-24   1.108392e-23   3.516757e-23   1.274686e-22   3.476820e-22   5.121553e-22   0.000000e+00
         5.8000   4.515270e-24   1.062138e-23   3.397376e-23   1.231905e-22   3.322900e-22   4.893548e-22   0.000000e+00
         5.8500   4.380575e-24   1.016120e-23   3.281496e-23   1.190096e-22   3.182238e-22   4.678405e-22   0.000000e+00
         5.9000   4.234048e-24   9.704484e-24   3.169029e-23   1.149202e-22   3.049459e-22   4.475271e-22   0.000000e+00
         5.9500   4.077284e-24   9.252438e-24   3.059705e-23   1.109248e-22   2.923986e-22   4.283337e-22   0.000000e+00
         6.0000   3.911990e-24   8.805710e-24   2.953133e-23   1.070243e-22   2.805367e-22   4.101845e-22   0.000000e+00
         6.0500   3.739945e-24   8.364774e-24   2.848467e-23   1.032125e-22   2.693189e-22   3.930101e-22   0.000000e+00
         6.1000   3.562944e-24   7.930222e-24   2.744891e-23   9.948204e-23   2.585541e-22   3.767435e-22   0.000000e+00
         6.1500   3.382712e-24   7.502993e-24   2.642443e-23   9.581793e-23   2.485012e-22   3.613186e-22   0.000000e+00
         6.2000   3.200885e-24   7.084217e-24   2.541854e-23   9.220487e-23   2.389506e-22   3.466751e-22   0.000000e+00
         6.2500   3.019010e-24   6.675018e-24   2.443705e-23   8.863474e-23   2.298525e-22   3.327527e-22   0.000000e+00
         6.3000   2.838536e-24   6.276472e-24   2.347845e-23   8.511752e-23   2.211735e-22   3.194863e-22   0.000000e+00
         6.3500   2.660754e-24   5.889593e-24   2.253834e-23   8.166636e-23   2.128845e-22   3.068168e-22   0.000000e+00
         6.4000   2.486759e-24   5.515279e-24   2.161336e-23   7.828638e-23   2.049356e-22   2.947021e-22   0.000000e+00
         6.4500   2.317461e-24   5.154108e-24   2.070342e-23   7.497227e-23   1.972779e-22   2.831016e-22   0.000000e+00
         6.5000   2.153604e-24   4.806429e-24   1.981000e-23   7.171897e-23   1.898914e-22   2.719557e-22   0.000000e+00
         6.5500   1.995785e-24   4.472595e-24   1.893447e-23   6.852550e-23   1.827742e-22   2.612118e-22   0.000000e+00
         6.6000   1.844467e-24   4.153151e-24   1.807780e-23   6.539570e-23   1.759247e-22   2.508450e-22   0.000000e+00
         6.6500   1.699981e-24   3.848590e-24   1.724117e-23   6.233354e-23   1.693038e-22   2.408477e-22   0.000000e+00
         6.7000   1.562552e-24   3.559162e-24   1.642584e-23   5.934272e-23   1.628501e-22   2.312097e-22   0.000000e+00
         6.7500   1.432303e-24   3.284821e-24   1.563127e-23   5.642729e-23   1.565460e-22   2.218835e-22   0.000000e+00
         6.8000   1.309283e-24   3.025395e-24   1.485548e-23   5.359146e-23   1.504104e-22   2.128069e-22   0.000000e+00
         6.8500   1.193476e-24   2.780669e-24   1.409756e-23   5.083684e-23   1.444471e-22   2.039644e-22   0.000000e+00
         6.9000   1.084814e-24   2.550432e-24   1.335986e-23   4.816172e-23   1.386307e-22   1.953691e-22   0.000000e+00
         6.9500   9.831874e-25   2.334420e-24   1.264525e-23   4.556394e-23   1.329473e-22   1.870183e-22   0.000000e+00
         7.0000   8.884518e-25   2.132297e-24   1.195516e-23   4.304641e-23   1.274038e-22   1.788879e-22   0.000000e+00
         7.0500   8.004329e-25   1.943659e-24   1.128898e-23   4.061460e-23   1.219820e-22   1.709686e-22   0.000000e+00
         7.1000   7.189319e-25   1.768049e-24   1.064591e-23   3.827321e-23   1.166469e-22   1.632664e-22   0.000000e+00
         7.1500   6.437283e-25   1.604978e-24   1.002568e-23   3.602236e-23   1.114057e-22   1.557576e-22   0.000000e+00
         7.2000   5.745830e-25   1.453934e-24   9.428779e-24   3.386046e-23   1.062908e-22   1.484104e-22   0.000000e+00
         7.2500   5.112405e-25   1.314389e-24   8.855653e-24   3.178606e-23   1.013156e-22   1.412360e-22   0.000000e+00
         7.3000   4.534310e-25   1.185802e-24   8.306539e-24   2.979904e-23   9.646840e-23   1.342638e-22   0.000000e+00
         7.3500   4.008727e-25   1.067622e-24   7.781341e-24   2.789955e-23   9.173842e-23   1.275034e-22   0.000000e+00
         7.4000   3.532740e-25   9.592857e-25   7.279810e-24   2.608731e-23   8.712666e-23   1.209447e-22   0.000000e+00
         7.4500   3.103361e-25   8.602298e-25   6.801667e-24   2.436146e-23   8.264016e-23   1.145797e-22   0.000000e+00
         7.5000   2.717560e-25   7.698914e-25   6.346589e-24   2.272064e-23   7.828496e-23   1.084098e-22   0.000000e+00
         7.5500   2.372292e-25   6.877128e-25   5.914255e-24   2.116328e-23   7.406414e-23   1.024401e-22   0.000000e+00
         7.6000   2.064526e-25   6.131467e-25   5.504309e-24   1.968760e-23   6.997845e-23   9.667485e-23   0.000000e+00
         7.6500   1.791271e-25   5.456589e-25   5.116311e-24   1.829170e-23   6.602961e-23   9.111591e-23   0.000000e+00
         7.7000   1.549608e-25   4.847294e-25   4.749731e-24   1.697361e-23   6.222427e-23   8.576334e-23   0.000000e+00
         7.7500   1.336707e-25   4.298564e-25   4.403982e-24   1.573123e-23   5.856513e-23   8.061845e-23   0.000000e+00
         7.8000   1.149856e-25   3.805578e-25   4.078422e-24   1.456221e-23   5.504292e-23   7.568667e-23   0.000000e+00
