# CIE bound-bound cooling efficiency for Ca (Z=20)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ca0          L_Ca1          L_Ca2          L_Ca3          L_Ca4          L_Ca5          L_Ca6          L_Ca7          L_Ca8          L_Ca9          L_Ca10         L_Ca11         L_Ca12         L_Ca13         L_Ca14         L_Ca15         L_Ca16         L_Ca17         L_Ca18         L_Ca19         L_Ca20       
         3.8000   0.000000e+00   8.551089e-20   0.000000e+00   0.000000e+00   1.919224e-20   5.316227e-22   9.956092e-21   1.160556e-19   4.090156e-33   4.084281e-35  2.442452e-295   1.515171e-23   1.405996e-22   5.171959e-30   1.204304e-21   1.008910e-23   3.322100e-46   1.565551e-47   0.000000e+00   0.000000e+00   0.000000e+00
         3.8500   0.000000e+00   1.191519e-19   0.000000e+00   0.000000e+00   2.039881e-20   9.993136e-22   1.031661e-20   1.216248e-19   1.416995e-31   3.040287e-33  3.617674e-265   3.038818e-23   2.457046e-22   6.959297e-29   1.765151e-21   2.370763e-23   2.137398e-43   1.966144e-44   0.000000e+00   0.000000e+00   0.000000e+00
         3.9000   0.000000e+00   1.614634e-19   0.000000e+00   0.000000e+00   2.180453e-20   1.753883e-21   1.062603e-20   1.259564e-19   3.327553e-30   1.411980e-31  2.797249e-238   5.625258e-23   4.018899e-22   7.042703e-28   2.472562e-21   5.052364e-23   6.812454e-41   1.129946e-41   0.000000e+00   0.000000e+00   0.000000e+00
         3.9500   0.000000e+00   2.133895e-19   0.000000e+00   0.000000e+00   2.344751e-20   2.897165e-21   1.089118e-20   1.290617e-19   5.526955e-29   4.304081e-30  2.568129e-214   9.696905e-23   6.196547e-22   5.525986e-27   3.327955e-21   9.871118e-23   1.163939e-38   3.236890e-39   0.000000e+00   0.000000e+00   0.000000e+00
         4.0000   0.000000e+00   2.756462e-19   0.000000e+00   0.000000e+00   2.535208e-20   4.534915e-21   1.111829e-20   1.309880e-19   6.746586e-28   9.010321e-29  5.823350e-193   1.568987e-22   9.063751e-22   3.454318e-26   4.324380e-21   1.785243e-22   1.142807e-36   4.989314e-37   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   0.000000e+00   3.486721e-19   0.000000e+00   0.000000e+00   2.752859e-20   6.764965e-21   1.131224e-20   1.318091e-19   6.266383e-27   1.348893e-27  6.264841e-174   2.399789e-22   1.264964e-21   1.762400e-25   5.447094e-21   3.014645e-22   6.857729e-35   4.431344e-35   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   0.000000e+00   4.326262e-19   0.000000e+00   0.000000e+00   2.997584e-20   9.663508e-21   1.147617e-20   1.316180e-19   4.572690e-26   1.497215e-26  5.721616e-157   3.491688e-22   1.693299e-21   7.499142e-25   6.674776e-21   4.790007e-22   2.656195e-33   2.411263e-33   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   0.000000e+00   5.273853e-19   0.000000e+00   0.000000e+00   3.268258e-20   1.327156e-20   1.161157e-20   1.305196e-19   2.701042e-25   1.272550e-25  7.450944e-142   4.860172e-22   2.184587e-21   2.713038e-24   7.981290e-21   7.211049e-22   6.969162e-32   8.491665e-32   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   0.000000e+00   6.325644e-19   0.000000e+00   0.000000e+00   3.562576e-20   1.758407e-20   1.171881e-20   1.286260e-19   1.328523e-24   8.524395e-25  2.196331e-128   6.504332e-22   2.728603e-21   8.490194e-24   9.338008e-21   1.034932e-21   1.292491e-30   2.032511e-30   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   0.000000e+00   7.475535e-19   0.000000e+00   0.000000e+00   3.876951e-20   2.254413e-20   1.179823e-20   1.260541e-19   5.587295e-24   4.617677e-24  2.212270e-116   8.406831e-22   3.313502e-21   2.333897e-23   1.071667e-20   1.423923e-21   1.758951e-29   3.453331e-29   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   0.000000e+00   8.715460e-19   0.000000e+00   0.000000e+00   4.206278e-20   2.804373e-20   1.185254e-20   1.229286e-19   2.057845e-23   2.069805e-23  1.099030e-105   1.053590e-21   3.927786e-21   5.713768e-23   1.209257e-20   1.887500e-21   1.815288e-28   4.327904e-28   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   0.000000e+00   1.003548e-18   0.000000e+00   0.000000e+00   4.542768e-20   3.393128e-20   1.189153e-20   1.193904e-19   6.770868e-23   7.835829e-23   3.734408e-96   1.284873e-21   4.561959e-21   1.261175e-22   1.344770e-20   2.421337e-21   1.462489e-27   4.138036e-27   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   0.000000e+00   1.142368e-18   0.000000e+00   0.000000e+00   4.875564e-20   4.002464e-20   1.194126e-20   1.156159e-19   2.019670e-22   2.551745e-22   1.161472e-87   1.529555e-21   5.209552e-21   2.537448e-22   1.477301e-20   3.018132e-21   9.437415e-27   3.108888e-26   0.000000e+00   0.000000e+00   0.000000e+00
