# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         4.9000   2.693802e-20   1.895692e-19   1.929146e-19   1.962179e-19   2.006441e-19   2.660832e-19   2.401054e-54   2.345220e-60   0.000000e+00
         4.9500   3.004754e-20   2.329857e-19   2.351325e-19   2.435792e-19   2.493974e-19   3.057376e-19   1.706971e-50   7.181199e-56   0.000000e+00
         5.0000   3.324991e-20   2.832166e-19   2.839446e-19   2.964606e-19   3.029259e-19   3.443699e-19   4.608050e-47   7.110265e-52   0.000000e+00
         5.0500   3.649702e-20   3.399334e-19   3.393808e-19   3.544684e-19   3.601578e-19   3.811570e-19   5.249914e-44   2.573902e-48   0.000000e+00
         5.1000   3.973936e-20   4.024436e-19   4.012601e-19   4.171964e-19   4.199409e-19   4.154915e-19   2.772730e-41   3.800647e-45   0.000000e+00
         5.1500   4.292904e-20   4.697577e-19   4.691565e-19   4.842418e-19   4.811728e-19   4.469843e-19   7.381049e-39   2.523807e-42   0.000000e+00
         5.2000   4.602219e-20   5.406605e-19   5.423698e-19   5.551881e-19   5.429184e-19   4.754851e-19   1.067029e-36   8.221613e-40   0.000000e+00
         5.2500   4.898063e-20   6.137897e-19   6.199254e-19   6.295622e-19   6.044483e-19   5.010727e-19   8.952731e-35   1.419807e-37   0.000000e+00
         5.3000   5.177277e-20   6.877210e-19   7.006129e-19   7.067774e-19   6.652366e-19   5.240128e-19   4.625747e-33   1.392812e-35   0.000000e+00
         5.3500   5.437388e-20   7.610413e-19   7.830970e-19   7.861086e-19   7.249215e-19   5.446960e-19   1.551540e-31   8.255050e-34   0.000000e+00
         5.4000   5.676580e-20   8.324147e-19   8.660191e-19   8.666839e-19   7.832445e-19   5.635642e-19   3.540595e-30   3.123171e-32   0.000000e+00
         5.4500   5.893636e-20   9.006977e-19   9.480514e-19   9.474938e-19   8.399838e-19   5.810656e-19   5.731490e-29   7.921988e-31   0.000000e+00
         5.5000   6.087858e-20   9.649670e-19   1.027947e-18   1.027425e-18   8.949014e-19   5.976265e-19   6.832513e-28   1.407525e-29   0.000000e+00
         5.5500   6.258983e-20   1.024516e-18   1.104582e-18   1.105311e-18   9.477176e-19   6.135871e-19   6.201874e-27   1.821519e-28   0.000000e+00
         5.6000   6.407098e-20   1.078843e-18   1.176989e-18   1.180030e-18   9.980994e-19   6.291714e-19   4.416096e-26   1.777886e-27   0.000000e+00
         5.6500   6.532567e-20   1.127595e-18   1.244373e-18   1.250570e-18   1.045664e-18   6.444820e-19   2.533190e-25   1.350061e-26   0.000000e+00
         5.7000   6.635964e-20   1.170465e-18   1.306109e-18   1.316075e-18   1.089998e-18   6.594982e-19   1.198659e-24   8.199409e-26   0.000000e+00
         5.7500   6.718024e-20   1.207320e-18   1.361688e-18   1.375855e-18   1.130706e-18   6.740558e-19   4.778482e-24   4.081827e-25   0.000000e+00
         5.8000   6.779598e-20   1.238201e-18   1.410806e-18   1.429401e-18   1.167526e-18   6.878585e-19   1.635376e-23   1.702282e-24   0.000000e+00
         5.8500   6.821625e-20   1.263279e-18   1.453353e-18   1.476371e-18   1.200264e-18   7.006132e-19   4.886037e-23   6.063225e-24   0.000000e+00
         5.9000   6.845100e-20   1.282814e-18   1.489373e-18   1.516585e-18   1.228773e-18   7.121862e-19   1.293643e-22   1.876353e-23   0.000000e+00
         5.9500   6.851062e-20   1.297140e-18   1.519029e-18   1.550037e-18   1.252954e-18   7.225913e-19   3.076230e-22   5.122414e-23   0.000000e+00
         6.0000   6.840575e-20   1.306676e-18   1.542549e-18   1.576965e-18   1.272756e-18   7.318399e-19   6.649104e-22   1.250450e-22   0.000000e+00
         6.0500   6.814719e-20   1.311839e-18   1.560141e-18   1.597701e-18   1.288173e-18   7.399122e-19   1.320222e-21   2.762705e-22   0.000000e+00
         6.1000   6.774580e-20   1.313016e-18   1.572079e-18   1.612595e-18   1.299249e-18   7.467892e-19   2.430826e-21   5.584150e-22   0.000000e+00
         6.1500   6.721239e-20   1.310565e-18   1.578694e-18   1.622004e-18   1.306097e-18   7.524629e-19   4.185266e-21   1.042607e-21   0.000000e+00
