# CIE bound-bound cooling efficiency for S (Z=16)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_S0           L_S1           L_S2           L_S3           L_S4           L_S5           L_S6           L_S7           L_S8           L_S9           L_S10          L_S11          L_S12          L_S13          L_S14          L_S15          L_S16        
         4.0000   2.846717e-21   5.447510e-20   5.313637e-20   6.128539e-20   1.752942e-22   4.795119e-22   8.596573e-22   3.130313e-21   5.907731e-21   6.062093e-22   1.521149e-20   3.252274e-21   3.133624e-21   2.301447e-20   5.350582e-20   1.232368e-19   1.513099e-19
         4.0500   3.425385e-21   6.578378e-20   5.673157e-20   5.866290e-20   1.955750e-22   4.627799e-22   8.130168e-22   3.266962e-21   5.988002e-21   5.757573e-22   1.644674e-20   3.651858e-21   6.027919e-21   2.173465e-20   5.052937e-20   1.163502e-19   1.430572e-19
         4.1000   4.094629e-21   7.745501e-20   6.057245e-20   5.618918e-20   2.714628e-22   4.741547e-22   7.690667e-22   3.396498e-21   6.062610e-21   5.506017e-22   1.760611e-20   4.277086e-21   5.693864e-21   2.052686e-20   4.772038e-20   1.098486e-19   1.347747e-19
         4.1500   4.832941e-21   8.940339e-20   6.470992e-20   5.406114e-20   4.827092e-22   5.708558e-22   7.276606e-22   3.515474e-21   6.137531e-21   8.681694e-22   1.867978e-20   4.765430e-21   5.378680e-21   1.938710e-20   4.506955e-20   1.037269e-19   1.273898e-19
         4.2000   5.610807e-21   1.017620e-19   6.928080e-20   5.259853e-20   9.951469e-22   8.949787e-22   6.886605e-22   3.621418e-21   6.222537e-21   8.516651e-22   1.967331e-20   5.300980e-21   5.081325e-21   1.831160e-20   4.256809e-20   9.792479e-20   1.202778e-19
         4.2500   6.393369e-21   1.146565e-19   7.456146e-20   5.228054e-20   2.131551e-21   1.749166e-21   6.519360e-22   3.712772e-21   6.330170e-21   8.665825e-22   2.061546e-20   5.882673e-21   4.800820e-21   1.729679e-20   4.020770e-20   9.247075e-20   1.135647e-19
         4.3000   7.143779e-21   1.281460e-19   8.103041e-20   5.379849e-20   4.444496e-21   3.693588e-21   6.173786e-22   3.788780e-21   6.474243e-21   9.313982e-22   2.150165e-20   7.136821e-21   4.536268e-21   1.633938e-20   3.902337e-20   8.731496e-20   1.070891e-19
         4.3500   7.853977e-21   1.428538e-19   8.943968e-20   5.809171e-20   8.854580e-21   7.638833e-21   5.848735e-22   3.849344e-21   6.668197e-21   1.070035e-21   2.237486e-20   7.775069e-21   4.286934e-21   1.543649e-20   3.686378e-20   8.249987e-20   1.010368e-19
         4.4000   8.623089e-21   1.608754e-19   1.008751e-19   6.639487e-20   1.671590e-20   1.489509e-20   5.543020e-22   3.894873e-21   6.923711e-21   1.984331e-21   2.335122e-20   8.461591e-21   4.052467e-21   1.458633e-20   3.482633e-20   9.510407e-20   9.540325e-20
         4.4500   9.558581e-21   1.846888e-19   1.167841e-19   8.028965e-20   2.984031e-20   2.713913e-20   5.255618e-22   3.926133e-21   7.249863e-21   2.317999e-21   2.427784e-20   9.197448e-21   6.828188e-21   1.379018e-20   3.290427e-20   8.975815e-20   9.021235e-20
         4.5000   1.073621e-20   2.160802e-19   1.389364e-19   1.017590e-19   5.046568e-20   4.627986e-20   4.985567e-22   3.944110e-21   7.652969e-21   2.811220e-21   2.526603e-20   9.984729e-21   6.459693e-21   1.305687e-20   3.109122e-20   8.477952e-20   8.518670e-20
         4.5500   1.213685e-20   2.568881e-19   1.693343e-19   1.332258e-19   8.110955e-20   7.423494e-20   4.731961e-22   3.949895e-21   8.136996e-21   3.484516e-21   2.632611e-20   1.209553e-20   6.124584e-21   1.241138e-20   2.938115e-20   8.005113e-20   8.062727e-20
         4.6000   1.351498e-20   3.089471e-19   2.100331e-19   1.775388e-19   1.243291e-19   1.126611e-19   4.493944e-22   3.944594e-21   8.704280e-21   4.349430e-21   2.776870e-20   1.292983e-20   5.834476e-21   1.190788e-20   2.776839e-20   7.575345e-20   7.615120e-20
         4.6500   1.466050e-20   3.737857e-19   2.628876e-19   2.378551e-19   1.824433e-19   1.627124e-19   4.270715e-22   3.929273e-21   9.355247e-21   5.407651e-21   2.894360e-20   1.384205e-20   5.610595e-21   1.164548e-20   2.624758e-20   7.149725e-20   7.176322e-20
         4.7000   1.550504e-20   4.524130e-19   3.292521e-19   3.173767e-19   2.572758e-19   2.248667e-19   4.061516e-22   3.905022e-21   1.008260e-20   6.653782e-21   3.015697e-20   1.485116e-20   5.489377e-21   1.178164e-20   2.481366e-20   6.759747e-20   6.779988e-20
         4.7500   1.609323e-20   5.451834e-19   4.097862e-19   4.189403e-19   3.499391e-19   2.988473e-19   3.865637e-22   3.873288e-21   1.087399e-20   8.083449e-21   3.137746e-20   1.598800e-20   5.531735e-21   1.253652e-20   2.346186e-20   6.390355e-20   6.406618e-20
         4.8000   1.667531e-20   6.517525e-19   5.043053e-19   5.445271e-19   4.605852e-19   3.836462e-19   3.682409e-22   3.836904e-21   1.171770e-20   1.036578e-20   3.257198e-20   1.730197e-20   5.837402e-21   1.418233e-20   2.218767e-20   6.035368e-20   6.041922e-20
         4.8500   1.737115e-20   7.711041e-19   6.117105e-19   6.948034e-19   5.884050e-19   4.776335e-19   3.511204e-22   3.802269e-21   1.261017e-20   1.219312e-20   3.376666e-20   1.886910e-20   6.563434e-21   1.701554e-20   2.098685e-20   5.708785e-20   5.706914e-20
         4.9000   1.800526e-20   9.016545e-19   7.300033e-19   8.688070e-19   7.317418e-19   5.787426e-19   3.351432e-22   3.783317e-21   1.356757e-20   1.436097e-20   3.570444e-20   2.080744e-20   7.941664e-21   2.131607e-20   1.985538e-20   5.382546e-20   5.390791e-20
         4.9500   1.842680e-20   1.041378e-18   8.564941e-19   1.063833e-18   8.882639e-19   6.847079e-19   3.202546e-22   3.807318e-21   1.464111e-20   1.703365e-20   3.740370e-20   2.457574e-20   1.028575e-20   2.730181e-20   1.878949e-20   5.086492e-20   5.092499e-20
         5.0000   1.856642e-20   1.187955e-18   9.880565e-19   1.275597e-18   1.055175e-18   7.932516e-19   3.064102e-22   3.921250e-21   1.594178e-20   2.043863e-20   3.981889e-20   2.794011e-20   1.398167e-20   3.508954e-20   1.778559e-20   4.817786e-20   4.806702e-20
         5.0500   1.842144e-20   1.338926e-18   1.121403e-18   1.498621e-18   1.229424e-18   9.022292e-19   2.936147e-22   4.196625e-21   1.763877e-20   2.484626e-20   4.334602e-20   3.258634e-20   1.945848e-20   4.467027e-20   1.684032e-20   4.552806e-20   4.538945e-20
         5.1000   1.805278e-20   1.494897e-18   1.253390e-18   1.726751e-18   1.407889e-18   1.009726e-18   2.821263e-22   4.730000e-21   1.994411e-20   3.053250e-20   4.841361e-20   3.892453e-20   2.713563e-20   5.590155e-20   1.595048e-20   4.312434e-20   4.288861e-20
         5.1500   1.752251e-20   1.651993e-18   1.381232e-18   1.953710e-18   1.587482e-18   1.114097e-18   2.732904e-22   5.637252e-21   2.309000e-20   3.773238e-20   5.538167e-20   4.736542e-20   3.829862e-20   6.852019e-20   1.511307e-20   4.074204e-20   4.053005e-20
         5.2000   1.688075e-20   1.807682e-18   1.502614e-18   2.173594e-18   1.765152e-18   1.213953e-18   2.722613e-22   7.041829e-21   2.729919e-20   4.659459e-20   6.445922e-20   5.827031e-20   5.124112e-20   8.216979e-20   1.432542e-20   3.851131e-20   3.830570e-20
         5.2500   1.616725e-20   1.959660e-18   1.615811e-18   2.381268e-18   1.938018e-18   1.308108e-18   2.952618e-22   9.060166e-21   3.275339e-20   5.714757e-20   7.573009e-20   7.180290e-20   6.701462e-20   9.643555e-20   1.358494e-20   3.648734e-20   3.620794e-20
         5.3000   1.541285e-20   2.105630e-18   1.719858e-18   2.572686e-18   2.103475e-18   1.395552e-18   3.855825e-22   1.179055e-20   3.955074e-20   6.928413e-20   8.972119e-20   8.792192e-20   8.548393e-20   1.108821e-19   1.288890e-20   3.443296e-20   3.422972e-20
         5.3500   1.462130e-20   2.246828e-18   1.814320e-18   2.744947e-18   2.259248e-18   1.475642e-18   6.428854e-22   1.531374e-20   4.769592e-20   8.276669e-20   1.050523e-19   1.064102e-19   1.063068e-19   1.250887e-19   1.223491e-20   3.259083e-20   3.236446e-20
