# CIE bound-bound cooling efficiency for Ar (Z=18)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ar0          L_Ar1          L_Ar2          L_Ar3          L_Ar4          L_Ar5          L_Ar6          L_Ar7          L_Ar8          L_Ar9          L_Ar10         L_Ar11         L_Ar12         L_Ar13         L_Ar14         L_Ar15         L_Ar16         L_Ar17         L_Ar18       
         3.9000   0.000000e+00   0.000000e+00   2.553854e-20   4.537461e-21   9.703775e-20   9.067982e-20   2.174656e-27   8.165229e-29  1.537559e-177   3.945230e-21   2.560089e-21   3.136618e-27   4.062805e-21   4.039321e-21   4.358973e-38   5.602678e-39   0.000000e+00   0.000000e+00   0.000000e+00
         3.9500   0.000000e+00   0.000000e+00   2.792172e-20   6.655518e-21   9.443768e-20   9.012394e-20   1.945296e-26   1.255794e-27  3.299449e-160   5.254133e-21   3.242437e-21   1.972453e-26   4.888753e-21   5.932939e-21   4.159941e-36   8.458712e-37   0.000000e+00   0.000000e+00   0.000000e+00
         4.0000   0.000000e+00   0.000000e+00   3.050677e-20   9.369138e-21   9.188128e-20   8.912442e-20   1.361859e-25   1.426940e-26  9.255499e-145   6.722693e-21   3.980497e-21   1.010364e-25   5.778410e-21   8.296500e-21   2.419311e-34   7.401146e-35   0.000000e+00   0.000000e+00   0.000000e+00
         4.0500   0.000000e+00   0.000000e+00   3.322163e-20   1.271625e-20   8.945002e-20   8.772328e-20   7.669403e-25   1.237891e-25  5.441012e-131   8.297882e-21   4.753658e-21   4.311024e-25   6.716896e-21   1.110289e-20   9.048252e-33   3.987524e-33   0.000000e+00   0.000000e+00   0.000000e+00
         4.1000   0.000000e+00   0.000000e+00   3.598824e-20   1.670733e-20   8.721376e-20   8.596141e-20   3.563547e-24   8.442358e-25  1.020667e-118   9.916045e-21   5.541764e-21   1.563282e-24   7.686963e-21   1.428530e-20   2.282675e-31   1.395904e-31   0.000000e+00   0.000000e+00   0.000000e+00
         4.1500   0.000000e+00   0.000000e+00   3.872758e-20   2.132475e-20   8.524424e-20   8.388328e-20   1.398915e-23   4.646140e-24  8.885311e-108   1.150910e-20   6.327955e-21   4.905784e-24   8.670953e-21   1.774278e-20   4.052717e-30   3.329523e-30   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   0.000000e+00   0.000000e+00   4.137071e-20   2.652520e-20   8.362955e-20   8.154740e-20   4.744444e-23   2.111964e-23   5.011092e-98   1.301066e-20   7.100919e-21   1.354215e-23   9.653202e-21   2.134971e-20   5.258247e-29   5.642459e-29   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   0.000000e+00   0.000000e+00   4.385913e-20   3.224964e-20   8.249211e-20   7.904547e-20   1.419471e-22   8.096036e-23   2.464481e-89   1.436127e-20   7.856001e-21   3.337155e-23   1.062243e-20   2.496732e-20   5.155798e-28   7.049154e-28   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   0.000000e+00   0.000000e+00   4.614497e-20   3.844459e-20   8.202311e-20   7.653294e-20   3.818029e-22   2.666256e-22   1.377294e-81   1.551228e-20   8.594849e-21   7.439354e-23   1.157365e-20   2.845528e-20   3.936353e-27   6.706822e-27   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   0.000000e+00   0.000000e+00   4.818728e-20   4.510393e-20   8.250257e-20   7.427286e-20   9.384601e-22   7.669344e-22   1.107315e-74   1.642825e-20   9.323611e-21   1.518144e-22   1.250911e-20   3.168188e-20   2.403410e-26   5.001480e-26   0.000000e+00   0.000000e+00   0.000000e+00
