# CIE bound-bound cooling efficiency for C (Z=6)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_C0           L_C1           L_C2           L_C3           L_C4           L_C5           L_C6         
         5.4000   5.246011e-19   1.660784e-18   1.383950e-18   9.905659e-19   6.375815e-25   1.702985e-26   0.000000e+00
         5.4500   5.502510e-19   1.749928e-18   1.454403e-18   1.019513e-18   2.785049e-24   1.035002e-25   0.000000e+00
         5.5000   5.736232e-19   1.829023e-18   1.518487e-18   1.045676e-18   1.034454e-23   5.157278e-25   0.000000e+00
         5.5500   5.944952e-19   1.897535e-18   1.575814e-18   1.068729e-18   3.326151e-23   2.153362e-24   0.000000e+00
         5.6000   6.127491e-19   1.955272e-18   1.626133e-18   1.088867e-18   9.407801e-23   7.681096e-24   0.000000e+00
         5.6500   6.283485e-19   2.002297e-18   1.669320e-18   1.106399e-18   2.374623e-22   2.381097e-23   0.000000e+00
         5.7000   6.413185e-19   2.038798e-18   1.705376e-18   1.121415e-18   5.417545e-22   6.512913e-23   0.000000e+00
         5.7500   6.517291e-19   2.065197e-18   1.734464e-18   1.133880e-18   1.129702e-21   1.593220e-22   0.000000e+00
         5.8000   6.596822e-19   2.082114e-18   1.756842e-18   1.143755e-18   2.174293e-21   3.527703e-22   0.000000e+00
         5.8500   6.653011e-19   2.090294e-18   1.772807e-18   1.151048e-18   3.896347e-21   7.146212e-22   0.000000e+00
         5.9000   6.687229e-19   2.090542e-18   1.782683e-18   1.155811e-18   6.552436e-21   1.337185e-21   0.000000e+00
         5.9500   6.700925e-19   2.083629e-18   1.786813e-18   1.158151e-18   1.041436e-20   2.331090e-21   0.000000e+00
         6.0000   6.695585e-19   2.070141e-18   1.785535e-18   1.158204e-18   1.574381e-20   3.814947e-21   0.000000e+00
         6.0500   6.672700e-19   2.050752e-18   1.779126e-18   1.156074e-18   2.276690e-20   5.901289e-21   0.000000e+00
         6.1000   6.633742e-19   2.026219e-18   1.767884e-18   1.151868e-18   3.165323e-20   8.681597e-21   0.000000e+00
         6.1500   6.580151e-19   1.997309e-18   1.752147e-18   1.145810e-18   4.250136e-20   1.221348e-20   0.000000e+00
         6.2000   6.513320e-19   1.964748e-18   1.732281e-18   1.137883e-18   5.533151e-20   1.651248e-20   0.000000e+00
         6.2500   6.434590e-19   1.929195e-18   1.708668e-18   1.128171e-18   7.008911e-20   2.154933e-20   0.000000e+00
         6.3000   6.345241e-19   1.891233e-18   1.681753e-18   1.116760e-18   8.665398e-20   2.725324e-20   0.000000e+00
         6.3500   6.246490e-19   1.851372e-18   1.652203e-18   1.103988e-18   1.048521e-19   3.352021e-20   0.000000e+00
         6.4000   6.139488e-19   1.810083e-18   1.620601e-18   1.089758e-18   1.244696e-19   4.022386e-20   0.000000e+00
         6.4500   6.025318e-19   1.767768e-18   1.587384e-18   1.074121e-18   1.452617e-19   4.722600e-20   0.000000e+00
         6.5000   5.904995e-19   1.724759e-18   1.552886e-18   1.057175e-18   1.669488e-19   5.437769e-20   0.000000e+00
         6.5500   5.779467e-19   1.681331e-18   1.517374e-18   1.039021e-18   1.892347e-19   6.152557e-20   0.000000e+00
         6.6000   5.649615e-19   1.637702e-18   1.481070e-18   1.019961e-18   2.118227e-19   6.852169e-20   0.000000e+00
         6.6500   5.516254e-19   1.594023e-18   1.444163e-18   1.000154e-18   2.344258e-19   7.523258e-20   0.000000e+00
         6.7000   5.380135e-19   1.550329e-18   1.406814e-18   9.794996e-19   2.567750e-19   8.154509e-20   0.000000e+00
         6.7500   5.241949e-19   1.506689e-18   1.369122e-18   9.581043e-19   2.786221e-19   8.737976e-20   0.000000e+00
         6.8000   5.102325e-19   1.463210e-18   1.331171e-18   9.360776e-19   2.997294e-19   9.271305e-20   0.000000e+00
         6.8500   4.961839e-19   1.420010e-18   1.293053e-18   9.135294e-19   3.198854e-19   9.755141e-20   0.000000e+00
         6.9000   4.821011e-19   1.377201e-18   1.254865e-18   8.905638e-19   3.389077e-19   1.019168e-19   0.000000e+00
         6.9500   4.680311e-19   1.334881e-18   1.216707e-18   8.672817e-19   3.566446e-19   1.058367e-19   0.000000e+00
         7.0000   4.540162e-19   1.293136e-18   1.178690e-18   8.439927e-19   3.729761e-19   1.093395e-19   0.000000e+00
         7.0500   4.400943e-19   1.252037e-18   1.140969e-18   8.207073e-19   3.878118e-19   1.124522e-19   0.000000e+00
         7.1000   4.262987e-19   1.211641e-18   1.103668e-18   7.973910e-19   4.010860e-19   1.151980e-19   0.000000e+00
         7.1500   4.126594e-19   1.171992e-18   1.066882e-18   7.741177e-19   4.127493e-19   1.175881e-19   0.000000e+00
         7.2000   3.992024e-19   1.133128e-18   1.030679e-18   7.509530e-19   4.227509e-19   1.196267e-19   0.000000e+00
         7.2500   3.859504e-19   1.095076e-18   9.951174e-19   7.279541e-19   4.310662e-19   1.213180e-19   0.000000e+00
         7.3000   3.729233e-19   1.057856e-18   9.602424e-19   7.051700e-19   4.377010e-19   1.226684e-19   0.000000e+00
         7.3500   3.601378e-19   1.021486e-18   9.260923e-19   6.826447e-19   4.426870e-19   1.236865e-19   0.000000e+00
         7.4000   3.476083e-19   9.859754e-19   8.926991e-19   6.604158e-19   4.460769e-19   1.243830e-19   0.000000e+00
         7.4500   3.353467e-19   9.513330e-19   8.600891e-19   6.385157e-19   4.479444e-19   1.247700e-19   0.000000e+00
         7.5000   3.233628e-19   9.175630e-19   8.282839e-19   6.169743e-19   4.483917e-19   1.248611e-19   0.000000e+00
         7.5500   3.116644e-19   8.846674e-19   7.973001e-19   5.958181e-19   4.475279e-19   1.246709e-19   0.000000e+00
         7.6000   3.002577e-19   8.526460e-19   7.671502e-19   5.750701e-19   4.454609e-19   1.242148e-19   0.000000e+00
         7.6500   2.891469e-19   8.214966e-19   7.378425e-19   5.547507e-19   4.422967e-19   1.235092e-19   0.000000e+00
         7.7000   2.783353e-19   7.912149e-19   7.093818e-19   5.348951e-19   4.381394e-19   1.225706e-19   0.000000e+00
         7.7500   2.678244e-19   7.617955e-19   6.817691e-19   5.155749e-19   4.330909e-19   1.214161e-19   0.000000e+00
         7.8000   2.576148e-19   7.332313e-19   6.550027e-19   4.967300e-19   4.272487e-19   1.200627e-19   0.000000e+00
         7.8500   2.477062e-19   7.055139e-19   6.290779e-19   4.783685e-19   4.207051e-19   1.185275e-19   0.000000e+00
         7.9000   2.380969e-19   6.786338e-19   6.039874e-19   4.604962e-19   4.135458e-19   1.168275e-19   0.000000e+00
         7.9500   2.287850e-19   6.525803e-19   5.797219e-19   4.431164e-19   4.058496e-19   1.149794e-19   0.000000e+00
         8.0000   2.197673e-19   6.273419e-19   5.562700e-19   4.262297e-19   3.976905e-19   1.129992e-19   0.000000e+00
         8.0500   2.110405e-19   6.029060e-19   5.336190e-19   4.098351e-19   3.891375e-19   1.109028e-19   0.000000e+00
         8.1000   2.026003e-19   5.792594e-19   5.117544e-19   3.939302e-19   3.802551e-19   1.087052e-19   0.000000e+00
         8.1500   1.944423e-19   5.563879e-19   4.906607e-19   3.785111e-19   3.711028e-19   1.064209e-19   0.000000e+00
         8.2000   1.865613e-19   5.342770e-19   4.703214e-19   3.635731e-19   3.617349e-19   1.040635e-19   0.000000e+00
         8.2500   1.789522e-19   5.129115e-19   4.507193e-19   3.491108e-19   3.522014e-19   1.016460e-19   0.000000e+00
         8.3000   1.716094e-19   4.922757e-19   4.318364e-19   3.351182e-19   3.425484e-19   9.918047e-20   0.000000e+00
         8.3500   1.645268e-19   4.723536e-19   4.136545e-19   3.215884e-19   3.328187e-19   9.667829e-20   0.000000e+00
         8.4000   1.576987e-19   4.531287e-19   3.961548e-19   3.085142e-19   3.230518e-19   9.414992e-20   0.000000e+00
         8.4500   1.511186e-19   4.345845e-19   3.793185e-19   2.958949e-19   3.132836e-19   9.160508e-20   0.000000e+00
         8.5000   1.447804e-19   4.167040e-19   3.631264e-19   2.837181e-19   3.035467e-19   8.905267e-20   0.000000e+00
         8.5500   1.386777e-19   3.994703e-19   3.475595e-19   2.719699e-19   2.938704e-19   8.650083e-20   0.000000e+00
         8.6000   1.328040e-19   3.828662e-19   3.325987e-19   2.606412e-19   2.842809e-19   8.395694e-20   0.000000e+00
         8.6500   1.271528e-19   3.668748e-19   3.182253e-19   2.497226e-19   2.748017e-19   8.142770e-20   0.000000e+00
         8.7000   1.217178e-19   3.514788e-19   3.044203e-19   2.392043e-19   2.654535e-19   7.891912e-20   0.000000e+00
         8.7500   1.164925e-19   3.366613e-19   2.911652e-19   2.290763e-19   2.562545e-19   7.643656e-20   0.000000e+00
         8.8000   1.114704e-19   3.224052e-19   2.784419e-19   2.193284e-19   2.472206e-19   7.398478e-20   0.000000e+00
         8.8500   1.066452e-19   3.086939e-19   2.662323e-19   2.099504e-19   2.383651e-19   7.156798e-20   0.000000e+00
         8.9000   1.020107e-19   2.955106e-19   2.545187e-19   2.009319e-19   2.296993e-19   6.918983e-20   0.000000e+00
         8.9500   9.756061e-20   2.828388e-19   2.432839e-19   1.922623e-19   2.212326e-19   6.685352e-20   0.000000e+00
         9.0000   9.328889e-20   2.706624e-19   2.325109e-19   1.839312e-19   2.129724e-19   6.456177e-20   0.000000e+00
