# CIE bound-bound cooling efficiency for Si (Z=14)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Si0          L_Si1          L_Si2          L_Si3          L_Si4          L_Si5          L_Si6          L_Si7          L_Si8          L_Si9          L_Si10         L_Si11         L_Si12         L_Si13         L_Si14       
         4.1500   0.000000e+00   2.986627e-20   1.920652e-20   5.476957e-21   1.919442e-55   2.999014e-21   5.149600e-21   1.891720e-22   4.164394e-20   3.659605e-20   4.234270e-27   4.573719e-27   0.000000e+00   0.000000e+00   0.000000e+00
         4.2000   0.000000e+00   4.162837e-20   3.256731e-20   1.143918e-20   1.993979e-51   3.100357e-21   5.555876e-21   3.841078e-22   4.055700e-20   3.725624e-20   2.763021e-26   3.788761e-26   0.000000e+00   0.000000e+00   0.000000e+00
         4.2500   0.000000e+00   5.970117e-20   5.232689e-20   2.193287e-20   7.547511e-48   3.189332e-21   6.058802e-21   7.178594e-22   3.936182e-20   3.760479e-20   1.464160e-25   2.482606e-25   0.000000e+00   0.000000e+00   0.000000e+00
         4.3000   0.000000e+00   8.599423e-20   8.025359e-20   3.897384e-20   1.162099e-44   3.266165e-21   6.665469e-21   1.246166e-21   3.809732e-20   3.766677e-20   6.446869e-25   1.319525e-24   0.000000e+00   0.000000e+00   0.000000e+00
         4.3500   0.000000e+00   1.225013e-19   1.182372e-19   6.473374e-20   8.030854e-42   3.330983e-21   7.372391e-21   2.025681e-21   3.679991e-20   3.747102e-20   2.408040e-24   5.818170e-24   0.000000e+00   0.000000e+00   0.000000e+00
         4.4000   0.000000e+00   1.711401e-19   1.682174e-19   1.012718e-19   2.719717e-39   3.383776e-21   8.163614e-21   3.105568e-21   3.550416e-20   3.704909e-20   7.776249e-24   2.171392e-23   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   0.000000e+00   2.335762e-19   2.320657e-19   1.502532e-19   4.882675e-37   3.424374e-21   9.014730e-21   4.519356e-21   3.424460e-20   3.643515e-20   2.209901e-23   6.983419e-23   0.000000e+00   0.000000e+00   0.000000e+00
         4.5000   0.000000e+00   3.110616e-19   3.114323e-19   2.127168e-19   4.986486e-35   3.452452e-21   9.902982e-21   6.279576e-21   3.305847e-20   3.566694e-20   5.621783e-23   1.966710e-22  7.769476e-312   0.000000e+00   0.000000e+00
         4.5500   0.000000e+00   4.043029e-19   4.075593e-19   2.889391e-19   3.084612e-33   3.467566e-21   1.080434e-20   8.377346e-21   3.198938e-20   3.478791e-20   1.301742e-22   4.920113e-22  5.584065e-280  1.500277e-303   0.000000e+00
         4.6000   0.000000e+00   5.133738e-19   5.210784e-19   3.784356e-19   1.221786e-31   3.469290e-21   1.169628e-20   1.078534e-20   3.109424e-20   3.385073e-20   2.788544e-22   1.107459e-21  1.368630e-251  1.335596e-272   0.000000e+00
         4.6500   0.000000e+00   6.376955e-19   6.518223e-19   4.800465e-19   3.253787e-30   3.457622e-21   1.256316e-20   1.346853e-20   3.045027e-20   3.292279e-20   5.609718e-22   2.268606e-21  2.733454e-226  5.093884e-245   0.000000e+00
         4.7000   0.000000e+00   7.760486e-19   7.987876e-19   5.920780e-19   6.080024e-29   3.434047e-21   1.340391e-20   1.640316e-20   3.012859e-20   3.209414e-20   1.072961e-21   4.272683e-21  9.648646e-204  1.934232e-220   0.000000e+00
         4.7500   0.000000e+00   9.266516e-19   9.606278e-19   7.124703e-19   8.275248e-28   3.403861e-21   1.423609e-20   1.960044e-20   3.022548e-20   3.149469e-20   1.967623e-21   7.466420e-21  1.199973e-183  1.550467e-198   0.000000e+00
         4.8000   0.000000e+00   1.087336e-18   1.135612e-18   8.389610e-19   8.488731e-27   3.380396e-21   1.509658e-20   2.312961e-20   3.089552e-20   3.133299e-20   3.472977e-21   1.220495e-20  9.722246e-166  5.126713e-179   0.000000e+00
         4.8500   0.000000e+00   1.255710e-18   1.321563e-18   9.692262e-19   6.767099e-26   3.391245e-21   1.606468e-20   2.713328e-20   3.235877e-20   3.189950e-20   5.906043e-21   1.879936e-20  8.871901e-150  1.270410e-161   0.000000e+00
         4.9000   0.000000e+00   1.429346e-18   1.515912e-18   1.100999e-18   4.308516e-25   3.485502e-21   1.727522e-20   3.184150e-20   3.488201e-20   3.356825e-20   9.676679e-21   2.746492e-20  1.484743e-135  4.016956e-146   0.000000e+00
         4.9500   0.000000e+00   1.605823e-18   1.715763e-18   1.232178e-18   2.245062e-24   3.739771e-21   1.892130e-20   3.755689e-20   3.873835e-20   3.679158e-20   1.526462e-20   3.828003e-20  7.033666e-123  2.604341e-132   0.000000e+00
         5.0000   0.000000e+00   1.782778e-18   1.918028e-18   1.360934e-18   9.786368e-24   4.260297e-21   2.124377e-20   4.461420e-20   4.425839e-20   4.208327e-20   2.317356e-20   5.116569e-20  1.388824e-111  5.283918e-120   0.000000e+00
         5.0500   0.000000e+00   1.957959e-18   2.119768e-18   1.485669e-18   3.639731e-23   5.179838e-21   2.451061e-20   5.332855e-20   5.178650e-20   4.996929e-20   3.387129e-20   6.588836e-20  1.614365e-101  4.890205e-109   0.000000e+00
         5.1000   0.000000e+00   2.129233e-18   2.318191e-18   1.604997e-18   1.175674e-22   6.651108e-21   2.898954e-20   6.394216e-20   6.160624e-20   6.084273e-20   4.773331e-20   8.208288e-20   1.503081e-92   2.888560e-99   0.000000e+00
         5.1500   0.000000e+00   2.294639e-18   2.510657e-18   1.717753e-18   3.350972e-22   8.842204e-21   3.490588e-20   7.658156e-20   7.390316e-20   7.493513e-20   6.497312e-20   9.928886e-20   1.475466e-84   1.469056e-90   0.000000e+00
         5.2000   0.000000e+00   2.452518e-18   2.694762e-18   1.822977e-18   8.545242e-22   1.194030e-20   4.241398e-20   9.122437e-20   8.874556e-20   9.228677e-20   8.556068e-20   1.169936e-19   1.951734e-77   8.400186e-83   0.000000e+00
         5.2500   0.000000e+00   2.601496e-18   2.868395e-18   1.919935e-18   1.973463e-21   1.617389e-20   5.159079e-20   1.076973e-19   1.060801e-19   1.127203e-19   1.092229e-19   1.346824e-19   4.332323e-71   6.850644e-76   0.000000e+00
         5.3000   0.000000e+00   2.740485e-18   3.029720e-18   2.008150e-18   4.171961e-21   2.185192e-20   6.245890e-20   1.257069e-19   1.256737e-19   1.358416e-19   1.354629e-19   1.518782e-19   1.961330e-65   9.850042e-70   0.000000e+00
         5.3500   0.000000e+00   2.868691e-18   3.176917e-18   2.087379e-18   8.149872e-21   2.941060e-20   7.504037e-20   1.448957e-19   1.471428e-19   1.610785e-19   1.636011e-19   1.681682e-19   2.152557e-60   3.016289e-64   0.000000e+00
         5.4000   0.000000e+00   2.985578e-18   3.308497e-18   2.157559e-18   1.483382e-20   3.945040e-20   8.943198e-20   1.649217e-19   1.700293e-19   1.877842e-19   1.928325e-19   1.832215e-19   6.679607e-56   2.327961e-59   0.000000e+00
         5.4500   0.000000e+00   3.090844e-18   3.423455e-18   2.218767e-18   2.534019e-20   5.274345e-20   1.058771e-19   1.855503e-19   1.938725e-19   2.152814e-19   2.223112e-19   1.967963e-19   6.721027e-52   5.261707e-55   0.000000e+00
