# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         4.3000   1.153900e-24   3.333199e-19   6.874105e-23   1.953367e-21   9.860528e-21   3.769989e-21   2.244115e-20   3.118450e-20   1.803245e-21   1.027341e-20   3.185314e-20   3.043709e-20   3.023294e-23
         4.3500   1.105538e-24   4.294574e-19   6.538429e-23   1.890986e-21   1.092438e-20   5.023503e-21   2.334618e-20   2.897949e-20   1.718047e-21   9.753275e-21   3.008732e-20   2.874883e-20   3.202435e-23
         4.4000   1.059947e-24   5.387255e-19   6.224512e-23   1.830779e-21   1.207352e-20   6.635966e-21   2.428518e-20   2.678074e-20   1.657708e-21   9.339411e-21   2.840964e-20   2.715575e-20   3.392191e-23
         4.4500   1.016941e-24   6.601205e-19   5.931332e-23   1.772913e-21   1.327539e-20   8.689105e-21   2.518249e-20   2.467919e-20   1.643148e-21   9.121469e-21   2.688271e-20   2.565257e-20   3.593191e-23
         4.5000   9.763517e-25   7.923047e-19   5.658124e-23   1.717422e-21   1.449615e-20   1.101194e-20   2.603550e-20   2.328235e-20   1.798853e-21   9.258898e-21   2.537534e-20   2.420925e-20   3.806101e-23
         4.5500   9.380223e-25   9.336761e-19   5.405544e-23   1.664761e-21   1.570573e-20   1.366166e-20   2.688162e-20   2.175030e-20   2.010978e-21   9.999803e-21   2.405887e-20   2.815184e-20   4.031627e-23
         4.6000   9.018097e-25   1.082494e-18   5.181878e-23   1.617626e-21   1.688487e-20   1.662333e-20   2.781242e-20   2.074188e-20   2.475855e-21   1.168500e-20   2.272334e-20   2.659553e-20   4.270516e-23
         4.6500   8.675775e-25   1.237146e-18   5.028980e-23   1.583379e-21   1.816402e-20   1.991682e-20   2.899979e-20   2.042096e-20   3.354883e-21   1.472916e-20   2.139015e-20   2.512717e-20   4.523560e-23
         4.7000   8.352011e-25   1.396161e-18   5.109677e-23   1.578606e-21   1.932157e-20   2.377973e-20   3.109522e-20   2.099873e-20   4.889208e-21   1.957739e-20   2.020928e-20   2.374190e-20   4.791598e-23
         4.7500   8.045783e-25   1.557587e-18   5.949779e-23   1.636148e-21   2.059254e-20   2.806175e-20   3.364164e-20   2.274346e-20   7.420873e-21   2.664400e-20   1.907977e-20   2.243515e-20   5.075518e-23
         4.8000   7.756302e-25   1.719452e-18   8.998838e-23   1.813900e-21   2.214379e-20   3.318189e-20   3.735948e-20   2.598053e-20   1.140056e-20   3.624549e-20   1.802664e-20   2.120265e-20   5.376261e-23
         4.8500   7.482898e-25   1.879919e-18   1.773432e-22   2.204553e-21   2.421612e-20   3.946459e-20   4.261784e-20   3.109246e-20   1.737543e-20   4.854345e-20   1.708176e-20   2.004043e-20   5.694824e-23
         4.9000   7.224932e-25   2.037152e-18   3.953060e-22   2.946091e-21   2.711297e-20   4.726079e-20   4.982211e-20   3.858024e-20   2.595705e-20   6.350936e-20   1.614494e-20   1.894465e-20   6.032264e-23
         4.9500   6.981879e-25   2.189338e-18   8.839227e-22   4.234093e-21   3.117065e-20   5.689123e-20   5.937141e-20   4.897019e-20   3.777166e-20   8.091631e-20   1.536062e-20   1.791150e-20   6.389698e-23
         5.0000   6.753554e-25   2.334748e-18   1.883803e-21   6.337997e-21   3.671904e-20   6.858934e-20   7.160990e-20   6.271314e-20   5.333771e-20   1.003571e-19   1.449335e-20   1.693740e-20   6.768311e-23
         5.0500   6.540087e-25   2.471801e-18   3.771519e-21   9.622434e-21   4.404466e-20   8.245838e-20   8.678094e-20   8.011559e-20   7.296729e-20   1.212838e-19   1.372439e-20   1.601900e-20   7.169359e-23
         5.1000   6.341724e-25   2.599127e-18   7.086670e-21   1.457123e-20   5.336976e-20   9.860520e-20   1.049780e-19   1.012871e-19   9.671277e-20   1.430694e-19   1.300741e-20   1.515324e-20   7.594170e-23
         5.1500   6.158725e-25   2.715617e-18   1.253893e-20   2.180688e-20   6.485631e-20   1.165370e-19   1.261142e-19   1.261127e-19   1.243374e-19   1.650657e-19   1.228124e-20   1.433721e-20   8.044153e-23
         5.2000   5.991526e-25   2.820455e-18   2.098442e-20   3.209476e-20   7.863491e-20   1.361338e-19   1.499363e-19   1.542353e-19   1.553238e-19   1.866537e-19   1.162967e-20   1.356822e-20   8.520799e-23
         5.2500   5.840815e-25   2.913105e-18   3.336599e-20   4.631901e-20   9.484735e-20   1.570758e-19   1.760761e-19   1.850971e-19   1.889189e-19   2.072858e-19   1.101024e-20   1.284380e-20   9.025688e-23
