                            Description
                            -----------

This table contains rate coefficients (in cm^3/s) for reactions of the form
X^+n + H --> X^+(n-1) + H^+. We have fit all rate coefficients with the
function

alpha(t4) = a*t4^b[1 + c*exp(d*t4)],

where t4 is the temperature in units of 10^4 K, and a, b, c, and d are the
parameters of the fit, with a in units of 10^-9 cm^3/s. In the table below,
column 1 gives the reactant (parent) ion (X in the reaction above), columns
2-5 give the four fit parameters, columns 6 and 7 give the minimum and
maximum temperature, respectively, over which the fit is valid, and column
8 gives the fitted rate coefficient at 10^4K, in units of 10^-9 cm^3/s.


                                TABLE 1
                     Charge Transfer Recombination Rates
  -------------------------------------------------------------------------
  Ion     a(10^-9 cm^3/s)   b       c         d      tlo    thi       R
  -------------------------------------------------------------------------
  Ca^+3       3.17e-2     2.12    12.06     -0.40    1e+3   3e+4   2.88e-1
  Ca^+4        2.68       0.69    -0.68     -4.47    1e+3   3e+4   2.66e+0
  Sc^+3       7.22e-3     2.34    411.50   -13.24    1e+3   3e+4   7.23e-3
  Sc^+4       1.20e-1     1.48     4.00     -9.33    1e+3   3e+4   1.20e-1
  Ti^+3       6.34e-1   6.87e-3    0.18     -8.04    1e+3   3e+4   6.34e-1
  Ti^+4       4.37e-3     1.25    40.02     -8.05    1e+3   3e+4   4.43e-3
  V^+2        1.00e-5     0.00     0.00      0.00    1e+3   3e+4   1.00e-5
  V^+3         5.12    -2.18e-2   -0.24     -0.83    1e+3   3e+4   4.58e+0
  V^+4        1.96e-1  -8.53e-3    0.28     -6.46    1e+3   3e+4   1.96e-1
  Cr^+2       5.27e-1     0.61    -0.89     -3.56    1e+3   3e+4   5.14e-1
  Cr^+3       10.90       0.24     0.26    -11.94    1e+3   3e+4   1.09e+1
  Cr^+4        1.18       0.20     0.77     -7.09    1e+3   3e+4   1.18e+0
  Mn^+2       1.65e-1   6.80e-3   6.44e-2   -9.70    1e+3   3e+4   1.65e-1
  Mn^+3       14.20       0.34    -0.41     -1.19    1e+3   3e+4   1.24e+1
  Mn^+4       4.43e-1     0.91    10.76     -7.49    1e+3   3e+4   4.46e-1
  Fe^+2        1.26     7.72e-2   -0.41     -7.31    1e+3   1e+5   1.26e+0
  Fe^+3        3.42       0.51    -2.06     -8.99    1e+3   1e+5   3.42e+0
  Fe^+4       14.60     3.57e-2   -0.92     -0.37    1e+3   3e+4   5.32e+0
  Co^+2        5.30       0.24    -0.91     -0.47    1e+3   3e+4   2.29e+0
  Co^+3        3.26       0.87     2.85     -9.23    1e+3   3e+4   3.26e+0
  Co^+4        1.03       0.58    -0.89     -0.66    1e+3   3e+4   5.56e-1
  Ni^+2        1.05       1.28     6.54     -1.81    1e+3   1e+5   2.17e+0
  Ni^+3        9.73       0.35     0.90     -5.33    1e+3   3e+4   9.77e+0
  Ni^+4        6.14       0.25    -0.91     -0.42    1e+3   3e+4   2.47e+0
  Cu^+2       1.47e-3     3.51    23.91     -0.93    1e+3   3e+4   1.53e-2
  Cu^+3        9.26       0.37     0.40    -10.73    1e+3   3e+4   9.26e+0
  Cu^+4       11.59       0.20     0.80     -6.62    1e+3   3e+4   1.16e+1
  Zn^+2       1.00e-5     0.00     0.00      0.00    1e+3   3e+4   1.00e-5
  Zn^+3       6.96e-4     4.24    26.06     -1.24    1e+3   3e+4   5.94e-3
  Zn^+4       1.33e-2     1.56    -0.92     -1.20    1e+3   3e+4   9.61e-3
  -------------------------------------------------------------------------
